booking_cancellation_id,booking_id,cancellation_reason,penalty_amount,cancelled_at,created_at
1,57919,Itself vote rather quickly blood couple spring look protect southern discussion position enough.,792.2,2025-04-28 09:37:10+00:00,2025-04-29 21:54:02+00:00
2,59567,Story happy same would professional under cup forward.,1201.61,2024-04-21 05:17:04+00:00,2024-01-28 19:07:03+00:00
3,63660,I old memory few size kitchen agency effort myself fall job.,1325.48,2024-12-24 05:38:28+00:00,2024-08-16 09:25:51+00:00
4,65503,Whole arm thousand thus end trouble course buy.,130.24,2024-04-07 15:24:14+00:00,2025-01-21 20:18:06+00:00
5,1087,Leave prevent security dog movie everybody run same spring pattern true color again rock.,829.69,2025-07-31 21:48:10+00:00,2025-09-15 19:12:51+00:00
6,47071,Ahead book teach clear indicate bring surface those science reality character a laugh.,1569.74,2025-03-10 20:43:43+00:00,2026-01-03 09:25:15+00:00
7,2373,Consider story believe see almost thank drug.,1630.71,2025-10-14 20:49:01+00:00,2024-06-17 07:22:13+00:00
8,43586,Lot guess administration out management some site sign argue air relationship argue.,784.59,2024-01-22 12:20:00+00:00,2025-01-10 23:35:13+00:00
9,18612,Song enjoy explain civil race consumer store party writer.,119.58,2024-06-28 15:59:47+00:00,2024-02-26 11:47:04+00:00
10,43042,Despite likely research firm modern simple particularly worker happen system age my.,477.01,2024-03-18 04:10:05+00:00,2025-04-24 15:26:50+00:00
11,63072,Close individual care on discover question our since why daughter many wrong.,185.54,2024-01-24 15:05:49+00:00,2024-10-20 22:32:18+00:00
12,59253,Statement still second available value statement cold officer.,936.03,2024-10-15 01:27:11+00:00,2024-02-06 13:26:32+00:00
13,33882,Miss fact particularly second budget provide later especially parent.,97.05,2024-10-30 18:07:21+00:00,2025-11-02 10:45:07+00:00
14,64307,Win area continue director value truth evidence imagine possible very statement finish.,214.09,2025-04-15 03:06:34+00:00,2024-05-12 07:55:24+00:00
15,64449,Teacher relationship town company heart factor everyone couple away.,451.69,2025-04-13 12:09:11+00:00,2024-12-16 20:47:02+00:00
16,45986,Difference health character affect evidence popular degree during team allow a.,1878.36,2025-06-28 02:10:49+00:00,2025-08-19 00:21:35+00:00
17,59013,Career this phone fast of which big late.,1302.12,2024-11-25 20:04:08+00:00,2025-12-17 03:44:37+00:00
18,22619,Approach father bag make could state but challenge call father difficult.,1966.87,2024-05-08 04:29:47+00:00,2024-07-25 22:04:49+00:00
19,61428,Environmental success partner start information picture television it ask.,1439.11,2024-09-29 17:27:41+00:00,2025-09-04 16:14:56+00:00
