booking_discount_id,booking_id,promotion_id,discount_amount,created_at
1,36962,520,307.05,2025-01-16 05:27:53+00:00
2,36962,469,596.33,2024-03-23 07:20:29+00:00
3,17151,675,1127.7,2024-04-26 03:55:13+00:00
4,17151,858,23.14,2024-07-20 00:23:23+00:00
5,2131,1591,1335.87,2025-10-05 04:48:12+00:00
6,2131,1444,62.25,2024-06-01 08:05:09+00:00
7,38257,908,785.8,2025-03-07 01:59:52+00:00
8,38257,1254,1331.94,2024-11-24 18:40:44+00:00
9,6960,1710,1820.18,2024-02-14 10:41:31+00:00
10,29649,959,505.61,2024-08-25 03:32:50+00:00
11,52132,677,286.71,2025-01-22 14:20:42+00:00
12,5787,1166,310.42,2025-12-25 08:40:53+00:00
13,5787,1459,971.44,2025-01-16 06:02:07+00:00
14,54431,73,1584.54,2024-08-16 19:14:57+00:00
15,38641,1676,1681.39,2024-07-20 06:06:49+00:00
16,17261,202,799.57,2024-01-21 01:20:04+00:00
17,17817,1176,148.28,2024-07-03 12:21:21+00:00
18,17817,646,838.79,2025-07-20 03:35:55+00:00
19,32515,1065,110.98,2025-02-07 00:09:15+00:00
20,60264,1643,857.39,2025-11-30 19:43:05+00:00
21,60264,1926,471.0,2025-02-19 06:37:44+00:00
22,52648,1338,582.06,2024-08-05 18:39:06+00:00
23,52648,558,690.69,2025-12-26 15:23:18+00:00
24,57640,1560,1121.28,2025-02-26 00:41:01+00:00
25,57640,1113,682.52,2024-08-25 23:28:55+00:00
26,35655,280,138.32,2024-10-01 22:17:30+00:00
27,35655,1529,1029.81,2024-12-11 03:30:29+00:00
28,38037,372,1802.09,2024-06-09 17:19:08+00:00
29,28317,36,458.79,2025-10-26 15:49:50+00:00
30,28317,17,1201.66,2024-02-26 09:23:14+00:00
31,28289,1461,1333.65,2024-09-08 00:31:01+00:00
32,27973,1589,707.4,2025-12-21 09:14:05+00:00
33,54168,1468,1746.99,2025-09-05 17:18:56+00:00
34,54168,241,1276.37,2025-05-23 10:39:37+00:00
35,11055,1849,676.83,2024-01-22 14:51:07+00:00
36,9709,1934,1957.08,2025-03-04 21:04:35+00:00
37,9709,383,653.25,2024-10-09 15:41:35+00:00
38,24663,1843,937.29,2024-12-20 10:58:42+00:00
39,24663,1473,305.78,2025-01-19 23:37:13+00:00
40,36935,1384,632.53,2024-01-25 00:07:32+00:00
41,20935,314,1194.12,2024-05-06 00:53:41+00:00
42,52344,1858,729.15,2025-12-20 22:52:55+00:00
43,52344,1410,1887.91,2025-11-22 05:14:40+00:00
44,33684,1042,381.43,2024-09-09 17:35:51+00:00
45,3292,1408,1580.87,2025-12-23 15:58:42+00:00
46,68870,90,1361.14,2025-04-20 18:48:56+00:00
47,68870,111,543.43,2025-09-08 04:20:52+00:00
48,15104,1755,41.31,2024-11-22 19:34:16+00:00
49,15104,421,451.69,2024-10-23 19:31:52+00:00
50,54920,822,1092.81,2025-01-31 13:27:22+00:00
51,20406,228,93.79,2024-01-21 07:18:44+00:00
52,10921,1263,372.69,2024-07-06 13:29:34+00:00
53,2453,559,157.92,2025-07-01 06:29:36+00:00
54,2453,1649,406.9,2024-01-11 13:07:07+00:00
55,52695,1909,1237.29,2025-09-16 07:53:47+00:00
56,28565,1456,436.65,2024-10-14 19:22:12+00:00
57,55359,639,1448.08,2025-09-28 07:56:08+00:00
58,55359,1516,471.43,2024-11-20 07:15:09+00:00
59,14481,1990,112.59,2024-11-25 16:14:30+00:00
60,14481,99,1410.77,2025-09-10 09:25:26+00:00
61,64491,1410,660.67,2025-03-02 12:03:33+00:00
62,23254,1712,196.35,2024-02-21 03:00:26+00:00
63,23254,155,1979.09,2025-11-16 06:55:43+00:00
64,38102,355,187.04,2024-09-21 08:49:06+00:00
65,38102,135,1590.52,2025-04-29 03:47:24+00:00
66,903,742,26.55,2024-09-04 02:45:07+00:00
67,30197,293,1697.15,2025-08-15 11:02:37+00:00
68,30197,235,251.0,2024-02-29 20:04:23+00:00
69,23386,1289,920.06,2024-08-12 14:37:22+00:00
70,23386,1081,1013.02,2025-09-16 05:39:28+00:00
71,5632,1732,495.84,2025-05-30 15:51:10+00:00
72,5632,1097,139.8,2025-06-16 16:32:34+00:00
73,32795,790,379.62,2024-06-13 23:10:36+00:00
74,64610,1517,1888.47,2024-03-27 16:17:25+00:00
75,64610,529,1250.22,2025-11-10 08:00:09+00:00
76,31045,536,1085.81,2025-11-07 06:58:14+00:00
77,19001,831,77.68,2025-10-04 04:42:41+00:00
78,39076,1226,74.31,2025-09-17 20:06:20+00:00
79,39076,1416,695.4,2025-04-19 14:08:30+00:00
80,1872,724,239.6,2025-02-14 23:57:39+00:00
81,1872,1413,377.93,2025-10-05 18:26:50+00:00
82,58952,780,151.36,2024-03-21 12:11:53+00:00
83,48762,161,945.89,2025-11-13 09:27:07+00:00
84,48762,1980,1731.19,2024-12-20 02:49:55+00:00
85,63697,1615,1475.93,2025-10-21 12:50:18+00:00
86,63697,1157,759.03,2025-06-11 01:27:07+00:00
87,8342,1928,1961.42,2025-07-11 04:01:35+00:00
88,8342,1162,802.76,2024-10-05 15:27:54+00:00
89,13478,350,347.8,2025-09-17 08:53:43+00:00
90,60287,773,762.92,2024-05-16 14:32:26+00:00
91,51077,1240,1678.75,2024-05-06 21:42:04+00:00
92,51077,1099,1450.28,2024-07-22 13:13:47+00:00
93,13347,737,1931.66,2025-10-12 20:51:35+00:00
94,58058,1944,536.01,2025-01-19 20:23:52+00:00
95,21432,676,354.59,2024-07-20 11:48:58+00:00
96,21432,1575,777.55,2025-12-31 10:10:53+00:00
97,44424,1716,1360.12,2025-01-21 22:09:51+00:00
98,66122,1148,946.28,2024-09-26 09:01:41+00:00
99,66122,1880,421.43,2025-10-11 16:35:15+00:00
100,16197,1959,836.42,2024-05-14 20:43:38+00:00
101,16197,1815,1424.13,2025-06-30 08:41:44+00:00
102,2969,664,598.11,2024-12-23 07:03:24+00:00
103,53356,1844,308.28,2025-06-10 18:41:51+00:00
104,53356,642,786.85,2024-01-21 19:38:21+00:00
105,7911,1888,308.79,2024-03-15 16:29:22+00:00
106,7911,1797,1269.67,2024-12-13 09:54:49+00:00
107,12699,418,85.01,2024-04-18 23:10:30+00:00
108,12699,237,589.96,2024-10-31 14:36:32+00:00
109,36257,1376,381.82,2025-11-02 14:28:43+00:00
110,51769,1560,1455.53,2025-02-10 23:30:27+00:00
111,51769,824,567.05,2024-12-28 18:19:05+00:00
112,41938,136,795.85,2024-12-11 12:31:02+00:00
113,41938,424,1555.73,2025-10-16 21:03:15+00:00
114,21270,1175,61.82,2024-09-10 11:00:03+00:00
115,8977,1204,726.94,2024-09-16 13:45:38+00:00
116,8977,499,950.95,2025-12-19 04:50:11+00:00
117,25233,231,307.25,2024-08-07 16:18:03+00:00
118,25233,631,257.76,2026-01-03 11:31:47+00:00
119,48149,228,1282.46,2025-01-23 15:34:52+00:00
120,48149,998,219.87,2024-11-24 11:09:07+00:00
121,47024,1396,1890.53,2025-07-03 13:50:25+00:00
122,47024,621,1861.24,2024-10-17 15:50:33+00:00
123,47749,1124,798.73,2024-09-14 12:53:19+00:00
124,48381,296,1416.5,2025-02-22 22:57:33+00:00
125,22820,1333,110.42,2025-01-02 08:15:42+00:00
126,22820,1159,503.54,2024-04-30 18:12:23+00:00
127,25070,640,873.75,2025-11-18 21:38:01+00:00
128,5877,1502,1710.2,2025-05-21 05:25:52+00:00
129,5877,281,1183.76,2024-05-13 05:27:19+00:00
130,39691,377,1194.69,2025-01-01 00:15:15+00:00
131,21349,931,924.07,2025-09-25 10:52:25+00:00
132,41115,54,657.66,2025-06-03 09:49:43+00:00
133,41115,76,1287.29,2025-09-23 09:26:22+00:00
134,30472,914,85.2,2024-05-22 04:26:55+00:00
135,30472,1956,1643.0,2025-05-06 12:23:51+00:00
136,40880,1434,1909.04,2025-08-05 00:41:59+00:00
137,40880,1964,1250.71,2024-01-14 16:23:53+00:00
138,51523,1073,1388.85,2025-05-22 21:47:03+00:00
139,40428,1830,1094.41,2025-08-12 09:28:21+00:00
140,40428,617,723.69,2024-03-20 04:08:30+00:00
141,21785,1759,1795.33,2024-09-05 15:25:55+00:00
142,37439,519,863.64,2025-10-10 01:18:00+00:00
143,3339,1405,1933.18,2025-10-21 09:39:12+00:00
144,40372,811,1895.93,2024-07-21 12:14:22+00:00
145,40372,1913,1915.0,2025-06-06 19:28:03+00:00
146,50940,538,1628.6,2024-11-10 09:18:53+00:00
147,50940,1519,1450.1,2025-08-02 23:32:03+00:00
148,47678,1160,317.75,2025-03-26 19:53:15+00:00
149,47678,1604,859.89,2025-08-11 02:17:08+00:00
150,9561,1410,1567.85,2024-06-03 18:26:44+00:00
151,9561,385,197.76,2024-11-26 14:52:39+00:00
152,4207,965,769.11,2025-11-25 04:49:51+00:00
153,4207,914,1332.55,2024-05-05 17:46:28+00:00
154,51072,1555,1862.68,2025-06-01 23:46:26+00:00
155,46430,564,1790.05,2024-01-29 07:08:57+00:00
156,46430,1335,665.05,2024-08-04 11:25:56+00:00
157,5200,638,610.89,2024-10-15 19:58:47+00:00
158,35554,1341,102.63,2024-11-21 14:32:31+00:00
159,45870,983,1761.56,2024-03-24 03:15:03+00:00
160,45870,1051,1035.25,2025-08-13 22:30:18+00:00
161,49358,68,1563.92,2025-11-15 12:27:27+00:00
162,47925,1998,1040.58,2025-04-05 04:19:59+00:00
163,47925,185,119.42,2024-11-29 09:58:05+00:00
164,37092,1622,882.02,2025-09-29 06:00:09+00:00
165,37092,643,1298.51,2025-11-23 09:19:46+00:00
166,37452,212,759.94,2025-08-07 23:27:09+00:00
167,68897,188,312.91,2024-05-04 18:26:28+00:00
168,68897,505,1832.89,2024-08-31 00:10:27+00:00
169,31631,1767,474.22,2025-12-02 04:09:15+00:00
170,7299,88,216.48,2024-02-18 23:43:50+00:00
171,63674,39,1881.59,2024-05-25 13:20:28+00:00
172,11997,2,373.83,2025-12-09 18:21:23+00:00
173,11997,356,1554.9,2024-02-16 20:52:32+00:00
174,30028,424,1253.93,2025-01-04 12:57:33+00:00
175,30028,1846,1810.36,2024-06-13 20:26:24+00:00
176,65942,1923,514.4,2025-06-02 16:03:14+00:00
177,17031,90,379.39,2024-06-07 23:41:54+00:00
178,17031,161,1362.51,2025-03-29 15:02:27+00:00
179,5640,33,1986.92,2024-04-18 19:56:32+00:00
180,10422,661,903.48,2024-10-19 10:13:21+00:00
181,58019,220,1199.43,2025-12-09 22:43:14+00:00
182,58019,292,404.75,2024-01-17 07:19:29+00:00
183,1154,405,407.69,2025-05-26 10:51:19+00:00
184,52870,1175,318.69,2025-07-31 07:34:14+00:00
185,37853,1844,661.85,2024-03-13 17:54:30+00:00
186,53889,530,872.28,2024-11-20 10:37:52+00:00
187,53889,884,1273.27,2025-03-19 02:50:37+00:00
188,8156,279,1398.44,2024-01-30 18:19:58+00:00
189,8156,234,1881.5,2024-08-21 20:15:33+00:00
190,63112,1935,917.32,2024-11-09 08:11:47+00:00
191,63112,1119,1922.78,2024-04-02 20:36:55+00:00
