cancellation_policy_id,hotel_id,cutoff_hours,penalty_percent,created_at
1,4,30771,30.84,2025-03-31 12:44:37+00:00
2,12,40851,23.53,2024-04-28 12:46:30+00:00
3,12,39182,93.16,2025-02-27 15:37:58+00:00
4,10,6355,12.06,2024-06-22 08:26:21+00:00
5,12,14115,36.39,2025-12-13 09:22:33+00:00
6,12,29150,86.7,2025-01-17 12:57:32+00:00
7,5,23107,83.83,2024-06-08 11:08:25+00:00
8,10,12399,36.73,2024-04-11 10:35:17+00:00
9,7,28816,99.38,2025-02-21 09:29:22+00:00
10,12,51941,51.58,2025-07-28 07:47:40+00:00
11,5,62636,32.9,2025-04-05 00:14:16+00:00
12,9,61556,36.84,2025-10-04 12:42:16+00:00
13,4,50387,26.3,2024-10-11 21:05:47+00:00
14,7,53231,84.11,2025-05-01 21:38:48+00:00
15,1,33959,31.32,2025-05-24 16:37:43+00:00
16,4,16762,58.36,2025-05-07 11:28:12+00:00
17,3,50304,90.44,2024-12-20 01:48:31+00:00
18,3,80425,13.6,2024-02-13 01:33:31+00:00
19,10,62219,65.32,2024-10-07 10:15:20+00:00
20,5,11732,57.3,2025-12-07 02:03:08+00:00
21,4,36881,83.87,2025-03-03 13:19:59+00:00
22,2,6281,96.06,2025-08-27 00:18:12+00:00
23,10,96880,4.15,2024-07-31 08:41:28+00:00
24,10,29263,57.65,2025-10-08 21:50:01+00:00
25,12,80991,79.87,2024-02-22 13:33:20+00:00
26,10,38030,25.39,2024-12-03 01:34:45+00:00
27,9,43654,64.92,2024-09-23 05:35:52+00:00
28,2,58511,4.79,2025-04-23 08:12:28+00:00
29,10,32809,34.4,2024-07-30 18:41:18+00:00
30,4,96058,98.35,2025-08-21 05:40:47+00:00
31,10,15430,50.32,2024-07-31 02:58:41+00:00
32,8,64996,4.1,2025-07-18 06:22:02+00:00
33,3,18532,59.16,2024-05-13 14:20:25+00:00
34,10,45592,28.05,2024-01-13 22:06:25+00:00
35,6,43899,91.49,2025-12-02 23:19:52+00:00
36,4,87788,23.44,2024-08-26 17:56:37+00:00
37,12,15611,50.85,2025-06-12 01:52:00+00:00
38,11,57553,65.74,2024-10-04 05:05:55+00:00
39,10,52285,15.28,2025-02-08 14:14:10+00:00
40,11,47311,6.21,2025-04-27 02:09:26+00:00
41,5,7562,56.44,2024-10-31 23:12:01+00:00
42,10,4058,9.01,2024-07-19 23:32:40+00:00
43,10,74411,22.96,2025-09-25 06:52:22+00:00
44,1,44572,55.63,2025-07-14 03:21:19+00:00
45,10,63984,71.73,2024-05-27 17:47:27+00:00
46,12,40961,63.76,2025-06-13 07:41:25+00:00
47,6,1836,31.71,2024-04-18 04:44:25+00:00
48,3,6756,16.29,2024-09-16 07:03:43+00:00
49,2,11441,25.32,2025-02-27 14:47:14+00:00
50,9,26884,51.98,2025-06-24 04:25:26+00:00
