check_in_id,stay_id,employee_id,checked_in_at,created_at
1,699,585,2024-09-26 11:09:23+00:00,2025-02-01 03:15:08+00:00
2,1790,8,2024-11-21 05:48:49+00:00,2025-03-14 17:48:31+00:00
3,1037,207,2024-10-20 18:19:36+00:00,2024-04-26 07:35:24+00:00
4,416,816,2024-10-31 21:04:32+00:00,2024-11-22 19:11:09+00:00
5,1072,897,2024-05-01 08:46:08+00:00,2025-12-14 16:39:10+00:00
6,243,1725,2024-12-23 21:41:45+00:00,2024-07-27 03:48:45+00:00
7,348,319,2025-08-11 06:20:49+00:00,2024-08-17 07:57:27+00:00
8,951,1590,2025-12-22 16:49:09+00:00,2025-10-22 16:58:36+00:00
9,1902,1986,2025-01-30 12:48:53+00:00,2024-11-16 10:34:31+00:00
10,1679,766,2025-04-07 13:24:38+00:00,2024-03-16 15:54:46+00:00
11,1813,462,2024-09-02 18:04:07+00:00,2025-04-21 10:35:12+00:00
12,1664,512,2024-04-10 21:41:30+00:00,2024-06-05 08:12:38+00:00
13,1079,986,2024-06-19 08:44:24+00:00,2025-12-21 09:56:14+00:00
14,793,556,2024-05-21 23:36:01+00:00,2025-10-30 04:03:53+00:00
15,1253,1845,2025-07-05 14:46:09+00:00,2024-09-22 04:19:32+00:00
16,465,226,2025-09-20 14:33:56+00:00,2025-05-28 01:07:56+00:00
17,1161,1438,2024-09-23 10:26:44+00:00,2025-06-14 21:00:01+00:00
18,1561,1509,2025-10-09 13:21:04+00:00,2024-12-16 12:18:09+00:00
19,83,1904,2024-04-11 01:25:39+00:00,2024-07-19 22:05:40+00:00
20,1913,720,2024-04-29 05:08:53+00:00,2024-08-19 01:52:59+00:00
21,921,1817,2024-12-23 02:16:14+00:00,2025-11-23 07:22:08+00:00
22,758,1775,2025-11-03 05:45:33+00:00,2025-10-10 11:28:28+00:00
23,705,69,2025-03-10 23:03:33+00:00,2025-12-31 20:15:56+00:00
24,970,1446,2025-09-01 20:20:12+00:00,2024-08-30 22:11:49+00:00
25,841,415,2024-06-04 17:15:33+00:00,2025-08-28 04:34:52+00:00
26,1626,57,2025-02-12 04:31:57+00:00,2025-04-22 10:40:58+00:00
27,1286,1815,2024-03-08 04:52:12+00:00,2024-07-28 14:56:25+00:00
28,294,522,2025-01-06 22:38:48+00:00,2025-02-16 08:58:34+00:00
29,1238,1062,2025-12-10 09:46:07+00:00,2025-10-08 00:33:38+00:00
30,1439,1194,2025-04-12 01:15:37+00:00,2024-12-19 01:26:42+00:00
31,1453,731,2025-02-23 17:48:36+00:00,2024-12-20 16:51:43+00:00
32,47,1522,2025-06-02 00:15:13+00:00,2024-02-27 17:40:03+00:00
33,563,1465,2025-12-15 09:20:07+00:00,2025-10-31 14:50:57+00:00
34,447,1104,2025-11-21 01:40:31+00:00,2024-03-26 15:29:15+00:00
35,133,1563,2025-04-06 01:26:33+00:00,2024-07-05 04:26:18+00:00
36,1695,1454,2024-09-24 18:04:40+00:00,2024-07-14 20:51:00+00:00
37,803,879,2024-04-01 00:36:44+00:00,2025-03-19 08:08:15+00:00
38,1143,884,2025-07-04 00:50:54+00:00,2024-10-28 11:06:59+00:00
39,531,1715,2025-11-18 03:29:45+00:00,2025-03-18 10:48:45+00:00
40,1928,1853,2025-01-08 19:44:18+00:00,2024-06-27 01:40:25+00:00
41,844,1326,2024-05-05 15:17:14+00:00,2025-09-06 06:51:29+00:00
42,1674,1081,2024-10-11 17:11:31+00:00,2024-05-01 00:22:46+00:00
43,1697,294,2024-12-23 21:29:41+00:00,2025-11-21 05:34:39+00:00
44,927,1614,2025-04-05 10:41:32+00:00,2025-01-06 18:04:54+00:00
45,780,996,2025-12-01 05:34:18+00:00,2025-10-10 10:23:16+00:00
46,941,136,2025-04-10 18:58:41+00:00,2024-07-17 21:52:11+00:00
47,835,1848,2025-01-24 23:04:54+00:00,2025-08-22 18:29:05+00:00
48,1798,265,2025-04-07 00:31:24+00:00,2024-06-25 11:51:03+00:00
49,1904,1149,2025-07-01 11:21:38+00:00,2025-02-08 10:11:54+00:00
50,843,138,2025-05-22 19:44:20+00:00,2025-11-10 02:17:39+00:00
51,496,850,2025-10-26 12:33:10+00:00,2025-01-11 13:12:13+00:00
52,1203,1859,2025-08-01 19:54:31+00:00,2025-12-08 15:46:06+00:00
53,1429,706,2024-05-25 16:28:15+00:00,2024-10-10 03:25:04+00:00
54,1541,652,2025-08-26 07:30:58+00:00,2025-07-30 14:31:50+00:00
55,52,933,2024-01-14 06:55:56+00:00,2025-10-17 23:31:58+00:00
56,1630,1054,2025-01-01 00:26:26+00:00,2024-04-25 07:15:49+00:00
57,1007,1958,2025-12-28 21:45:04+00:00,2024-07-23 06:23:21+00:00
58,1785,1465,2024-06-24 14:17:18+00:00,2025-09-16 16:15:19+00:00
59,812,847,2025-08-30 13:49:10+00:00,2024-05-13 16:37:24+00:00
60,842,218,2024-08-28 17:52:32+00:00,2025-07-15 07:12:57+00:00
61,636,832,2024-03-13 19:25:44+00:00,2024-02-16 02:52:05+00:00
62,1539,1216,2025-06-18 23:22:22+00:00,2024-09-21 16:30:12+00:00
