maintenance_ticket_id,room_id,assigned_employee_id,issue_description,severity,status,created_at,resolved_at
1,37,353,Bill discussion leg become manager less bad.,CRITICAL,CANCELLED,2025-04-25 14:30:57+00:00,2025-10-04 19:39:06+00:00
2,51,913,Push expert tonight practice view run.,HIGH,CANCELLED,2024-08-27 08:29:09+00:00,2025-10-24 04:09:01+00:00
3,767,1761,Yeah add task himself tough forward nothing business summer life cup.,MEDIUM,OPEN,2024-01-24 09:34:31+00:00,2025-01-17 02:59:24+00:00
4,206,370,Necessary stock something yard realize piece animal teacher.,CRITICAL,IN_PROGRESS,2024-12-01 22:12:26+00:00,2024-04-14 03:44:28+00:00
5,162,637,Receive able share on magazine last bit letter these room consumer.,LOW,DONE,2024-08-19 16:36:19+00:00,2024-10-02 08:36:12+00:00
6,654,917,Move scene need drug bank stand large dinner imagine use.,HIGH,CANCELLED,2025-02-19 20:57:13+00:00,2024-05-09 21:05:12+00:00
7,187,621,Director often leave since run result.,LOW,DONE,2024-07-06 18:53:53+00:00,2024-04-07 06:47:40+00:00
8,281,1041,Put role majority staff reveal age let lawyer career service page.,HIGH,DONE,2025-11-02 03:04:07+00:00,2025-10-14 10:41:19+00:00
9,821,1155,Choice fact dark choice those those site.,MEDIUM,IN_PROGRESS,2024-03-03 15:23:04+00:00,2024-09-28 16:07:38+00:00
10,427,225,Again really sign spring explain or difference reduce beyond common child than who.,HIGH,OPEN,2025-07-13 06:33:22+00:00,2024-08-15 08:47:20+00:00
11,63,1662,Surface who commercial owner person always not arm accept free well.,LOW,CANCELLED,2025-10-24 00:29:06+00:00,2025-07-08 05:05:09+00:00
12,396,1354,Shake natural rich loss technology two knowledge growth approach represent cell specific.,MEDIUM,OPEN,2025-10-20 01:05:38+00:00,2024-08-23 22:49:24+00:00
13,251,1411,Try letter everything issue PM voice including doctor tree spend race keep meeting.,HIGH,OPEN,2024-09-15 18:41:01+00:00,2025-06-02 21:55:31+00:00
