rate_calendar_id,rate_plan_id,cal_date,nightly_rate,created_at
1,21,2025-12-06,610.72,2024-06-11 14:42:11+00:00
2,20,2025-06-20,1495.42,2025-10-17 04:06:04+00:00
3,5,2025-12-22,1715.72,2025-09-04 01:03:57+00:00
4,33,2024-12-21,769.8,2024-07-16 11:23:47+00:00
5,48,2026-10-05,1189.1,2026-01-05 07:54:31+00:00
6,38,2024-06-25,1478.13,2024-08-22 16:30:37+00:00
7,30,2024-09-18,213.41,2024-06-12 11:33:44+00:00
8,29,2024-11-20,1782.53,2025-12-17 11:41:08+00:00
9,44,2024-09-21,224.25,2025-03-02 06:09:45+00:00
10,31,2026-01-20,708.4,2025-11-15 21:57:28+00:00
11,50,2025-04-24,1873.62,2025-07-27 19:02:17+00:00
12,11,2025-12-30,1306.48,2024-05-08 02:40:43+00:00
13,39,2025-09-20,1004.85,2025-12-12 01:15:01+00:00
14,4,2024-05-25,984.98,2024-12-22 09:35:18+00:00
15,9,2026-10-26,1639.89,2024-03-26 15:55:56+00:00
16,27,2026-11-16,150.65,2025-07-15 00:24:38+00:00
17,36,2026-10-03,907.68,2024-10-07 02:56:24+00:00
18,8,2025-10-28,1063.63,2024-03-09 04:51:46+00:00
19,32,2025-03-05,401.09,2025-01-19 05:10:51+00:00
20,14,2024-06-17,1919.45,2025-12-08 01:40:46+00:00
21,27,2026-08-14,33.74,2025-02-07 06:38:55+00:00
22,42,2026-11-20,1940.12,2025-11-26 12:41:52+00:00
23,44,2026-08-21,241.15,2025-09-25 05:12:15+00:00
24,28,2026-09-03,1438.53,2025-12-14 03:14:57+00:00
25,29,2026-10-14,980.02,2024-09-16 03:34:52+00:00
26,44,2026-09-30,684.41,2025-04-04 21:45:50+00:00
27,47,2026-11-06,326.98,2024-08-24 09:06:12+00:00
28,37,2024-08-01,563.81,2025-09-01 09:40:50+00:00
29,3,2026-06-20,441.77,2025-08-10 19:01:37+00:00
30,6,2026-09-25,472.45,2024-08-01 11:47:25+00:00
31,9,2025-09-01,811.84,2024-04-20 12:52:13+00:00
32,37,2026-02-23,734.24,2025-12-02 20:48:54+00:00
33,7,2025-02-05,178.74,2025-12-01 17:26:03+00:00
34,2,2026-10-13,1076.12,2025-10-20 13:56:30+00:00
35,40,2024-07-09,1397.73,2024-09-13 14:15:11+00:00
36,16,2026-10-09,58.65,2024-04-11 19:18:24+00:00
37,14,2024-06-14,1355.54,2024-11-25 04:36:11+00:00
38,27,2026-04-27,744.05,2025-10-11 14:07:48+00:00
39,44,2025-01-05,1230.74,2025-03-16 08:49:35+00:00
40,21,2025-04-16,1717.47,2025-03-02 00:00:17+00:00
41,18,2026-11-10,1986.81,2025-01-12 08:32:41+00:00
42,11,2024-11-29,1293.32,2024-05-27 01:59:42+00:00
43,27,2024-07-28,1632.4,2024-08-07 05:45:28+00:00
44,39,2024-08-27,479.93,2025-07-26 11:47:19+00:00
45,23,2026-12-08,375.61,2025-08-13 17:52:05+00:00
46,15,2024-06-07,1250.05,2024-12-04 06:03:45+00:00
47,47,2025-12-25,1025.78,2024-02-29 04:10:50+00:00
48,17,2024-02-17,562.94,2024-12-26 01:55:18+00:00
49,30,2024-01-11,1085.26,2024-12-26 01:08:16+00:00
50,10,2024-09-12,901.82,2024-10-25 07:15:38+00:00
