rate_plan_id,hotel_id,name,refundable,created_at,updated_at
1,5,Per_dadcfc,True,2024-05-15 06:28:48+00:00,2024-07-21 16:07:02+00:00
2,3,Address_b1a3da,False,2024-11-11 12:28:30+00:00,2024-10-31 13:30:59+00:00
3,3,Officer_fe4457,False,2025-08-30 07:51:19+00:00,2024-11-25 04:50:36+00:00
4,7,Quality_3d7238,True,2024-02-21 23:00:59+00:00,2025-12-22 08:36:35+00:00
5,9,Student_ce5688,True,2025-03-29 15:48:56+00:00,2026-04-28 03:31:58+00:00
6,9,Model_6991ae,False,2025-01-14 20:21:02+00:00,2025-08-04 15:28:50+00:00
7,4,Glass_1c580f,False,2025-10-02 18:55:14+00:00,2026-03-29 11:52:04+00:00
8,12,Much_032ce9,False,2024-03-08 05:13:48+00:00,2025-03-12 18:10:38+00:00
9,12,Available_577c74,True,2024-02-03 21:17:04+00:00,2026-04-05 15:28:25+00:00
10,2,Suffer_ca65da,True,2025-11-09 09:24:24+00:00,2024-07-16 18:25:33+00:00
11,9,Eye_51b075,False,2025-07-05 01:58:39+00:00,2025-04-06 18:49:55+00:00
12,5,Lot_7e8071,False,2024-04-04 22:24:42+00:00,2025-10-10 05:18:06+00:00
13,7,Effect_7397e6,True,2024-09-30 19:11:58+00:00,2026-03-05 09:42:59+00:00
14,3,Let_4604af,False,2025-05-06 14:44:36+00:00,2024-09-04 15:59:23+00:00
15,3,System_2776f5,True,2025-08-09 04:23:16+00:00,2024-12-11 13:22:45+00:00
16,12,Girl_28a232,True,2024-12-11 09:24:49+00:00,2025-11-09 22:51:30+00:00
17,5,Box_87d91f,True,2024-02-16 21:41:41+00:00,2025-03-27 20:53:21+00:00
18,2,Floor_510181,True,2024-04-04 19:03:48+00:00,2025-07-10 10:09:09+00:00
19,7,Return_12e3c8,True,2025-02-14 05:42:33+00:00,2025-09-14 00:40:51+00:00
20,8,His_7fc95f,True,2024-09-11 17:44:41+00:00,2025-09-13 21:14:07+00:00
21,8,Speech_2c51e7,True,2024-06-03 03:27:05+00:00,2024-11-26 00:35:37+00:00
22,7,Store_3aaacf,False,2024-03-23 15:40:47+00:00,2026-02-26 14:46:03+00:00
23,2,Create_764f70,False,2024-12-15 14:38:11+00:00,2024-03-04 14:00:12+00:00
24,7,Reach_ea7f96,False,2024-06-09 14:26:30+00:00,2024-08-17 04:40:11+00:00
25,1,Study_e0eec0,False,2025-04-17 18:02:32+00:00,2025-01-17 22:34:49+00:00
26,9,Soldier_fdb5d6,True,2025-12-15 21:07:31+00:00,2026-04-14 06:14:58+00:00
27,12,Down_a9142e,True,2024-10-28 14:56:35+00:00,2025-12-24 07:08:26+00:00
28,5,Between_50563d,True,2025-03-21 05:08:18+00:00,2025-10-24 07:11:17+00:00
29,2,Season_9ac0f4,True,2025-07-31 02:33:42+00:00,2024-09-16 12:17:33+00:00
30,3,Old_9ba690,False,2024-09-28 09:11:23+00:00,2025-08-24 09:06:54+00:00
31,8,North_4b30e3,True,2024-05-13 00:27:11+00:00,2025-11-08 11:46:40+00:00
32,2,Rule_d04a4e,False,2025-10-03 19:46:01+00:00,2025-09-04 09:03:30+00:00
33,12,Science_33aafc,False,2024-04-27 03:52:17+00:00,2025-03-25 06:05:00+00:00
34,9,Present_047fbc,False,2025-04-05 11:03:52+00:00,2024-04-16 15:45:36+00:00
35,12,Tonight_e33b5c,True,2025-03-10 08:37:10+00:00,2025-07-24 11:09:24+00:00
36,12,Person_1ebdc6,False,2025-08-19 17:34:14+00:00,2025-08-24 15:11:54+00:00
37,12,Left_26174f,True,2025-09-28 13:33:03+00:00,2025-05-14 17:08:57+00:00
38,10,Buy_a15162,True,2025-05-26 23:12:07+00:00,2024-06-22 09:04:31+00:00
39,4,Shake_e9e247,True,2024-09-02 02:40:23+00:00,2025-04-25 19:21:03+00:00
40,3,Attention_d6e097,True,2026-01-02 20:14:36+00:00,2024-10-14 18:39:58+00:00
41,6,Whole_e38b88,True,2025-10-04 14:43:08+00:00,2024-11-01 15:58:10+00:00
42,7,Others_90bed2,False,2024-07-27 17:49:45+00:00,2025-06-04 00:53:05+00:00
43,6,Wonder_45601f,False,2025-10-10 09:27:21+00:00,2024-08-22 01:14:16+00:00
44,5,Artist_d0b0f3,True,2025-04-06 15:46:08+00:00,2026-05-02 19:48:20+00:00
45,8,Fill_f70867,False,2025-10-11 16:50:24+00:00,2025-10-24 00:22:12+00:00
46,4,Window_387e49,True,2024-01-29 08:51:20+00:00,2024-10-23 23:35:27+00:00
47,10,Half_b79622,False,2025-11-06 08:13:44+00:00,2026-01-06 08:36:31+00:00
48,4,City_9dfd3b,False,2025-12-02 01:31:21+00:00,2024-04-27 15:00:36+00:00
49,12,Prevent_96cb61,False,2024-05-07 07:42:11+00:00,2025-11-16 12:53:14+00:00
50,11,Assume_aac330,False,2025-02-27 15:48:26+00:00,2025-10-20 02:46:43+00:00
