refund_id,payment_id,refund_amount,refund_reason,refunded_at,created_at
1,55100,538.78,May hand establish wish yeah beyond.,2024-06-03 04:47:31+00:00,2025-11-14 02:16:59+00:00
2,45796,684.66,Protect rich unit account together success method his indeed.,2025-12-22 18:13:22+00:00,2025-11-28 11:19:42+00:00
3,536,1574.25,Sometimes someone organization poor standard black son meeting her evening society.,2024-11-19 21:53:44+00:00,2025-09-02 04:56:55+00:00
4,18946,411.84,Attorney onto nearly Mrs watch long long age.,2024-01-26 19:46:15+00:00,2024-02-29 21:51:43+00:00
5,39411,157.06,Most will movement attention inside able fast which clear carry.,2025-02-27 08:00:04+00:00,2025-09-04 07:18:17+00:00
6,294,777.68,Quickly more stock dream many forget majority attention.,2024-03-08 13:28:01+00:00,2025-09-29 13:50:16+00:00
7,12532,520.54,Keep sing concern describe conference strong happy hit whether score.,2025-04-29 13:05:45+00:00,2024-04-28 09:16:02+00:00
8,56714,1998.9,Admit program buy clearly message cold none financial agreement.,2024-09-01 09:00:59+00:00,2024-07-15 09:14:13+00:00
9,44242,369.91,Himself follow less situation visit cut capital discover name sign.,2024-01-22 04:07:40+00:00,2025-08-03 19:28:23+00:00
10,10864,289.15,Another such face interest article many.,2024-05-10 18:18:58+00:00,2025-09-08 20:10:56+00:00
11,26139,1788.82,Analysis before live doctor huge focus increase difference discover walk fly book full.,2025-07-01 16:21:47+00:00,2025-11-07 18:47:04+00:00
12,59442,211.27,Drive event green to your pass focus billion computer reduce movement nature.,2025-05-17 04:10:17+00:00,2025-04-03 20:43:41+00:00
13,52980,158.15,Really key career similar special bit bit indicate clear political.,2024-01-27 08:41:00+00:00,2025-03-25 04:56:12+00:00
14,25398,261.0,Design beautiful note her economy be cold my.,2024-07-01 13:06:42+00:00,2025-05-29 00:54:22+00:00
15,36904,326.92,Technology give measure wide time degree.,2025-05-03 10:02:35+00:00,2024-10-27 06:42:13+00:00
16,42939,1290.4,End resource yourself follow they happen available movement meeting song per challenge forget.,2025-02-26 17:09:57+00:00,2024-03-04 10:39:48+00:00
17,8486,1570.1,Run nothing available only other receive four phone most act leave air rather.,2024-05-17 15:01:44+00:00,2025-08-27 09:37:01+00:00
18,25731,1278.59,Certainly allow themselves against leg write evening herself.,2025-12-01 06:36:35+00:00,2025-03-25 23:33:42+00:00
19,30227,1362.65,Whom serious it society upon career organization wrong key ability much.,2025-10-10 17:40:43+00:00,2025-07-04 11:15:58+00:00
20,42040,196.1,Other there bring relate trouble job.,2024-02-15 15:03:20+00:00,2024-11-23 06:16:59+00:00
21,33069,496.1,Degree way decision item old task.,2024-11-30 15:46:38+00:00,2024-08-01 04:07:46+00:00
22,53214,1922.49,Bring individual rate resource treatment what.,2025-09-25 19:01:48+00:00,2025-11-04 23:36:59+00:00
23,36607,617.12,Recently simple myself our continue about out establish truth grow drop student affect.,2024-05-01 21:37:20+00:00,2024-12-03 05:24:56+00:00
24,59710,589.83,Me morning trade certainly especially international suddenly reveal focus.,2025-05-16 08:50:51+00:00,2024-04-01 00:13:32+00:00
25,49751,1104.43,Development need toward suddenly what almost.,2025-11-08 04:53:21+00:00,2025-07-12 00:42:07+00:00
26,12074,678.54,While character with she nice particular total myself southern.,2024-10-13 16:24:24+00:00,2024-11-14 18:25:00+00:00
27,15702,59.69,List particularly decide parent suggest short.,2024-11-12 03:02:29+00:00,2025-06-05 02:44:48+00:00
28,30977,403.88,Those where watch police culture leader television would bar health bed card same listen.,2024-04-03 13:00:44+00:00,2024-12-18 04:35:14+00:00
29,17240,1307.34,Same more off worry myself no before tonight.,2025-05-13 13:39:17+00:00,2025-07-07 08:21:05+00:00
30,2108,33.96,Hundred southern among plan campaign nation window state big natural foreign subject land.,2025-09-20 01:19:01+00:00,2024-07-12 15:21:35+00:00
31,44683,1542.21,Civil yard law hard until first unit wife lay production particular.,2025-05-13 00:10:07+00:00,2024-09-24 10:08:22+00:00
32,31457,609.29,Economy better despite medical state choice letter difficult into play.,2025-02-20 00:40:16+00:00,2024-06-16 01:01:33+00:00
33,31930,176.41,Return on team difficult physical though law late example them.,2025-08-15 20:50:22+00:00,2024-09-11 11:31:38+00:00
34,38069,1632.39,Woman deal far student strong successful.,2024-06-30 18:13:04+00:00,2024-11-17 10:06:37+00:00
35,16664,42.04,Bed order hair leg free month rule agree act.,2024-03-07 09:19:48+00:00,2025-09-24 20:43:35+00:00
36,21872,1883.92,Prevent push wrong organization Democrat forget last choose paper rule record.,2024-03-19 07:59:50+00:00,2024-01-20 23:34:43+00:00
37,49041,585.04,Soon down door black improve cut central marriage fast.,2024-03-29 12:16:03+00:00,2025-07-29 13:58:48+00:00
38,10021,1357.98,Full alone talk question situation management husband tell.,2025-01-23 07:17:22+00:00,2024-12-14 02:33:12+00:00
39,6453,807.12,Per four off continue financial movement country.,2025-08-15 00:09:51+00:00,2024-09-08 19:05:14+00:00
40,57355,1020.2,Of sport than skill process site step usually our agency carry risk.,2025-12-04 16:14:57+00:00,2024-08-08 07:42:11+00:00
41,35152,1857.13,Address next have party over clearly before main chance everything.,2025-04-10 04:17:28+00:00,2024-01-16 03:26:39+00:00
42,21693,1803.15,Usually pick how follow mouth learn recently.,2025-07-14 11:04:47+00:00,2024-01-18 07:01:19+00:00
43,30851,249.33,Pass medical girl source economic crime forward part where sound describe agree.,2026-01-08 12:48:18+00:00,2025-11-27 14:41:34+00:00
44,9424,538.57,Charge answer law concern water democratic traditional.,2024-09-24 18:21:41+00:00,2025-12-05 18:39:40+00:00
45,54236,309.39,Young visit fall charge place pick full level career push.,2025-09-30 15:23:18+00:00,2025-03-05 00:58:23+00:00
46,51966,1327.48,Go huge half will different do particular trouble car evening every language need.,2025-10-31 18:53:01+00:00,2024-03-15 15:16:53+00:00
47,46938,955.71,Director read fine argue wife view where.,2025-05-13 10:15:55+00:00,2024-08-02 09:31:37+00:00
48,59790,51.71,Itself interview seem professional song practice always action improve explain.,2026-01-06 08:11:50+00:00,2025-09-25 13:30:43+00:00
49,1634,65.42,Well herself door sea tax box require land poor hope no hard.,2024-03-19 21:53:16+00:00,2025-05-08 00:07:27+00:00
50,25253,264.74,Since fire point us from eye number stage nothing any lose.,2024-08-26 19:16:43+00:00,2024-06-08 20:40:55+00:00
51,46184,1567.48,Kid fly bit explain example everybody smile their push well.,2024-01-31 02:55:45+00:00,2025-11-22 16:39:45+00:00
52,24833,1219.08,Production land piece suggest cold beat.,2025-09-30 15:28:20+00:00,2025-07-06 07:04:59+00:00
53,39273,1130.23,Reduce often capital when rule drive.,2024-10-02 05:57:23+00:00,2025-03-25 23:24:49+00:00
54,53105,1359.38,Develop traditional sure stage yourself community fire black land candidate shoulder approach.,2025-02-22 05:35:24+00:00,2025-05-15 19:21:50+00:00
55,59865,1117.43,According attack require ten dinner carry exactly piece.,2025-09-08 15:36:18+00:00,2025-10-06 01:47:55+00:00
56,1717,1355.4,Benefit economic debate prove matter realize career.,2024-07-09 00:08:08+00:00,2024-08-18 19:56:14+00:00
57,3890,856.57,Team until program outside cover series chair.,2024-12-18 18:22:40+00:00,2024-06-03 19:20:21+00:00
58,44750,1953.08,Pressure reality people thus firm finish tough plan.,2024-07-24 07:20:18+00:00,2025-12-22 11:07:13+00:00
59,59136,495.27,Hundred reason community show already think ever central.,2024-01-11 02:45:32+00:00,2025-01-05 19:41:11+00:00
60,19099,1250.82,Do easy Mr look theory low concern charge hard single.,2024-10-16 10:05:22+00:00,2024-09-13 07:30:41+00:00
61,987,1056.1,Realize type soldier because admit people person.,2024-02-23 18:38:11+00:00,2024-07-29 10:45:57+00:00
62,7678,696.34,Vote admit treatment eight window compare door.,2024-07-29 15:39:16+00:00,2024-08-16 20:52:12+00:00
63,17268,1048.77,Commercial black father growth production Mrs true defense hope member trial.,2025-11-20 22:49:49+00:00,2026-01-07 22:46:19+00:00
64,51438,1141.81,Might animal body culture heavy hear.,2025-09-17 16:45:34+00:00,2024-04-18 01:49:25+00:00
65,51833,495.29,Guess animal evening family list research message.,2025-10-20 13:51:28+00:00,2024-12-09 12:40:03+00:00
66,28517,433.36,Agent process lot hotel somebody sense resource lawyer into conference admit American body.,2024-07-22 01:59:47+00:00,2024-07-04 23:10:19+00:00
67,1864,238.29,Its book attorney member imagine sure environmental with try.,2024-08-03 01:22:04+00:00,2024-06-19 15:08:13+00:00
68,43271,1394.38,Manager think however white nation animal another.,2024-09-07 08:48:05+00:00,2025-12-21 04:41:41+00:00
69,42184,894.36,Resource pick seat rate oil mouth kind image seek many set final.,2025-05-11 13:46:31+00:00,2024-01-29 09:47:13+00:00
70,32139,118.79,Maintain operation song agreement including recognize nature evening true sister.,2025-01-09 04:08:45+00:00,2025-08-16 14:50:20+00:00
71,16008,1883.88,Effect event husband guess throughout feel where inside serve wall and out.,2024-03-24 03:18:41+00:00,2025-04-27 07:00:39+00:00
72,27282,181.87,Stand result smile nearly crime determine apply quality network TV morning try test.,2025-07-13 15:32:46+00:00,2025-04-23 22:35:00+00:00
73,23801,622.2,More fire at bad raise whatever.,2025-05-28 17:50:57+00:00,2025-01-28 07:43:12+00:00
74,51004,1943.08,Oil hard so reflect standard response create blood structure spring order.,2024-11-04 02:07:40+00:00,2024-03-14 07:20:34+00:00
75,10614,1103.15,Late lead material expert again hundred special why consider.,2025-01-24 14:17:19+00:00,2025-03-27 20:02:47+00:00
76,25280,1165.18,Those project age environmental course eight analysis continue today writer.,2024-11-25 22:12:29+00:00,2025-03-10 04:22:56+00:00
77,26320,185.03,Cover nature inside bring rule force.,2025-11-20 12:01:23+00:00,2024-09-18 09:20:36+00:00
78,10976,1105.83,Notice he throughout carry short until international ever structure address dog watch.,2024-04-12 01:29:59+00:00,2025-01-31 05:08:06+00:00
79,23546,1544.59,Card little create however challenge particular hair year with later total benefit.,2024-11-28 19:14:21+00:00,2026-01-09 03:26:00+00:00
80,44370,1266.31,Watch card field better business relate.,2024-08-03 20:15:59+00:00,2024-09-04 04:35:29+00:00
81,49653,1786.13,Rather guy art policy feel whatever discuss special.,2025-10-29 09:22:25+00:00,2024-07-30 15:57:21+00:00
82,13028,504.24,Point far position why decision visit better hair.,2024-12-08 14:18:32+00:00,2025-08-09 15:47:26+00:00
83,21065,1734.83,Partner social his relate pass arrive American age bar hospital detail camera discussion.,2024-07-17 01:06:17+00:00,2024-09-16 09:05:14+00:00
84,3015,1890.84,Family light recently gas civil think expert collection religious follow accept pay.,2024-06-15 02:23:12+00:00,2024-03-01 06:58:13+00:00
85,804,1411.77,Over pick film staff product dream.,2025-06-07 01:03:05+00:00,2026-01-05 13:02:00+00:00
86,13628,432.41,Heart artist push page send sing body pressure oil people plan measure.,2025-12-16 23:12:17+00:00,2024-06-14 04:41:02+00:00
87,13449,1136.24,Manage until represent book director network per system experience next.,2025-10-01 03:20:53+00:00,2025-05-13 13:08:40+00:00
88,52757,175.05,Make so garden color forward third price standard.,2025-01-12 12:53:47+00:00,2025-12-18 10:39:35+00:00
89,20609,1389.36,Care stay fish strategy first picture.,2025-10-14 15:32:33+00:00,2025-06-16 11:04:11+00:00
90,56166,785.62,Suffer such my yes too very star act painting central two cut stay.,2025-03-04 22:38:12+00:00,2025-06-03 09:58:15+00:00
91,7672,437.25,Support common energy turn relationship water meeting wide important.,2025-01-15 16:52:54+00:00,2025-02-02 03:34:09+00:00
92,34683,1487.77,Quality fast write between history back.,2024-07-13 23:38:00+00:00,2024-05-22 05:13:06+00:00
93,57441,704.67,Fight speak window along push bank here middle force present industry contain.,2025-06-30 20:01:14+00:00,2024-05-11 09:13:58+00:00
94,3211,862.28,Matter shake whether although who conference pretty town eight soon.,2024-04-15 20:42:11+00:00,2024-03-05 03:56:07+00:00
95,8128,1968.13,Ask investment say without certain man her writer sport woman treat view cell.,2025-12-26 20:39:09+00:00,2025-07-01 00:58:56+00:00
96,55873,1959.89,Remain price them sure heavy meet film paper require conference.,2025-09-20 05:10:58+00:00,2025-11-13 12:58:56+00:00
97,36356,1649.04,Participant single soon full discussion stand identify value idea through.,2024-09-09 07:48:28+00:00,2024-01-24 22:33:32+00:00
98,629,536.39,Crime always win oil somebody book race risk her low everybody do more.,2024-12-05 23:16:10+00:00,2024-01-23 14:41:19+00:00
99,3002,1938.29,Compare explain speech rule level bring key to everyone future style pass.,2025-05-03 14:21:30+00:00,2025-06-10 12:39:54+00:00
100,8794,1706.04,Nice early white future where lead reality coach speak.,2025-01-04 20:50:41+00:00,2025-07-19 19:31:42+00:00
101,58525,1890.51,Especially gun movement although somebody market defense we foot by those structure Republican establish.,2025-02-15 16:35:40+00:00,2024-03-19 02:28:24+00:00
102,28256,88.05,Good shoulder team our store cultural.,2024-07-15 16:43:31+00:00,2025-09-06 03:29:43+00:00
103,3522,135.61,Look machine blood kid wind heavy where treatment see realize station.,2024-05-11 17:00:30+00:00,2025-09-24 05:55:03+00:00
104,37892,1062.73,No scientist lose politics activity which PM group require remain.,2025-07-22 23:09:16+00:00,2025-10-06 14:07:34+00:00
105,12257,1966.55,Strong son tell hair too hard lot meeting spend commercial last ability political difference.,2025-07-20 15:34:45+00:00,2024-05-01 06:52:48+00:00
106,22867,943.82,Position significant nearly team phone computer general significant join story.,2025-09-04 15:19:57+00:00,2025-04-09 05:58:07+00:00
107,3357,336.2,Throughout hundred ever religious administration develop eat meeting receive entire.,2025-01-20 19:07:59+00:00,2026-01-10 05:37:57+00:00
108,11342,1426.06,Situation with by how language condition too firm.,2024-07-28 08:31:45+00:00,2025-08-11 14:11:21+00:00
109,38776,34.25,Collection three whom without truth color expect thought speech line.,2024-11-24 04:11:32+00:00,2025-02-11 22:52:02+00:00
110,27251,1509.87,Oil sing seat impact agency project.,2025-07-23 12:03:17+00:00,2025-02-22 07:48:41+00:00
111,38089,270.47,Far prevent form need identify agree manager or general nature.,2025-03-03 12:45:28+00:00,2025-11-27 23:22:09+00:00
112,27532,1781.19,Guy time price world career capital lay strong push safe.,2025-02-03 20:44:30+00:00,2025-09-20 13:18:33+00:00
113,47593,1417.22,Able ago thus age major media.,2025-05-11 17:12:22+00:00,2025-03-05 02:25:00+00:00
114,8719,213.94,Everything this necessary upon world job scientist process certain possible.,2024-10-04 02:25:06+00:00,2024-09-09 04:48:27+00:00
