review_score_id,review_id,review_category_id,score,created_at
1,1686,641,2,2024-12-03 23:52:38+00:00
2,1946,1321,1,2025-02-08 19:56:39+00:00
3,683,919,2,2026-01-07 20:33:29+00:00
4,1635,1618,4,2024-12-18 14:50:53+00:00
5,543,744,4,2024-08-12 13:02:57+00:00
6,1524,330,5,2025-02-19 07:11:12+00:00
7,1697,1891,5,2024-09-21 00:08:58+00:00
8,20,1978,2,2025-01-03 08:49:59+00:00
9,613,1201,5,2025-08-02 15:57:35+00:00
10,841,1350,5,2024-02-07 13:36:34+00:00
11,1726,1915,4,2025-10-04 15:18:29+00:00
12,291,56,3,2024-07-05 10:50:43+00:00
13,1745,1705,1,2024-10-27 14:13:26+00:00
14,1178,1085,5,2025-12-18 01:26:40+00:00
15,96,1989,1,2024-01-31 23:11:47+00:00
16,1192,1730,5,2024-02-10 03:08:07+00:00
17,900,1894,4,2025-01-25 21:14:24+00:00
18,1315,373,4,2024-02-02 05:46:10+00:00
19,1091,1557,1,2024-12-26 08:17:24+00:00
20,687,139,4,2025-04-16 03:45:53+00:00
21,1909,1956,1,2024-07-03 07:02:29+00:00
22,1647,1883,2,2025-10-16 04:47:06+00:00
23,839,1124,2,2024-05-12 12:34:38+00:00
24,1893,1858,5,2025-07-11 17:52:38+00:00
25,764,447,3,2025-10-24 19:55:29+00:00
26,1462,458,4,2024-03-03 16:46:34+00:00
27,456,1009,3,2025-11-12 21:40:22+00:00
28,74,1496,1,2024-03-13 18:21:10+00:00
29,964,315,2,2025-01-06 03:29:10+00:00
30,1220,1241,2,2024-10-10 10:45:30+00:00
31,1048,954,1,2024-12-12 00:05:56+00:00
32,1588,1714,1,2024-03-08 11:21:15+00:00
33,825,944,4,2025-05-29 06:51:42+00:00
34,1824,1286,1,2025-01-29 00:37:58+00:00
35,1863,184,5,2024-04-04 04:07:35+00:00
36,712,1431,3,2024-05-31 16:29:15+00:00
37,1639,1011,3,2025-09-28 05:50:28+00:00
38,196,317,3,2025-06-09 23:57:47+00:00
39,1093,1348,2,2024-09-23 02:11:33+00:00
40,1705,1233,5,2025-05-24 00:55:07+00:00
41,919,1528,1,2025-12-13 18:43:52+00:00
42,928,1499,3,2024-01-29 17:03:30+00:00
43,873,59,1,2024-04-11 08:44:17+00:00
44,1721,796,3,2025-02-13 15:03:13+00:00
45,883,901,5,2025-01-22 00:16:09+00:00
46,1245,270,1,2025-04-13 06:10:40+00:00
47,45,909,2,2025-04-24 01:25:01+00:00
48,1957,1504,3,2024-12-27 18:41:50+00:00
49,1973,886,4,2025-11-30 21:38:53+00:00
50,1768,1071,4,2024-09-28 05:13:08+00:00
51,44,316,3,2025-11-10 10:29:49+00:00
52,1053,265,4,2024-05-16 20:51:17+00:00
53,1573,1116,1,2024-12-05 17:05:13+00:00
54,892,678,5,2025-11-21 00:30:36+00:00
55,1109,1587,1,2025-06-09 11:10:02+00:00
56,144,1326,3,2024-04-04 07:43:19+00:00
57,1537,819,4,2024-05-04 20:09:35+00:00
58,710,727,5,2024-07-22 16:29:41+00:00
59,1945,1275,3,2025-06-24 10:02:53+00:00
60,1953,1941,2,2025-02-24 11:17:13+00:00
61,809,771,5,2025-02-12 22:29:36+00:00
62,1642,1616,3,2024-01-21 23:38:55+00:00
63,284,108,3,2025-04-09 06:54:40+00:00
64,1228,880,1,2025-05-20 04:13:30+00:00
65,1297,663,5,2025-02-01 18:00:40+00:00
66,1906,369,2,2025-10-15 21:47:33+00:00
67,828,430,2,2024-10-17 23:47:31+00:00
68,422,7,4,2025-04-22 15:38:18+00:00
69,1708,1788,3,2024-09-08 06:43:42+00:00
70,427,724,4,2024-03-02 10:30:57+00:00
71,1261,1929,1,2024-05-04 01:07:53+00:00
72,185,1104,5,2025-04-13 14:32:17+00:00
73,1656,714,1,2024-04-27 00:49:03+00:00
74,229,360,2,2025-01-10 12:40:44+00:00
75,1949,1583,5,2024-09-12 21:35:37+00:00
76,387,783,2,2026-01-05 18:12:33+00:00
77,229,1336,5,2025-09-12 16:19:40+00:00
78,781,1779,4,2024-11-19 08:10:33+00:00
79,1618,352,3,2025-01-03 06:56:06+00:00
80,773,443,2,2024-04-14 04:55:09+00:00
81,1498,22,5,2024-05-19 13:38:49+00:00
82,1284,1975,3,2025-03-17 12:30:43+00:00
83,600,1572,2,2025-08-25 09:49:50+00:00
84,231,726,5,2025-11-26 15:11:27+00:00
85,1809,593,1,2024-08-19 22:58:07+00:00
86,1203,387,1,2024-12-15 18:59:05+00:00
87,417,1705,4,2025-07-09 22:41:12+00:00
88,1861,1312,4,2024-06-05 11:43:58+00:00
89,1350,348,2,2025-07-14 04:49:44+00:00
90,1631,1702,3,2024-03-10 03:23:21+00:00
91,960,1677,1,2025-10-30 08:56:04+00:00
92,715,1875,3,2025-03-08 01:14:41+00:00
93,96,1849,3,2024-08-07 01:00:12+00:00
94,453,1742,5,2025-12-27 08:38:48+00:00
95,188,1584,4,2024-04-05 10:01:19+00:00
96,734,1566,3,2025-01-25 08:49:54+00:00
97,427,1362,1,2024-04-29 22:58:05+00:00
98,1107,1307,4,2025-12-29 15:55:59+00:00
99,691,750,4,2025-06-06 13:02:42+00:00
100,309,1696,5,2024-06-08 19:18:38+00:00
101,879,318,4,2024-11-08 16:07:42+00:00
102,471,265,5,2025-04-01 14:04:25+00:00
103,450,736,4,2024-08-05 16:08:04+00:00
104,1269,1269,2,2025-02-08 19:00:23+00:00
105,1803,454,2,2024-10-02 13:11:02+00:00
106,459,1241,2,2025-11-29 18:58:53+00:00
107,804,13,5,2025-10-25 08:28:53+00:00
108,1226,1840,5,2025-03-06 02:27:45+00:00
109,634,1750,1,2024-03-25 14:17:37+00:00
110,1249,595,5,2025-07-15 13:55:51+00:00
111,1516,138,2,2024-03-09 07:10:44+00:00
112,1750,113,2,2025-08-02 13:19:39+00:00
113,1939,899,2,2025-05-26 03:11:52+00:00
114,248,600,5,2024-02-26 04:44:15+00:00
115,1415,382,4,2025-11-27 05:25:48+00:00
116,574,87,2,2024-06-16 00:21:35+00:00
117,231,961,2,2025-10-25 11:03:10+00:00
118,1055,1535,5,2025-09-21 09:13:14+00:00
119,224,793,4,2025-04-09 18:24:30+00:00
120,1547,1453,4,2025-11-20 00:19:37+00:00
121,520,1746,4,2025-10-11 05:58:02+00:00
122,1924,778,1,2025-04-19 06:29:51+00:00
123,749,881,4,2024-10-03 22:56:53+00:00
124,89,133,2,2024-06-22 19:05:30+00:00
125,1678,1448,2,2024-03-04 11:30:15+00:00
126,1981,1249,3,2024-02-14 16:22:55+00:00
127,754,582,4,2024-10-23 22:01:27+00:00
128,1189,710,4,2024-03-23 23:56:43+00:00
129,955,1463,1,2024-07-29 06:42:10+00:00
130,1698,477,5,2025-01-08 02:22:26+00:00
131,1173,1331,5,2024-11-05 06:24:54+00:00
132,1097,1498,2,2024-07-14 09:20:21+00:00
133,1458,853,4,2025-11-26 22:26:47+00:00
134,1134,758,2,2024-05-17 23:00:00+00:00
135,360,1132,5,2025-12-14 17:21:04+00:00
136,654,1245,5,2025-12-30 06:43:47+00:00
137,1263,75,4,2025-08-27 17:52:44+00:00
138,798,1098,1,2024-11-20 14:05:20+00:00
139,452,364,1,2025-07-02 16:06:51+00:00
140,298,67,1,2025-03-27 13:38:32+00:00
141,1674,387,5,2024-08-18 21:38:35+00:00
142,1017,222,5,2025-04-30 16:21:40+00:00
143,308,599,2,2024-05-30 04:39:27+00:00
144,354,626,4,2024-12-04 07:34:44+00:00
145,1867,315,5,2024-12-11 16:02:54+00:00
146,282,1609,1,2024-04-25 08:40:27+00:00
147,1815,1278,3,2025-08-02 04:04:47+00:00
148,409,703,2,2025-04-12 07:26:13+00:00
149,1751,963,4,2024-11-22 11:34:27+00:00
150,1394,1236,5,2025-01-26 22:53:30+00:00
151,108,749,2,2024-10-07 16:22:58+00:00
152,215,1351,2,2024-04-16 04:01:10+00:00
153,1026,194,1,2024-10-14 08:49:45+00:00
154,1434,823,3,2025-12-09 14:30:25+00:00
155,786,393,2,2024-08-27 16:28:04+00:00
156,652,1294,5,2025-01-08 01:31:41+00:00
157,86,76,5,2024-06-11 03:27:10+00:00
158,84,907,2,2025-03-28 12:59:49+00:00
159,427,1075,4,2024-10-24 02:41:36+00:00
160,1259,539,1,2024-11-13 06:23:13+00:00
161,497,774,4,2025-03-31 18:10:47+00:00
162,992,614,4,2025-11-09 19:25:04+00:00
163,1926,757,5,2025-03-05 13:05:42+00:00
164,250,985,3,2024-01-26 22:52:52+00:00
165,334,526,3,2024-04-08 03:10:34+00:00
166,1836,903,3,2024-11-20 08:48:52+00:00
167,1112,353,3,2024-10-09 00:45:15+00:00
168,1998,1625,4,2025-02-25 21:22:16+00:00
169,1039,179,1,2025-07-25 18:29:43+00:00
170,1719,1098,2,2024-08-22 05:39:22+00:00
171,806,1196,4,2024-12-23 11:54:26+00:00
172,1750,1724,5,2025-11-02 21:39:52+00:00
173,1705,989,3,2025-04-22 08:41:51+00:00
174,1676,271,5,2024-01-27 10:23:23+00:00
175,1437,1206,4,2024-01-18 19:26:11+00:00
176,360,809,3,2025-03-08 10:58:59+00:00
177,954,953,4,2025-11-29 10:33:14+00:00
178,1550,314,2,2025-05-06 19:45:22+00:00
179,1270,768,2,2024-12-28 09:38:06+00:00
180,577,1762,2,2024-05-21 22:03:41+00:00
181,599,1249,1,2025-07-09 18:44:41+00:00
182,930,17,5,2025-12-11 04:06:19+00:00
183,863,597,1,2025-04-27 11:41:04+00:00
184,672,422,1,2024-02-07 13:42:06+00:00
185,1417,1708,4,2025-04-19 00:50:23+00:00
186,1512,993,5,2024-08-04 22:05:21+00:00
187,1470,1585,3,2024-04-10 10:01:51+00:00
188,1054,309,4,2024-11-09 21:27:56+00:00
189,1169,1602,5,2025-11-02 21:19:23+00:00
190,1290,1140,5,2025-05-03 10:29:48+00:00
191,673,730,2,2025-02-09 20:56:30+00:00
192,1243,645,1,2025-02-16 12:29:53+00:00
193,410,83,1,2025-08-23 11:50:59+00:00
194,691,1901,3,2026-01-06 16:04:47+00:00
195,415,597,4,2025-05-22 05:17:22+00:00
196,225,1470,2,2026-01-01 07:28:27+00:00
197,102,867,2,2024-08-28 03:08:20+00:00
198,181,937,5,2025-04-11 18:07:49+00:00
199,717,771,4,2024-07-27 09:57:31+00:00
200,1923,1135,4,2024-03-20 04:01:47+00:00
201,773,1466,5,2025-07-24 03:02:25+00:00
202,274,1167,3,2024-05-01 23:19:03+00:00
203,1803,1737,1,2025-12-23 12:02:09+00:00
204,356,641,2,2025-02-28 23:40:33+00:00
205,1502,1222,5,2025-12-31 07:40:03+00:00
206,886,1063,4,2024-03-17 21:00:39+00:00
207,1864,1026,5,2025-10-13 15:25:17+00:00
208,79,1231,4,2025-03-16 14:26:49+00:00
209,987,41,1,2024-01-16 13:01:46+00:00
210,1259,290,2,2024-05-10 10:39:33+00:00
211,1371,1410,3,2024-11-13 06:08:46+00:00
212,527,439,5,2024-05-21 06:02:14+00:00
213,714,604,3,2024-05-24 15:35:29+00:00
214,1868,154,4,2024-09-13 11:39:16+00:00
215,983,1628,3,2024-09-02 11:25:04+00:00
216,714,273,4,2024-09-21 04:59:35+00:00
217,202,1907,3,2024-05-28 00:13:18+00:00
218,145,815,1,2024-08-31 22:07:58+00:00
219,1482,224,2,2025-11-21 00:46:33+00:00
220,751,1895,1,2025-09-06 03:43:48+00:00
221,1813,1233,4,2025-12-22 07:16:30+00:00
222,181,597,4,2025-11-26 01:07:10+00:00
223,1190,22,1,2025-04-28 16:21:10+00:00
224,465,565,1,2025-08-07 19:29:42+00:00
225,1124,232,5,2024-05-13 12:23:03+00:00
226,1346,994,2,2024-03-18 10:42:27+00:00
227,1555,1558,1,2024-04-09 05:05:13+00:00
228,1133,1981,5,2025-04-01 10:14:21+00:00
229,1189,177,4,2024-10-17 21:31:54+00:00
230,382,1679,1,2025-03-16 06:09:06+00:00
231,1853,1474,2,2025-07-26 13:08:16+00:00
232,1667,376,1,2025-02-25 10:22:31+00:00
233,1385,122,1,2025-09-13 11:22:26+00:00
234,1013,633,5,2025-10-19 03:29:07+00:00
235,199,618,5,2025-05-16 15:17:27+00:00
236,928,1934,5,2024-10-31 13:31:45+00:00
237,62,739,2,2025-10-14 21:48:42+00:00
238,833,722,5,2025-01-01 06:39:50+00:00
239,814,419,5,2025-02-09 21:24:05+00:00
240,1423,306,1,2024-08-26 10:45:09+00:00
241,798,1440,3,2025-02-28 02:38:03+00:00
242,1209,704,5,2024-02-06 06:48:28+00:00
243,384,1477,2,2024-12-19 12:29:31+00:00
244,1088,71,1,2025-01-16 16:06:20+00:00
245,945,954,1,2024-10-03 03:23:17+00:00
246,1988,314,2,2024-11-01 04:35:09+00:00
247,1276,1345,1,2025-12-30 19:06:08+00:00
248,976,1676,3,2024-04-07 23:48:01+00:00
249,728,8,4,2024-04-22 15:49:51+00:00
250,140,1895,1,2024-09-20 07:49:17+00:00
251,1843,148,2,2025-12-20 09:07:32+00:00
252,1922,127,2,2024-06-09 18:26:45+00:00
253,1017,68,3,2024-04-02 13:23:44+00:00
254,1939,1548,3,2024-02-18 10:51:20+00:00
255,1255,1186,3,2025-01-28 20:15:39+00:00
256,1539,1869,5,2025-05-01 13:51:56+00:00
257,1083,1862,4,2024-09-08 12:29:22+00:00
258,944,513,2,2025-01-18 21:52:09+00:00
259,1522,1715,4,2025-10-21 02:37:16+00:00
260,1238,1610,3,2025-02-04 18:38:43+00:00
261,287,1942,4,2025-07-18 00:04:35+00:00
262,487,1934,1,2025-03-26 12:20:11+00:00
263,1190,770,4,2025-09-15 09:19:18+00:00
264,1579,315,5,2025-02-07 18:12:44+00:00
265,359,486,2,2024-08-01 03:50:19+00:00
266,1665,1019,3,2025-05-21 10:50:49+00:00
267,636,922,3,2024-01-19 01:03:08+00:00
268,1378,907,3,2025-11-11 10:46:47+00:00
269,848,830,3,2024-05-09 18:31:41+00:00
270,1639,659,1,2024-05-29 17:10:50+00:00
271,605,892,5,2024-08-03 10:21:18+00:00
272,872,608,5,2024-08-15 10:10:10+00:00
273,1839,1688,3,2025-05-16 05:51:54+00:00
274,1296,1320,2,2025-03-26 11:24:44+00:00
275,1158,336,5,2024-12-09 08:50:47+00:00
276,6,1991,5,2024-07-08 02:19:19+00:00
277,1896,487,2,2024-11-10 18:54:44+00:00
278,1946,999,2,2024-02-13 05:09:04+00:00
279,585,1835,3,2024-10-26 19:37:27+00:00
280,547,887,1,2025-08-01 14:07:09+00:00
281,774,174,3,2025-01-08 15:20:16+00:00
282,1552,1792,4,2025-10-14 16:24:46+00:00
283,1006,1094,1,2025-05-23 07:14:44+00:00
284,231,918,4,2025-01-16 22:22:30+00:00
285,460,103,5,2024-08-02 03:54:34+00:00
286,1031,658,3,2025-12-21 23:04:19+00:00
287,1853,295,1,2024-07-18 08:52:30+00:00
288,968,771,5,2025-05-24 12:06:01+00:00
289,1389,14,2,2025-08-15 16:59:56+00:00
290,1824,1945,1,2024-06-19 00:02:09+00:00
291,431,1272,1,2024-08-19 08:31:21+00:00
292,1535,1109,1,2024-09-22 15:51:32+00:00
293,1410,1530,3,2025-06-05 15:15:09+00:00
294,191,1771,1,2025-08-08 19:19:33+00:00
295,376,686,2,2024-01-15 07:19:29+00:00
296,38,763,1,2024-05-05 19:34:51+00:00
297,658,1385,1,2024-08-15 12:23:03+00:00
298,1757,1766,1,2025-10-10 16:09:41+00:00
299,1432,942,4,2025-09-08 22:49:58+00:00
300,1393,686,3,2024-05-04 21:50:52+00:00
301,330,915,3,2025-10-07 11:52:41+00:00
302,328,1287,1,2025-01-07 20:49:17+00:00
303,501,669,1,2026-01-07 05:32:59+00:00
304,1088,1697,3,2025-11-05 04:32:50+00:00
305,200,1829,4,2025-03-21 23:50:09+00:00
306,948,634,4,2024-05-08 09:12:22+00:00
307,398,1325,2,2025-07-12 06:08:16+00:00
308,595,1899,3,2025-01-24 14:34:44+00:00
309,83,1969,2,2024-10-17 03:05:27+00:00
310,732,1523,3,2024-06-03 22:00:45+00:00
311,701,455,5,2025-09-17 04:15:33+00:00
312,1118,170,2,2025-05-16 02:36:45+00:00
313,428,1766,3,2024-02-04 20:33:47+00:00
314,577,917,3,2025-07-08 14:43:27+00:00
315,1747,124,5,2024-07-12 17:20:32+00:00
316,180,1038,5,2024-08-02 18:29:22+00:00
317,73,825,2,2025-11-02 23:48:17+00:00
318,244,96,5,2025-06-12 16:02:46+00:00
319,517,1257,4,2025-04-09 00:43:14+00:00
320,1822,1976,4,2024-09-30 01:42:54+00:00
321,717,1326,1,2024-07-18 19:07:37+00:00
322,1214,277,4,2024-12-10 16:37:27+00:00
323,1207,1229,5,2024-12-12 19:52:58+00:00
324,706,239,4,2025-09-23 10:20:54+00:00
325,1394,113,1,2024-08-07 05:36:43+00:00
326,1453,10,5,2025-08-11 07:50:12+00:00
327,750,1313,2,2025-03-11 09:53:09+00:00
328,1462,314,4,2025-03-21 08:58:07+00:00
329,1117,325,1,2025-07-10 19:00:12+00:00
330,652,1677,1,2025-07-16 11:58:41+00:00
331,1701,279,4,2025-03-17 17:16:28+00:00
332,1022,1193,3,2024-09-29 03:56:15+00:00
333,1193,374,5,2024-08-31 07:32:52+00:00
334,791,1002,4,2025-10-10 13:05:56+00:00
335,739,566,3,2024-05-27 21:06:16+00:00
336,1404,1321,3,2025-03-22 10:27:21+00:00
337,1198,1355,1,2024-09-28 17:29:06+00:00
338,975,1048,5,2025-08-14 14:46:35+00:00
339,1301,643,1,2025-05-28 07:00:30+00:00
340,602,1560,4,2025-08-05 17:56:45+00:00
341,1551,1275,1,2025-08-18 19:16:57+00:00
342,1967,137,2,2024-07-29 03:21:28+00:00
343,742,499,3,2025-06-25 20:44:24+00:00
344,1728,1941,5,2024-02-06 12:55:30+00:00
345,1948,1869,5,2025-09-08 18:32:31+00:00
346,301,768,4,2024-04-09 10:55:41+00:00
347,813,30,4,2025-02-22 20:41:56+00:00
348,1773,1262,1,2024-09-22 17:41:33+00:00
349,510,1864,5,2024-12-07 07:39:09+00:00
350,1521,1598,1,2024-07-16 23:02:47+00:00
351,76,850,3,2025-08-16 19:25:33+00:00
352,419,228,3,2024-10-17 14:20:48+00:00
353,1400,327,4,2025-01-16 11:27:56+00:00
354,7,757,4,2024-06-25 17:26:45+00:00
355,286,1938,4,2024-05-01 19:17:29+00:00
356,647,464,5,2025-01-24 20:43:25+00:00
357,215,1166,5,2024-12-01 22:14:46+00:00
358,486,68,5,2025-08-22 13:19:33+00:00
359,476,1136,2,2025-07-14 13:02:03+00:00
360,449,1445,3,2024-04-19 08:01:12+00:00
361,1069,719,5,2024-01-29 12:37:51+00:00
362,577,914,3,2025-05-12 02:02:59+00:00
363,554,160,3,2024-11-06 21:07:04+00:00
364,48,1392,2,2024-03-26 17:19:38+00:00
365,1459,1095,4,2025-02-01 01:02:51+00:00
366,1062,1308,4,2024-12-27 12:21:33+00:00
367,1891,1568,5,2025-09-29 20:09:51+00:00
368,1977,585,4,2024-06-17 09:47:46+00:00
369,1661,1149,4,2024-11-25 00:11:37+00:00
370,1981,864,1,2025-02-01 06:42:26+00:00
371,1488,1937,2,2025-10-26 06:07:40+00:00
372,288,1601,1,2024-08-15 09:18:20+00:00
373,1807,43,4,2025-02-10 13:24:09+00:00
374,1333,680,2,2025-04-25 12:30:15+00:00
375,1796,1754,3,2025-02-11 08:43:36+00:00
376,1042,1332,4,2025-09-02 04:26:18+00:00
377,370,396,3,2025-11-28 19:06:53+00:00
378,1938,1903,4,2025-10-07 06:32:53+00:00
379,29,1254,3,2025-07-07 20:15:11+00:00
380,1173,833,2,2025-06-07 04:12:30+00:00
381,247,1829,4,2024-06-04 08:53:48+00:00
382,635,1758,5,2024-02-04 22:18:02+00:00
383,1970,408,5,2024-09-03 19:18:28+00:00
384,1366,507,5,2024-12-19 13:29:38+00:00
385,1809,1777,4,2025-07-24 00:49:06+00:00
386,971,828,2,2024-09-13 15:21:12+00:00
387,932,864,5,2024-02-25 12:11:26+00:00
388,1923,1947,5,2024-12-02 20:04:05+00:00
389,501,1888,1,2024-07-30 23:26:43+00:00
390,773,1757,4,2024-04-04 10:59:36+00:00
391,69,511,5,2025-03-16 03:08:46+00:00
392,265,1285,5,2024-10-03 22:29:24+00:00
393,1966,1427,3,2024-11-22 19:18:04+00:00
394,1846,1134,3,2025-01-07 06:41:28+00:00
395,345,1268,3,2025-12-09 20:08:17+00:00
396,1067,856,3,2025-12-01 03:55:28+00:00
397,871,74,4,2024-05-19 07:08:41+00:00
398,1265,261,3,2025-09-22 11:46:30+00:00
399,1259,640,4,2024-01-19 22:48:25+00:00
400,263,1907,3,2025-09-12 02:55:05+00:00
401,843,14,3,2025-05-26 05:33:12+00:00
402,502,1814,5,2025-08-10 22:53:11+00:00
403,1401,114,2,2024-01-31 04:35:01+00:00
404,973,261,5,2024-12-30 15:09:17+00:00
405,161,456,2,2025-02-12 15:59:19+00:00
406,957,1165,3,2024-10-09 20:03:13+00:00
407,1825,1413,2,2025-10-20 17:32:44+00:00
408,12,753,2,2024-07-11 17:42:55+00:00
409,20,1221,2,2024-03-12 09:54:36+00:00
410,1220,1103,5,2025-03-30 17:56:27+00:00
411,45,1988,4,2025-02-16 15:14:32+00:00
412,275,451,4,2025-07-31 17:43:16+00:00
413,305,1940,2,2024-08-18 07:07:35+00:00
414,518,965,3,2025-06-18 21:51:08+00:00
415,1465,1212,5,2025-06-06 10:33:01+00:00
416,1591,804,2,2025-07-25 13:04:48+00:00
417,1010,1344,3,2024-11-19 07:52:38+00:00
418,347,1162,2,2024-02-01 21:24:16+00:00
419,871,1103,1,2024-06-01 21:22:26+00:00
420,1570,1129,5,2024-03-19 21:37:39+00:00
421,1810,660,2,2024-12-25 09:25:37+00:00
