room_id,hotel_id,room_type_id,room_number,floor,status,created_at,updated_at
1,2,25,Yard yard foot quite base sport region rich finish key article girl.,6,OUT_OF_SERVICE,2024-10-23 08:53:31+00:00,2025-12-31 08:02:59+00:00
2,8,16,New yourself so professional kid together marriage least window need area.,7,ACTIVE,2025-07-07 18:56:17+00:00,2024-08-07 20:01:07+00:00
3,7,32,Himself begin determine leader artist itself need continue per risk though sure else.,8,OUT_OF_SERVICE,2025-01-09 20:58:46+00:00,2025-06-24 15:07:30+00:00
4,2,39,Hour expect recognize chair compare might system itself family hair manager.,4,ACTIVE,2024-08-18 19:06:00+00:00,2025-07-11 00:20:56+00:00
5,10,50,Pass exist more surface likely statement.,9,OUT_OF_SERVICE,2024-07-10 21:56:17+00:00,2025-11-14 19:43:28+00:00
6,10,38,Now none morning meet school stop strategy letter health customer tree.,7,OUT_OF_SERVICE,2024-03-27 20:47:14+00:00,2024-04-12 10:38:54+00:00
7,1,10,Like poor her lawyer money consumer tonight yet apply event.,7,INACTIVE,2024-10-05 06:31:15+00:00,2024-08-21 23:36:09+00:00
8,5,49,Daughter against firm begin training than whatever thousand hospital green ground.,7,INACTIVE,2025-10-03 23:32:17+00:00,2025-05-26 11:51:42+00:00
9,5,8,Herself artist draw her task stay you rise institution of company hope.,9,INACTIVE,2025-03-04 06:19:48+00:00,2024-07-21 18:55:04+00:00
10,6,30,Food dark rich goal thousand evening kind early watch baby.,3,INACTIVE,2025-02-27 00:50:07+00:00,2025-12-25 13:40:33+00:00
11,2,22,Down state actually capital difference western wall PM day water.,6,ACTIVE,2026-01-07 20:59:14+00:00,2025-08-24 17:22:27+00:00
12,3,16,Describe necessary position night media write we brother team yeah cause.,8,ACTIVE,2024-07-27 06:10:31+00:00,2025-05-04 04:45:17+00:00
13,2,28,Political lawyer inside language education best goal field over energy bill.,3,OUT_OF_SERVICE,2024-07-05 16:39:43+00:00,2025-10-10 04:37:59+00:00
14,10,9,Step item quality statement white cover chair explain house how decade care stock.,7,ACTIVE,2026-01-02 05:02:35+00:00,2025-10-04 21:17:04+00:00
15,1,27,Room believe above thus hand range.,7,ACTIVE,2024-10-19 00:23:10+00:00,2025-05-10 02:49:09+00:00
16,7,43,Bit plan language personal hard represent rich per.,4,INACTIVE,2024-05-23 14:25:23+00:00,2024-09-12 02:35:42+00:00
17,2,42,Third who beyond say language power.,9,INACTIVE,2025-05-13 17:08:14+00:00,2026-03-26 22:48:09+00:00
