room_night_id,room_id,night_date,availability,created_at
1,702,2024-08-14,AVAILABLE,2025-06-07 06:40:38+00:00
2,702,2024-07-20,BLOCKED,2024-08-25 00:05:39+00:00
3,11,2026-05-13,OCCUPIED,2024-12-19 19:46:02+00:00
4,11,2026-09-23,BLOCKED,2025-08-30 04:30:44+00:00
5,733,2024-06-26,AVAILABLE,2024-12-28 18:31:17+00:00
6,733,2026-10-13,AVAILABLE,2025-01-06 04:36:29+00:00
7,12,2026-05-26,AVAILABLE,2025-11-06 19:31:19+00:00
8,12,2024-09-18,BLOCKED,2025-11-28 08:02:18+00:00
9,438,2026-03-04,AVAILABLE,2024-02-28 13:27:45+00:00
10,438,2024-09-18,BLOCKED,2025-07-14 07:56:13+00:00
11,828,2026-12-17,AVAILABLE,2025-01-08 07:49:41+00:00
12,828,2024-01-27,BLOCKED,2025-02-20 14:46:44+00:00
13,445,2024-11-24,OCCUPIED,2025-09-02 21:05:35+00:00
14,445,2024-04-01,AVAILABLE,2025-07-01 14:31:01+00:00
15,5,2024-06-29,OCCUPIED,2024-05-01 07:03:26+00:00
16,5,2024-04-23,AVAILABLE,2024-03-30 20:52:37+00:00
17,323,2024-02-18,OCCUPIED,2024-10-24 17:54:47+00:00
18,323,2026-02-17,AVAILABLE,2024-09-13 08:34:48+00:00
19,132,2025-11-06,OCCUPIED,2024-05-17 02:30:40+00:00
20,132,2026-07-12,OCCUPIED,2024-01-23 10:05:17+00:00
21,285,2024-05-07,OCCUPIED,2024-04-11 06:23:59+00:00
22,285,2026-03-22,OCCUPIED,2024-10-09 07:44:13+00:00
23,245,2025-09-07,BLOCKED,2025-12-08 06:13:37+00:00
24,245,2025-01-08,OCCUPIED,2025-06-23 19:44:37+00:00
25,528,2024-02-02,AVAILABLE,2024-08-18 04:53:47+00:00
26,528,2025-09-17,AVAILABLE,2024-08-19 13:10:28+00:00
27,182,2025-04-27,AVAILABLE,2025-05-18 13:45:29+00:00
28,182,2024-02-29,AVAILABLE,2024-12-07 10:37:38+00:00
29,973,2024-03-10,AVAILABLE,2025-11-23 23:13:30+00:00
30,973,2025-08-26,AVAILABLE,2024-05-17 05:10:40+00:00
31,315,2025-04-02,OCCUPIED,2024-06-06 02:53:52+00:00
32,315,2024-10-09,AVAILABLE,2024-07-17 01:32:44+00:00
33,608,2026-03-21,BLOCKED,2024-10-29 22:36:14+00:00
34,608,2025-07-12,OCCUPIED,2024-09-29 23:53:18+00:00
35,843,2024-11-30,BLOCKED,2024-09-26 19:44:16+00:00
36,843,2025-12-22,BLOCKED,2024-11-06 19:10:40+00:00
37,661,2025-10-31,AVAILABLE,2024-05-18 18:09:54+00:00
38,661,2026-07-28,AVAILABLE,2024-05-08 20:32:20+00:00
39,273,2024-04-09,BLOCKED,2025-10-23 17:46:02+00:00
40,273,2025-02-17,BLOCKED,2024-01-16 10:39:10+00:00
41,197,2024-03-22,OCCUPIED,2025-06-08 04:41:21+00:00
42,197,2026-10-24,AVAILABLE,2024-08-25 14:06:44+00:00
43,662,2026-01-23,BLOCKED,2025-02-20 09:12:36+00:00
44,662,2024-06-16,BLOCKED,2024-01-20 12:51:40+00:00
45,414,2025-03-29,BLOCKED,2025-09-05 23:52:06+00:00
46,414,2026-07-03,OCCUPIED,2024-03-24 23:52:03+00:00
47,658,2024-05-14,OCCUPIED,2025-08-02 15:42:24+00:00
48,658,2026-03-29,BLOCKED,2024-09-09 08:21:04+00:00
49,429,2024-10-16,OCCUPIED,2025-02-18 00:30:16+00:00
