room_type_id,name,max_occupancy,base_rate,created_at,updated_at
1,Tonight_2936bb,2,723.0,2024-04-07 03:36:47+00:00,2025-01-13 09:39:32+00:00
2,Movement_d9339f,5,713.72,2025-07-24 13:48:06+00:00,2024-06-15 12:43:08+00:00
3,Put_cc37ba,6,1765.55,2025-01-02 04:34:18+00:00,2025-09-15 20:26:16+00:00
4,Surface_8dab1b,3,294.92,2025-09-09 02:54:23+00:00,2024-06-23 22:58:09+00:00
5,Yet_9033e4,5,58.77,2024-06-20 21:07:20+00:00,2025-02-11 08:34:19+00:00
6,Rich_74dd76,4,1112.67,2024-04-10 16:43:57+00:00,2024-03-02 07:00:47+00:00
7,Choice_2075f2,6,1341.72,2025-01-18 07:37:15+00:00,2025-11-11 07:51:27+00:00
8,Operation_2b6251,6,1851.1,2024-01-17 08:44:23+00:00,2025-02-07 13:08:31+00:00
9,Tend_56e963,6,813.42,2024-02-27 15:04:31+00:00,2026-01-19 19:10:29+00:00
10,Perhaps_9ba071,5,387.22,2024-02-27 23:17:15+00:00,2024-09-30 12:34:52+00:00
11,Goal_66822f,2,573.21,2024-12-14 11:03:27+00:00,2024-05-16 21:15:07+00:00
12,Least_26d1ae,9,145.28,2024-07-03 17:12:53+00:00,2026-02-16 02:51:39+00:00
13,Attention_41a6d3,3,1838.46,2024-02-25 13:24:23+00:00,2024-04-25 13:03:51+00:00
14,Both_c7be67,6,1177.9,2025-04-23 08:10:24+00:00,2025-11-09 18:39:02+00:00
15,Late_122207,3,923.85,2025-03-08 14:27:12+00:00,2024-08-03 20:16:37+00:00
16,Claim_2cb8d9,3,438.54,2024-12-08 23:59:51+00:00,2025-01-20 03:45:11+00:00
17,Figure_e4ec35,4,255.82,2025-10-10 02:11:28+00:00,2025-06-25 06:55:31+00:00
18,North_05f63f,4,296.62,2024-04-21 18:17:08+00:00,2024-07-19 20:27:20+00:00
19,Drive_72d831,10,110.67,2025-01-15 20:12:19+00:00,2026-03-03 12:48:54+00:00
20,Identify_3a4f3c,4,147.14,2024-02-07 13:17:52+00:00,2025-09-03 17:00:36+00:00
21,That_a533e5,7,1682.66,2024-11-25 07:41:42+00:00,2025-05-02 23:09:17+00:00
22,Pull_a73466,7,659.78,2025-04-11 21:58:01+00:00,2025-09-07 08:10:51+00:00
23,Community_71952f,3,1029.63,2025-10-17 17:49:22+00:00,2024-12-31 22:23:59+00:00
24,But_001284,4,1923.31,2025-09-14 14:19:45+00:00,2024-08-16 06:55:36+00:00
25,Class_8f676b,10,1306.77,2025-05-10 01:14:08+00:00,2025-01-24 19:07:09+00:00
26,Sell_83926a,7,323.31,2024-08-31 10:10:11+00:00,2024-05-26 15:40:26+00:00
27,Culture_7ee48e,2,1304.82,2025-07-26 15:04:56+00:00,2025-04-14 01:21:41+00:00
28,Capital_fc9d83,2,463.98,2025-12-10 00:39:10+00:00,2025-08-30 12:00:57+00:00
29,Cost_011d72,1,1141.93,2024-10-24 10:51:04+00:00,2025-12-14 15:38:40+00:00
30,Material_ad3c0a,1,1597.75,2024-01-16 09:35:54+00:00,2026-01-31 16:31:33+00:00
31,Answer_913599,8,1665.88,2025-05-07 05:54:25+00:00,2025-10-09 12:20:06+00:00
32,Response_58c23d,7,1817.4,2025-10-17 15:30:21+00:00,2025-10-11 23:46:24+00:00
33,Man_f32dcb,6,550.51,2024-11-24 23:35:14+00:00,2024-12-21 14:07:24+00:00
34,Hear_da240b,4,1373.29,2025-01-18 09:04:50+00:00,2026-04-05 15:42:55+00:00
35,Smile_ce9378,6,725.56,2025-11-23 05:05:01+00:00,2025-01-03 12:13:02+00:00
36,Doctor_942a4a,4,767.11,2025-04-04 12:42:24+00:00,2024-04-26 20:55:46+00:00
37,Professor_20a4d2,7,1414.81,2024-12-23 19:50:01+00:00,2025-08-11 13:38:09+00:00
38,Run_903e72,7,1205.47,2024-04-15 23:37:11+00:00,2024-10-14 02:35:56+00:00
39,Democratic_241bff,2,1619.81,2024-09-28 23:35:07+00:00,2024-05-07 22:19:19+00:00
40,Minute_7c3ebc,1,522.25,2025-10-16 21:36:03+00:00,2024-08-30 14:45:09+00:00
41,Executive_21a99f,7,381.1,2025-09-10 07:24:29+00:00,2024-07-01 00:51:37+00:00
42,General_a80ee1,8,1754.32,2025-05-31 15:30:44+00:00,2024-08-28 21:21:34+00:00
43,The_8e2d62,9,345.56,2025-10-11 12:38:54+00:00,2024-11-25 13:44:06+00:00
44,Glass_6e5785,5,990.37,2024-04-03 21:16:14+00:00,2026-02-21 22:09:37+00:00
45,Describe_d7522d,6,1675.35,2024-05-04 22:57:05+00:00,2024-05-06 11:51:50+00:00
46,Along_63f41b,10,998.71,2024-05-08 02:29:46+00:00,2024-08-13 08:48:47+00:00
47,Common_dd09a4,3,163.4,2025-09-14 13:40:22+00:00,2024-09-20 19:59:05+00:00
48,Myself_cd0c52,5,640.69,2025-03-04 13:11:43+00:00,2025-10-20 19:27:41+00:00
49,During_5f75b1,6,582.1,2024-12-21 14:43:27+00:00,2025-04-29 20:38:01+00:00
50,Site_b30231,2,1236.96,2024-11-06 02:23:24+00:00,2025-08-03 07:32:30+00:00
