service_id,hotel_id,name,unit_price,created_at,updated_at
1,7,Else_5358df,1815.91,2025-10-15 10:04:18+00:00,2026-01-22 12:31:07+00:00
2,11,Collection_411775,614.77,2024-09-12 10:31:42+00:00,2024-12-28 01:51:34+00:00
3,3,On_516cf4,321.11,2025-08-01 19:09:11+00:00,2024-07-23 17:40:28+00:00
4,10,Analysis_c23f5b,1430.26,2025-01-20 07:32:57+00:00,2025-04-12 23:12:56+00:00
5,8,Weight_e65739,374.24,2025-06-27 14:21:25+00:00,2025-06-07 01:43:07+00:00
6,9,Agency_3a3325,761.22,2024-12-23 07:22:27+00:00,2026-06-21 00:37:47+00:00
7,5,Personal_84b568,1937.33,2025-10-31 03:12:57+00:00,2024-08-08 23:51:06+00:00
8,11,Eight_88fc26,1800.78,2024-11-12 09:48:50+00:00,2025-02-19 05:09:23+00:00
9,1,Imagine_6b51dc,862.47,2024-02-19 23:32:49+00:00,2024-11-02 19:18:53+00:00
10,1,Game_0e0f1b,1304.88,2025-10-01 07:48:09+00:00,2024-10-11 22:20:09+00:00
11,12,Left_f82103,147.25,2024-08-29 20:13:27+00:00,2025-04-07 11:43:54+00:00
12,4,Number_ed176d,667.93,2024-04-10 17:31:42+00:00,2025-07-26 18:39:36+00:00
13,9,Sign_cb671d,1758.21,2025-05-17 14:28:56+00:00,2026-02-28 14:05:17+00:00
14,5,Suddenly_756dfb,1896.71,2024-07-21 00:22:58+00:00,2024-11-23 22:16:03+00:00
15,1,Friend_65f051,1801.23,2025-07-22 05:03:56+00:00,2025-06-11 16:18:55+00:00
16,11,Fine_94c70e,1923.21,2025-09-06 06:40:36+00:00,2024-08-08 08:56:41+00:00
17,10,Station_22c155,714.61,2024-11-15 13:32:10+00:00,2025-05-20 10:42:01+00:00
18,5,One_ad2bd8,582.04,2025-09-23 01:23:08+00:00,2026-05-18 01:37:05+00:00
19,2,Letter_a2c464,1783.61,2025-03-25 08:04:18+00:00,2026-02-24 02:48:58+00:00
20,6,Support_fd3725,417.26,2025-11-27 14:37:06+00:00,2025-02-11 01:41:40+00:00
21,8,Party_7731d3,199.93,2024-06-10 18:25:59+00:00,2024-12-15 20:50:28+00:00
22,9,Night_ff4a8a,1468.08,2025-01-20 01:07:03+00:00,2026-03-06 20:38:35+00:00
23,4,Great_be5672,142.28,2025-02-09 03:28:59+00:00,2024-12-11 10:31:58+00:00
24,3,Teacher_9e2dbd,124.53,2024-05-29 01:32:59+00:00,2025-12-20 07:39:59+00:00
25,7,There_679aad,1860.51,2025-07-05 08:20:56+00:00,2024-11-23 23:42:10+00:00
26,11,Manager_7a0e77,311.42,2024-03-16 07:47:52+00:00,2025-09-28 12:28:15+00:00
27,6,Language_e10fb5,1686.66,2024-11-04 01:49:43+00:00,2024-12-30 18:08:14+00:00
28,8,Million_46a2b1,1825.05,2025-12-07 20:44:16+00:00,2024-07-25 22:34:16+00:00
29,4,Decision_a988b6,296.71,2025-03-22 15:13:52+00:00,2025-07-09 03:44:59+00:00
30,3,Sense_86f6c1,67.62,2025-12-11 12:17:33+00:00,2025-11-21 06:36:06+00:00
31,5,Something_bd93c7,1078.47,2025-06-05 10:47:10+00:00,2026-02-01 17:53:26+00:00
32,8,Wide_1ed479,48.32,2024-01-13 16:20:42+00:00,2025-06-27 22:51:24+00:00
33,10,Story_9b5c51,1695.4,2025-02-01 03:25:17+00:00,2024-05-05 16:57:19+00:00
34,5,Among_ada3aa,74.44,2024-08-23 11:42:34+00:00,2025-03-06 10:12:36+00:00
35,3,Collection_b4b48f,1820.61,2024-10-28 08:32:24+00:00,2026-01-20 15:28:36+00:00
36,9,Military_d1a770,498.9,2025-12-20 19:16:54+00:00,2025-05-19 02:17:33+00:00
37,6,Large_912f70,1539.52,2025-01-07 22:23:57+00:00,2024-04-06 21:48:06+00:00
38,5,Up_76fc3a,1445.92,2026-01-04 04:19:04+00:00,2024-03-24 12:42:23+00:00
39,7,Door_9000da,1713.52,2024-06-24 20:29:55+00:00,2024-12-21 00:26:26+00:00
40,4,First_247076,413.94,2025-07-17 13:01:46+00:00,2024-12-14 01:08:01+00:00
41,3,Rock_041801,1519.56,2025-09-25 08:45:18+00:00,2024-08-06 18:45:42+00:00
42,3,Just_313da7,693.11,2024-02-01 00:02:44+00:00,2026-02-14 22:52:16+00:00
43,1,Fact_238ec1,109.47,2024-06-20 14:06:41+00:00,2024-05-07 19:55:51+00:00
44,12,Health_4e37bb,261.51,2025-05-24 17:23:02+00:00,2024-05-04 08:59:50+00:00
45,8,Business_6c4a79,1300.37,2024-09-19 10:59:38+00:00,2025-05-06 14:35:58+00:00
46,1,Finally_42176e,883.02,2024-03-22 16:17:56+00:00,2025-08-12 06:38:50+00:00
47,6,Majority_cfe490,490.97,2024-06-29 23:17:53+00:00,2025-02-10 17:15:38+00:00
48,6,Author_143f24,718.65,2025-12-14 16:02:00+00:00,2025-09-25 12:58:09+00:00
49,12,Hour_7d4bb0,940.49,2025-11-01 19:26:49+00:00,2025-12-03 14:57:07+00:00
50,9,Stage_9b0a65,1347.91,2025-09-23 17:24:57+00:00,2024-08-10 00:36:24+00:00
