service_order_id,booking_id,order_status,ordered_at,created_at
1,45258,CANCELLED,2025-08-03 20:45:46+00:00,2025-02-27 08:07:38+00:00
2,2286,ORDERED,2024-07-08 01:51:07+00:00,2025-06-22 07:56:49+00:00
3,56367,DELIVERED,2024-01-25 06:44:49+00:00,2025-06-04 02:47:56+00:00
4,69523,ORDERED,2025-06-25 10:12:02+00:00,2025-08-13 16:31:14+00:00
5,53948,ORDERED,2024-09-07 04:16:02+00:00,2025-06-29 03:47:11+00:00
6,11899,ORDERED,2025-08-10 22:22:42+00:00,2025-10-23 06:04:00+00:00
7,10900,ORDERED,2025-09-17 19:07:35+00:00,2025-02-17 23:16:30+00:00
8,48615,CANCELLED,2024-11-26 05:40:01+00:00,2024-08-16 16:49:32+00:00
9,18588,CANCELLED,2025-08-17 15:41:58+00:00,2024-09-27 19:18:10+00:00
10,14177,CANCELLED,2024-10-21 05:34:06+00:00,2024-07-30 12:17:51+00:00
11,34956,ORDERED,2025-05-24 18:20:40+00:00,2025-07-30 22:08:52+00:00
12,15192,ORDERED,2025-03-19 17:46:53+00:00,2024-07-23 17:12:16+00:00
13,32476,DELIVERED,2024-10-09 21:33:18+00:00,2024-04-11 19:12:38+00:00
14,59702,CANCELLED,2025-06-19 20:00:41+00:00,2024-08-19 13:21:50+00:00
15,65972,CANCELLED,2024-03-18 06:19:38+00:00,2024-05-10 12:15:11+00:00
16,17092,CANCELLED,2025-04-12 13:22:20+00:00,2025-07-08 17:24:53+00:00
17,8626,ORDERED,2024-08-27 11:33:44+00:00,2025-05-22 03:56:42+00:00
18,18307,CANCELLED,2025-11-15 14:23:28+00:00,2025-11-25 12:36:05+00:00
19,18262,CANCELLED,2025-05-19 20:33:04+00:00,2024-11-09 16:54:44+00:00
20,51739,CANCELLED,2025-08-24 07:09:59+00:00,2025-03-10 12:19:59+00:00
21,5536,CANCELLED,2025-12-04 23:52:32+00:00,2025-04-23 03:06:52+00:00
22,50804,CANCELLED,2024-05-17 16:55:11+00:00,2024-07-09 06:40:15+00:00
23,66209,DELIVERED,2025-06-22 20:15:21+00:00,2024-10-17 08:53:49+00:00
