service_order_item_id,service_order_id,service_id,quantity,unit_price,created_at
1,1266,50,6,598.52,2024-05-29 12:08:30+00:00
2,353,20,7,1276.12,2025-08-30 06:05:39+00:00
3,10,5,9,1870.04,2024-10-28 22:38:05+00:00
4,1743,11,9,1681.13,2025-12-11 07:41:47+00:00
5,1188,29,7,953.88,2025-05-12 02:05:49+00:00
6,285,11,4,257.33,2024-10-25 17:26:54+00:00
7,37,1,10,1090.92,2024-09-27 21:35:06+00:00
8,403,11,7,324.86,2025-02-16 08:44:56+00:00
9,1582,32,4,832.36,2024-12-03 07:50:49+00:00
10,1091,1,2,1992.51,2025-08-15 13:31:02+00:00
11,197,20,6,1913.97,2024-12-21 14:57:37+00:00
12,733,26,8,416.4,2024-03-16 16:52:50+00:00
13,1173,44,8,1463.49,2024-06-13 23:05:13+00:00
14,477,4,9,1178.33,2024-09-12 16:34:17+00:00
15,550,7,8,813.21,2024-07-05 16:05:27+00:00
16,146,18,2,98.76,2024-08-06 20:06:50+00:00
17,1416,1,10,1705.55,2024-02-14 02:17:38+00:00
18,1340,47,7,329.35,2024-08-26 10:16:49+00:00
19,1638,20,5,55.55,2025-10-16 07:39:21+00:00
20,1840,39,2,1637.78,2025-05-02 23:44:44+00:00
21,1787,28,6,717.47,2024-06-10 00:11:13+00:00
22,429,21,1,1943.69,2024-09-20 00:02:56+00:00
23,704,45,1,947.37,2025-09-12 17:53:57+00:00
24,269,4,6,472.49,2024-01-23 13:48:15+00:00
25,1933,30,6,892.23,2025-12-13 04:26:15+00:00
26,711,26,2,433.21,2025-12-18 15:01:27+00:00
27,1727,10,9,1129.54,2025-10-03 04:30:41+00:00
28,1301,15,8,1753.11,2025-10-04 12:51:19+00:00
29,315,9,9,413.58,2025-11-15 16:49:02+00:00
30,79,40,7,344.25,2025-04-26 15:44:50+00:00
31,622,43,5,1988.21,2025-11-30 20:25:33+00:00
32,1371,14,7,590.32,2024-09-01 20:36:51+00:00
33,1335,7,6,1991.41,2025-10-30 21:11:50+00:00
34,286,14,3,1276.41,2024-08-02 06:33:53+00:00
35,179,48,6,1869.17,2025-06-07 07:42:49+00:00
