tax_fee_id,hotel_id,name,tax_type,tax_value,created_at
1,1,Fire_3ae95b,PERCENT,1604.89,2024-12-30 21:13:35+00:00
2,11,Bring_359a35,FIXED,206.2,2024-12-30 20:17:41+00:00
3,8,Lead_34af2e,FIXED,584.11,2024-02-05 22:57:55+00:00
4,8,Attention_e153e6,FIXED,327.42,2025-01-08 04:05:03+00:00
5,10,Election_9987c5,FIXED,123.55,2025-01-20 04:45:43+00:00
6,4,At_d0f159,FIXED,833.77,2025-01-20 21:04:13+00:00
7,12,Officer_9975b0,PERCENT,1979.07,2025-06-14 00:17:44+00:00
8,8,Family_9064cf,PERCENT,1971.92,2025-07-26 12:41:54+00:00
9,10,Past_34efbf,FIXED,1663.52,2025-02-12 11:28:38+00:00
10,1,Story_c5abd8,PERCENT,397.82,2025-10-02 19:19:07+00:00
11,9,Picture_d9a776,FIXED,67.71,2025-10-29 06:16:45+00:00
12,1,Out_f61c0f,PERCENT,945.01,2024-03-27 18:58:52+00:00
13,1,Region_7e58fe,PERCENT,1451.83,2024-04-23 08:18:02+00:00
14,2,Why_d593f6,FIXED,1763.18,2024-07-21 18:43:45+00:00
15,1,Political_216a60,PERCENT,1362.69,2025-06-08 18:29:45+00:00
16,3,Herself_419645,PERCENT,726.15,2025-07-26 00:09:07+00:00
17,12,Bank_302d55,FIXED,915.76,2024-02-28 15:32:25+00:00
18,7,Price_5edcca,PERCENT,858.65,2025-11-28 13:57:09+00:00
19,6,Room_c4564a,FIXED,710.69,2024-06-01 16:29:25+00:00
20,8,Drug_c29f71,PERCENT,430.63,2024-09-14 01:16:05+00:00
21,11,Positive_864f2b,PERCENT,64.64,2024-08-30 06:09:31+00:00
22,12,Least_9a509f,PERCENT,217.56,2025-09-04 11:04:10+00:00
23,2,Security_ad0bcf,FIXED,664.56,2024-11-02 17:41:44+00:00
24,1,Type_0c1dc4,PERCENT,164.81,2024-08-31 19:59:55+00:00
25,6,Company_5de5eb,PERCENT,1289.31,2025-12-17 14:24:02+00:00
26,12,Drug_9dbe14,FIXED,675.45,2025-08-07 10:05:43+00:00
27,10,Firm_8bd990,PERCENT,1027.99,2025-06-29 08:25:55+00:00
28,3,Travel_5bb8ff,FIXED,1379.54,2024-05-24 14:33:11+00:00
29,6,Send_6e3a31,FIXED,1627.33,2025-10-21 05:27:52+00:00
30,11,It_26c2d4,FIXED,773.39,2025-11-04 06:18:03+00:00
31,3,Teacher_e44d10,PERCENT,1996.99,2024-05-02 19:30:48+00:00
32,9,Business_d974ea,PERCENT,987.12,2025-09-24 02:00:44+00:00
33,10,Often_b7a7f2,PERCENT,444.73,2024-03-15 02:13:03+00:00
34,9,Speak_4fd5e9,PERCENT,1610.71,2025-07-07 19:31:27+00:00
35,11,Positive_119bb2,FIXED,628.75,2024-09-27 12:13:30+00:00
36,2,Suggest_3cf5df,PERCENT,1246.98,2025-02-11 01:31:02+00:00
37,12,Song_1afd47,FIXED,1422.43,2024-07-18 15:31:44+00:00
38,12,Class_b5a142,FIXED,612.69,2025-09-08 16:03:58+00:00
39,5,Individual_9010e4,FIXED,1523.23,2025-05-07 05:02:41+00:00
40,10,Hold_179db4,PERCENT,1672.73,2025-01-20 05:03:09+00:00
41,7,Free_76bd69,PERCENT,359.94,2025-03-14 20:36:02+00:00
42,1,Exist_af836c,FIXED,1731.91,2025-11-07 22:20:47+00:00
43,7,Place_d5d53b,FIXED,288.69,2024-09-02 04:44:53+00:00
44,11,Pull_1fc08b,PERCENT,158.85,2025-06-23 07:37:23+00:00
45,9,Minute_8054fe,FIXED,574.98,2026-01-06 17:49:54+00:00
46,1,Most_acd839,FIXED,417.83,2025-05-08 09:16:30+00:00
47,7,Once_4fe68d,PERCENT,1968.17,2025-06-04 19:33:33+00:00
48,9,Organization_03e6cb,PERCENT,1108.66,2024-10-07 05:55:39+00:00
49,12,Stuff_a04477,FIXED,1200.86,2024-02-10 05:14:55+00:00
50,4,Stock_8080ca,PERCENT,237.06,2024-09-06 02:39:12+00:00
51,11,Cultural_a62026,PERCENT,808.38,2026-01-01 11:43:47+00:00
52,1,Environmental_cf2833,FIXED,607.51,2025-05-27 23:33:37+00:00
53,11,Itself_06fd31,FIXED,55.25,2024-07-24 07:00:59+00:00
54,3,Enter_8ee571,PERCENT,1987.33,2025-11-08 21:26:08+00:00
55,1,Score_949897,PERCENT,881.42,2025-05-04 00:50:20+00:00
56,10,Both_2f2266,FIXED,1057.32,2024-02-17 15:45:13+00:00
57,8,Baby_bf8633,PERCENT,113.38,2025-04-15 02:37:38+00:00
58,1,Sound_4baf6c,PERCENT,84.37,2024-07-02 10:51:10+00:00
59,1,Down_1ee1ff,FIXED,1470.29,2024-04-30 21:48:16+00:00
60,1,Cut_8997bd,PERCENT,1265.82,2024-02-06 11:59:03+00:00
61,5,Player_78fc9d,PERCENT,1851.25,2025-10-13 05:31:05+00:00
62,5,Receive_e677d6,PERCENT,1925.5,2024-11-05 12:54:44+00:00
63,5,Simply_f1f004,PERCENT,80.47,2024-04-07 14:49:16+00:00
64,9,Total_87bffb,FIXED,821.38,2024-11-09 10:59:36+00:00
65,12,Audience_6cac1d,FIXED,440.34,2025-11-11 06:07:03+00:00
66,5,Save_ef2728,FIXED,53.77,2024-09-20 18:23:05+00:00
67,9,People_18150c,FIXED,766.01,2024-11-12 16:18:53+00:00
68,9,Under_cf8409,FIXED,1269.83,2025-10-06 00:39:57+00:00
69,10,Way_bfbe0d,PERCENT,1218.35,2025-02-26 09:53:26+00:00
70,3,Method_c5bddd,PERCENT,1321.54,2024-02-07 17:36:46+00:00
71,8,Surface_86d4a7,FIXED,1719.2,2024-04-11 04:48:42+00:00
72,1,President_b8fe6f,PERCENT,1093.29,2025-06-16 20:42:29+00:00
73,4,Local_647343,FIXED,1987.84,2024-07-30 03:56:25+00:00
74,4,Low_558db0,FIXED,354.69,2025-08-29 14:30:40+00:00
75,8,Fish_e5089b,PERCENT,843.39,2024-09-26 08:13:49+00:00
76,10,Marriage_2ef301,PERCENT,881.69,2024-04-24 00:16:56+00:00
77,9,Strong_49eae2,FIXED,685.75,2025-11-10 00:28:53+00:00
78,3,Animal_3ae8ca,PERCENT,451.16,2024-12-08 17:36:18+00:00
79,8,Message_8f4673,FIXED,333.44,2025-07-23 16:14:14+00:00
80,9,Financial_26f4c2,FIXED,1822.87,2024-01-23 00:02:07+00:00
81,9,Organization_91f759,FIXED,1682.65,2024-02-24 23:20:44+00:00
82,9,Agreement_e41237,PERCENT,1067.97,2025-03-21 13:44:03+00:00
