booking_cancellation_id,booking_id,cancellation_reason,penalty_amount,cancelled_at,created_at
1,1,Trouble east worker can save baby gas role art themselves none yourself.,1813.78,2025-04-26 06:31:09.689382+00:00,2024-02-05 03:25:52.683215+00:00
2,2,Market easy positive exactly represent among sure against kitchen.,1398.79,2024-07-05 09:19:48.120350+00:00,2024-12-19 08:08:51.638201+00:00
3,3,Next teach arrive important significant modern town race mother despite TV everybody its.,1734.27,2024-06-02 19:34:45.017660+00:00,2024-06-13 11:15:14.174145+00:00
4,4,Recently increase report newspaper page baby nearly against person man.,1249.5,2024-09-13 23:24:22.960993+00:00,2025-07-31 03:54:57.835612+00:00
5,5,According brother available stock social value necessary no author summer onto pay health.,1239.96,2024-03-21 03:34:02.826393+00:00,2025-01-15 07:40:13.697191+00:00
6,6,Example fact discover author meet one.,1449.79,2025-04-04 22:09:33.083548+00:00,2025-03-05 02:44:13.455326+00:00
7,7,Summer clearly less president fact sort.,1971.0,2025-05-26 03:42:44.360794+00:00,2026-01-06 16:02:03.739685+00:00
8,8,Inside after mouth loss commercial material their friend somebody market.,1626.04,2025-01-20 16:35:31.980508+00:00,2025-12-22 00:59:26.509282+00:00
9,9,Just wish job event series prove training difficult authority control.,1167.68,2025-09-17 23:36:06.298214+00:00,2024-08-27 22:18:26.892285+00:00
10,10,Better sometimes likely network wide order make room organization not recently.,1067.43,2025-07-30 18:37:01.838404+00:00,2024-10-30 16:29:15.343560+00:00
11,11,Most responsibility sing away music minute world national.,1969.66,2024-03-26 09:21:34.254333+00:00,2024-09-08 04:27:50.878814+00:00
12,12,Detail seat western but side party able politics where include guy.,1374.19,2024-06-30 01:19:48.745615+00:00,2024-07-11 06:40:23.069679+00:00
13,13,Fall up admit glass animal his interesting language agree surface.,129.48,2025-07-23 13:35:05.551687+00:00,2025-10-07 21:33:53.042873+00:00
14,14,Race industry compare film lot must paper vote.,1739.4,2024-12-01 16:37:04.323992+00:00,2025-05-24 01:15:36.226001+00:00
15,15,Prove mean program health easy score.,168.31,2024-06-27 14:56:07.183202+00:00,2025-02-04 15:50:40.535493+00:00
16,16,How data result speak range apply least its whatever say.,690.58,2024-12-03 13:29:27.140141+00:00,2025-09-19 09:57:26.431463+00:00
17,17,Memory newspaper face send clearly number fall detail hold development public.,1180.83,2025-11-02 12:23:57.872206+00:00,2024-06-01 12:51:57.685485+00:00
18,18,Again course eye what western myself race discussion you want mind good.,1312.0,2025-07-18 05:57:43.510256+00:00,2025-06-26 20:06:33.608949+00:00
