booking_discount_id,booking_id,promotion_id,discount_amount,created_at
1,65581,634,225.49,2024-06-21 13:49:51.835360+00:00
2,65581,1229,1293.74,2024-09-04 17:02:48.529367+00:00
3,47162,897,732.78,2024-06-24 01:17:25.745306+00:00
4,6265,1729,50.86,2024-06-20 16:19:23.855604+00:00
5,55174,784,1381.7,2026-01-10 22:49:44.013959+00:00
6,55174,729,961.02,2024-08-30 04:32:02.937330+00:00
7,66935,1495,769.25,2024-03-11 02:11:26.453732+00:00
8,65246,1139,372.53,2024-07-19 21:10:55.246580+00:00
9,65246,1010,1211.19,2024-11-30 05:20:56.115884+00:00
10,10861,1269,1909.87,2026-01-21 05:32:48.302033+00:00
11,10861,1469,436.63,2025-01-11 18:13:22.789486+00:00
12,50820,1090,1529.96,2024-12-31 12:32:41.097209+00:00
13,36729,423,1299.19,2025-02-22 21:44:37.929099+00:00
14,36729,973,1957.33,2024-11-17 07:41:38.058655+00:00
15,18497,1261,340.2,2025-02-26 06:10:37.993458+00:00
16,18497,1041,703.12,2025-04-06 03:41:40.617117+00:00
17,25181,1714,1435.73,2025-04-27 07:02:20.048788+00:00
18,28598,102,46.5,2025-02-01 06:34:51.068641+00:00
19,28598,662,310.04,2025-11-09 21:44:30.485254+00:00
20,6521,1913,110.58,2024-04-02 18:58:30.205299+00:00
21,6521,21,1962.14,2024-08-19 10:31:15.106240+00:00
22,16995,1052,1127.94,2025-04-14 22:22:59.828248+00:00
23,16995,745,1689.29,2025-01-10 23:52:57.209898+00:00
24,44990,1025,524.62,2024-05-14 01:55:19.524740+00:00
25,16767,1933,59.35,2025-02-03 02:20:58.181437+00:00
26,16767,1429,517.46,2025-04-24 08:23:27.289073+00:00
27,23676,140,216.43,2025-11-27 12:39:29.388450+00:00
28,62386,1005,913.15,2025-07-15 08:28:54.617089+00:00
29,56924,299,684.94,2025-12-08 20:13:52.957051+00:00
30,35338,1125,575.08,2024-11-23 05:33:52.999636+00:00
31,35338,1922,1513.79,2025-03-28 07:30:46.947221+00:00
32,33336,220,1979.87,2025-12-05 23:45:48.093690+00:00
33,9684,988,428.56,2025-07-27 11:33:07.603047+00:00
34,66469,738,1037.54,2025-07-30 17:11:46.633319+00:00
35,66469,1634,486.4,2025-11-16 08:04:26.589736+00:00
36,53862,1247,500.59,2024-03-26 11:56:54.040159+00:00
37,28948,1798,1963.09,2025-04-20 12:17:13.754188+00:00
38,44586,1337,596.99,2025-01-22 08:12:01.782911+00:00
39,15421,1819,1258.58,2024-08-27 13:27:46.487053+00:00
40,15421,1425,336.86,2025-10-28 23:54:25.357518+00:00
41,65006,1294,510.49,2025-10-01 22:44:26.725665+00:00
42,65006,1379,1746.25,2024-11-22 04:22:53.654632+00:00
43,38796,1321,1359.11,2025-08-30 19:06:16.537768+00:00
44,38796,185,1810.36,2024-01-25 00:47:30.047074+00:00
45,41436,451,955.45,2025-08-27 15:22:40.805376+00:00
46,20596,1380,87.65,2024-12-14 15:41:29.564479+00:00
47,20596,1563,1478.03,2025-04-28 09:14:28.581040+00:00
48,15059,1066,1317.72,2024-07-21 21:48:40.069318+00:00
49,38172,729,453.48,2025-10-25 05:31:49.790161+00:00
50,60019,538,1514.6,2024-04-18 11:29:28.615462+00:00
51,45326,263,1413.82,2025-02-24 07:29:23.613786+00:00
52,25687,911,1017.44,2025-11-15 05:48:31.458406+00:00
53,18593,879,1655.91,2025-07-20 09:54:48.459380+00:00
54,22917,1644,39.53,2025-12-22 09:21:58.582266+00:00
55,22917,1900,1066.83,2024-04-08 00:01:03.150057+00:00
56,19504,1374,1468.28,2025-03-28 22:25:03.456205+00:00
57,68989,352,134.36,2025-11-22 04:40:12.185330+00:00
58,68989,624,960.38,2025-01-16 21:14:37.846236+00:00
59,14296,1537,990.57,2025-07-28 08:15:19.122256+00:00
60,14296,1541,747.95,2025-03-31 13:42:35.406410+00:00
61,41978,866,912.99,2024-12-26 03:37:13.254324+00:00
62,60545,723,1150.77,2025-07-19 15:49:36.287905+00:00
63,18248,80,1366.79,2025-01-06 08:00:01.033211+00:00
64,18248,1377,1084.51,2025-05-24 01:23:24.883762+00:00
65,44761,239,1690.17,2024-02-08 16:08:17.217967+00:00
66,4043,1645,169.59,2025-10-17 09:50:36.924588+00:00
67,4043,1061,1871.36,2024-04-19 10:59:20.469622+00:00
68,69079,167,1087.85,2024-05-16 15:19:19.389915+00:00
69,64425,1707,20.85,2024-04-14 19:23:36.538190+00:00
70,64425,1041,517.5,2025-02-16 13:53:37.144322+00:00
