cancellation_policy_id,hotel_id,cutoff_hours,penalty_percent,created_at
1,8,44110,13.91,2024-04-11 18:54:31.831986+00:00
2,11,2968,7.52,2025-10-13 22:51:33.087078+00:00
3,3,98254,81.44,2025-06-11 21:02:52.414258+00:00
4,3,1971,83.25,2024-08-15 10:16:11.677557+00:00
5,12,38506,51.14,2024-06-25 08:54:49.273347+00:00
6,12,60088,94.1,2026-01-20 12:28:28.122119+00:00
7,1,80537,40.84,2025-07-27 11:16:02.101057+00:00
8,7,50233,58.44,2025-05-30 20:00:55.469968+00:00
9,11,56769,18.41,2024-04-10 00:34:45.597846+00:00
10,2,26364,73.04,2025-05-24 23:48:59.946417+00:00
11,3,26879,82.18,2024-12-30 06:36:49.577506+00:00
12,12,42336,89.22,2024-11-08 12:32:51.276013+00:00
13,8,86526,7.22,2024-03-08 22:28:45.549004+00:00
14,10,30427,83.2,2025-09-10 05:14:10.483741+00:00
15,8,36028,62.99,2025-05-21 04:09:49.484212+00:00
16,10,69715,32.2,2024-06-04 16:52:37.173362+00:00
17,5,77698,43.78,2025-05-12 12:21:05.055069+00:00
18,1,77239,10.95,2025-03-09 16:53:56.598827+00:00
19,11,84697,31.44,2024-05-24 17:47:54.989398+00:00
20,8,57793,77.98,2024-05-17 08:05:40.080647+00:00
21,1,45871,12.54,2024-07-24 07:09:31.940587+00:00
22,1,70379,55.56,2024-02-10 13:03:42.991378+00:00
23,7,52888,12.44,2024-02-05 15:25:58.438559+00:00
24,10,54043,57.66,2025-10-29 08:47:22.675560+00:00
25,3,91874,44.16,2026-01-15 13:56:32.559871+00:00
26,5,15260,25.03,2025-03-23 04:41:33.891985+00:00
27,8,29495,77.06,2025-03-27 13:27:06.092890+00:00
28,2,17300,58.23,2025-12-19 16:09:13.429345+00:00
29,7,64507,47.49,2024-05-31 10:16:42.492290+00:00
30,1,24560,30.0,2024-06-16 15:42:41.529269+00:00
31,3,57389,64.4,2024-10-03 03:30:21.563861+00:00
32,10,4072,29.43,2025-05-18 15:07:12.338624+00:00
33,6,52667,92.91,2024-12-28 18:18:44.779383+00:00
34,9,73398,12.2,2024-11-18 11:13:17.846925+00:00
35,11,45270,13.36,2024-09-09 00:44:06.135571+00:00
36,11,48894,37.91,2026-01-08 01:17:39.172075+00:00
37,1,30252,46.14,2025-09-25 14:06:06.092222+00:00
38,10,36464,46.45,2025-06-03 09:33:03.312945+00:00
39,7,64589,31.05,2025-02-26 11:10:02.761109+00:00
40,2,63824,90.64,2025-02-20 18:39:40.830943+00:00
41,8,68703,68.58,2025-08-25 06:56:36.931184+00:00
42,2,55798,21.7,2025-06-09 21:42:15.674080+00:00
43,8,19942,42.54,2024-08-22 15:01:44.840589+00:00
44,7,32754,6.46,2024-04-05 13:59:11.076610+00:00
45,3,44064,48.98,2025-05-02 07:47:47.698272+00:00
46,6,95965,32.79,2025-07-15 11:47:30.870294+00:00
47,1,50886,96.45,2025-05-03 01:11:56.836523+00:00
48,1,49884,61.75,2024-06-21 03:38:32.448339+00:00
49,11,3640,56.63,2025-10-17 12:10:15.693692+00:00
50,4,82150,73.48,2024-07-08 19:08:41.478226+00:00
