check_in_id,stay_id,employee_id,checked_in_at,created_at
1,1,961,2025-11-25 16:31:47.718010+00:00,2025-04-19 15:25:01.434201+00:00
2,2,1255,2024-07-16 14:02:07.336281+00:00,2024-02-04 10:24:19.439068+00:00
3,3,145,2025-06-23 07:37:06.775531+00:00,2025-10-02 17:52:30.381072+00:00
4,4,700,2024-07-30 00:57:15.611304+00:00,2025-06-21 12:33:30.309266+00:00
5,5,824,2025-10-29 15:31:42.427113+00:00,2025-01-13 19:03:33.460317+00:00
6,6,655,2024-05-13 11:32:24.052571+00:00,2026-01-21 14:43:16.854793+00:00
7,7,348,2024-09-30 22:24:52.722699+00:00,2024-12-30 06:33:25.687882+00:00
8,8,1908,2024-08-31 13:17:35.297930+00:00,2025-03-18 05:03:29.352227+00:00
9,9,1794,2024-10-31 06:50:32.792898+00:00,2025-06-12 07:57:36.124057+00:00
10,10,1760,2026-01-06 22:53:20.614956+00:00,2025-06-21 01:07:12.496870+00:00
11,11,270,2025-03-23 21:03:29.386095+00:00,2025-03-08 09:03:54.179482+00:00
12,12,565,2025-04-12 06:54:54.195943+00:00,2025-09-03 01:28:20.379491+00:00
13,13,181,2025-04-01 01:25:47.657084+00:00,2025-07-14 10:42:20.897159+00:00
14,14,1018,2024-10-25 04:21:22.195152+00:00,2025-08-22 23:49:13.751390+00:00
15,15,705,2024-02-08 21:01:15.773167+00:00,2025-11-26 20:17:03.565092+00:00
16,16,1157,2024-07-15 11:31:05.545193+00:00,2025-08-15 06:33:51.952152+00:00
17,17,939,2025-11-30 21:21:12.368845+00:00,2025-11-12 09:06:22.069809+00:00
18,18,239,2024-09-09 03:49:32.232915+00:00,2024-11-06 09:10:27.238071+00:00
19,19,41,2024-10-19 04:06:23.775508+00:00,2025-06-16 14:32:37.757168+00:00
20,20,448,2025-06-14 01:26:31.193369+00:00,2025-02-21 10:42:05.478868+00:00
21,21,840,2024-10-23 12:37:00.458340+00:00,2025-12-31 11:04:22.788647+00:00
22,22,425,2024-03-09 12:23:14.849054+00:00,2024-09-19 08:01:06.491839+00:00
23,23,7,2025-09-27 22:15:27.654579+00:00,2025-09-20 02:56:31.186767+00:00
24,24,1139,2025-01-30 18:28:09.701143+00:00,2025-06-23 14:03:29.893476+00:00
25,25,194,2025-10-06 16:36:29.556829+00:00,2025-09-26 15:32:57.062474+00:00
26,26,578,2025-06-24 03:47:25.520642+00:00,2025-01-02 04:14:20.305022+00:00
27,27,579,2024-06-03 07:37:17.367742+00:00,2025-05-12 00:16:42.651817+00:00
28,28,1203,2024-03-16 08:16:42.580743+00:00,2024-12-09 04:17:12.884197+00:00
29,29,437,2024-03-18 04:22:49.343474+00:00,2024-09-20 03:42:23.824845+00:00
30,30,1824,2025-03-17 14:09:14.594637+00:00,2025-09-06 03:46:53.975865+00:00
31,31,995,2025-12-09 00:48:00.985152+00:00,2025-04-23 10:34:23.207478+00:00
32,32,1150,2026-01-11 16:28:41.636435+00:00,2024-07-09 15:04:22.193707+00:00
33,33,907,2025-08-19 19:35:00.304042+00:00,2024-06-05 23:39:18.831388+00:00
34,34,602,2025-10-07 12:52:09.584283+00:00,2024-12-21 03:23:15.062501+00:00
35,35,104,2025-07-02 07:51:06.101742+00:00,2024-10-31 22:31:15.604161+00:00
36,36,201,2024-10-17 20:50:07.962492+00:00,2025-08-15 09:56:16.760901+00:00
37,37,982,2025-10-22 21:00:50.784567+00:00,2024-01-24 06:35:20.909871+00:00
