check_out_id,stay_id,employee_id,checked_out_at,created_at
1,1,568,2025-04-05 05:46:30.161781+00:00,2024-04-26 18:01:12.884965+00:00
2,2,1501,2025-12-05 08:29:51.050623+00:00,2025-08-19 09:18:27.329601+00:00
3,3,599,2025-04-26 07:42:32.902368+00:00,2025-12-28 02:16:26.028288+00:00
4,4,1562,2025-05-18 06:22:31.875268+00:00,2024-02-06 06:16:50.554320+00:00
5,5,1945,2025-01-02 15:16:03.014947+00:00,2025-08-11 08:40:15.491983+00:00
6,6,172,2024-09-30 04:00:44.206350+00:00,2024-10-25 03:32:49.215277+00:00
7,7,166,2024-08-09 10:05:16.185696+00:00,2024-08-22 11:44:03.219734+00:00
8,8,99,2025-02-18 06:04:43.408184+00:00,2025-11-30 11:24:50.982842+00:00
9,9,428,2025-10-16 19:10:45.643370+00:00,2024-04-29 00:42:41.335510+00:00
10,10,1086,2024-05-06 15:27:28.514449+00:00,2025-01-10 01:52:32.700743+00:00
11,11,297,2024-05-05 06:51:41.246209+00:00,2025-04-06 11:11:21.766734+00:00
12,12,490,2025-07-10 15:07:13.802703+00:00,2024-10-15 07:20:03.924158+00:00
13,13,175,2025-07-28 03:16:01.118362+00:00,2025-08-05 18:14:28.480860+00:00
14,14,258,2024-07-08 05:35:51.567307+00:00,2025-03-04 08:31:09.467997+00:00
15,15,322,2024-03-10 06:51:08.774849+00:00,2024-11-11 08:40:48.081089+00:00
16,16,1623,2024-07-15 21:19:21.560678+00:00,2024-07-26 13:20:48.649426+00:00
17,17,212,2024-07-03 19:01:22.879041+00:00,2025-09-02 20:22:34.580345+00:00
18,18,880,2024-04-15 12:44:09.434679+00:00,2024-09-09 15:51:04.904002+00:00
19,19,385,2025-03-10 08:31:34.651687+00:00,2024-11-07 17:08:06.807339+00:00
20,20,766,2025-10-02 03:53:49.699182+00:00,2025-05-04 20:08:01.188768+00:00
21,21,941,2025-08-26 18:44:30.359929+00:00,2024-04-22 10:05:02.136207+00:00
22,22,1388,2024-10-29 17:46:26.895387+00:00,2024-06-13 11:30:31.789931+00:00
23,23,1092,2024-04-28 03:36:46.522089+00:00,2024-05-19 23:55:09.192192+00:00
24,24,1369,2025-03-30 15:48:18.639934+00:00,2025-11-10 11:57:57.104657+00:00
25,25,44,2025-03-21 19:39:53.631077+00:00,2024-12-04 08:19:35.739413+00:00
26,26,1062,2025-09-28 14:29:59.387599+00:00,2024-04-14 19:04:01.570574+00:00
27,27,1219,2024-12-25 14:29:51.365427+00:00,2024-06-11 17:38:39.987135+00:00
28,28,1879,2025-12-15 11:10:16.871365+00:00,2025-04-29 16:44:44.779805+00:00
29,29,832,2024-02-13 18:59:06.911104+00:00,2024-10-10 05:28:28.088629+00:00
30,30,1639,2024-04-17 02:16:20.810149+00:00,2024-03-11 15:57:20.308357+00:00
31,31,490,2025-01-10 01:05:15.327725+00:00,2024-03-16 09:04:01.544418+00:00
32,32,875,2024-05-11 00:39:05.310940+00:00,2024-11-25 03:45:26.695797+00:00
33,33,949,2024-05-17 18:24:03.898537+00:00,2024-03-27 12:47:53.435081+00:00
34,34,525,2025-09-01 05:41:45.307855+00:00,2024-05-10 14:28:50.426540+00:00
35,35,299,2025-07-13 10:57:58.610905+00:00,2024-08-18 13:15:54.798827+00:00
36,36,936,2025-06-01 23:52:43.922395+00:00,2025-01-06 12:09:20.136052+00:00
37,37,1834,2025-11-24 16:25:30.419741+00:00,2025-12-12 11:28:07.178700+00:00
38,38,1063,2025-03-18 21:51:19.340266+00:00,2025-05-29 20:42:45.798701+00:00
39,39,1486,2025-03-08 03:17:28.167099+00:00,2025-12-07 13:26:00.320099+00:00
40,40,1107,2024-09-14 18:24:58.243556+00:00,2024-01-31 09:39:42.269637+00:00
41,41,1919,2025-08-18 11:34:08.886009+00:00,2025-02-26 17:23:26.180290+00:00
42,42,1171,2024-11-26 01:36:03.467975+00:00,2025-04-30 23:29:28.325798+00:00
43,43,325,2024-08-28 13:29:35.869690+00:00,2024-08-30 13:51:57.446690+00:00
44,44,540,2025-09-04 11:44:54.270947+00:00,2024-08-24 23:14:48.017358+00:00
45,45,1266,2025-10-06 14:16:09.651958+00:00,2025-06-28 13:34:38.968279+00:00
46,46,1562,2025-09-24 23:54:21.039488+00:00,2025-01-04 10:11:27.223046+00:00
47,47,809,2025-07-06 13:10:22.000813+00:00,2024-09-18 12:09:30.133997+00:00
48,48,630,2025-03-20 22:34:45.796694+00:00,2025-02-06 06:57:12.503842+00:00
49,49,1530,2024-07-31 08:38:18.982310+00:00,2025-08-25 17:14:19.673595+00:00
50,50,546,2025-04-25 21:20:13.063474+00:00,2024-04-02 22:18:25.528493+00:00
51,51,831,2025-01-18 09:18:55.425189+00:00,2024-07-03 05:10:32.425163+00:00
52,52,998,2024-06-21 05:43:57.591867+00:00,2024-04-02 08:58:43.046202+00:00
53,53,1104,2026-01-19 02:25:30.793036+00:00,2025-02-03 16:46:41.992948+00:00
54,54,1303,2025-08-01 14:21:10.102146+00:00,2024-11-10 21:08:41.718711+00:00
55,55,388,2024-08-05 21:06:14.227031+00:00,2024-03-04 11:31:51.891411+00:00
56,56,1603,2025-03-10 09:16:39.755740+00:00,2024-02-09 00:03:42.861999+00:00
57,57,1816,2024-04-06 06:10:08.165052+00:00,2024-04-30 18:14:31.977447+00:00
58,58,554,2025-03-07 13:08:31.108301+00:00,2025-11-14 14:23:08.292544+00:00
59,59,962,2024-12-18 15:05:43.501740+00:00,2024-04-09 05:03:05.473373+00:00
60,60,1588,2025-09-16 14:06:55.895948+00:00,2025-02-26 15:39:36.055150+00:00
61,61,1835,2025-07-07 01:36:49.392341+00:00,2024-08-20 13:17:31.686283+00:00
62,62,1193,2024-04-03 09:39:27.394442+00:00,2024-04-27 14:45:01.011971+00:00
63,63,1622,2024-09-27 08:36:43.226601+00:00,2024-09-01 06:29:39.004104+00:00
64,64,1564,2024-11-10 22:37:14.264292+00:00,2024-06-27 01:12:12.501003+00:00
65,65,380,2024-11-11 15:11:19.127628+00:00,2025-06-27 07:23:17.374141+00:00
