hotel_id,name,brand,address_id,timezone,created_at,updated_at
1,Hilton Austin Resort,Product his writer especially network plan order street.,878,America/Chicago,2024-05-12 05:04:47.008496+00:00,2025-06-15 01:38:26.003847+00:00
2,Hyatt San Francisco Resort,Example case remember shake be stand improve anyone reality.,1348,America/Los_Angeles,2024-10-16 07:01:52.258107+00:00,2025-05-19 20:48:39.476950+00:00
3,Novotel Austin Hotel,Nice agent season white yeah account stock society level bank end.,842,America/Chicago,2025-02-13 03:05:42.102392+00:00,2025-02-02 15:25:58.752206+00:00
4,Taj Bengaluru Hotel,Trouble already remember can bed responsibility school watch understand health above.,1395,Asia/Kolkata,2024-09-28 10:58:36.525974+00:00,2025-01-30 07:33:51.252176+00:00
5,Hilton Chicago Inn,Smile president base act family level few interview receive traditional city when knowledge.,1814,America/Chicago,2024-07-08 04:02:06.939182+00:00,2026-01-02 22:51:54.850488+00:00
6,Hyatt Chennai Inn,Since car technology none sport region blood.,1958,Asia/Kolkata,2025-06-28 18:18:31.669076+00:00,2025-05-08 10:52:23.467417+00:00
7,Ibis Austin Resort,Film support style moment western kitchen Mr defense cause others.,632,America/Chicago,2025-06-05 21:38:02.741294+00:00,2025-09-11 14:36:06.201848+00:00
8,Marriott Mumbai Inn,Paper mouth remember total we keep common floor boy create.,1293,Asia/Kolkata,2024-02-29 14:11:51.476537+00:00,2024-06-07 15:41:49.296775+00:00
9,Westin Mumbai Suites,Enough low machine manager right fear job pass be audience specific power.,1640,Asia/Kolkata,2024-10-18 22:30:44.331749+00:00,2025-11-28 16:21:45.661915+00:00
10,Novotel Mumbai Inn,Prove power generation box report institution Democrat event generation beautiful time last.,570,Asia/Kolkata,2025-06-06 00:15:55.317916+00:00,2025-06-28 05:32:58.269681+00:00
11,Radisson New York Suites,While team find address between staff write help imagine security far.,946,America/New_York,2025-11-27 08:22:04.292553+00:00,2026-01-14 22:18:43.215232+00:00
12,Radisson Mumbai Hotel,Life for ok assume floor next toward crime recent consider person itself car.,1588,Asia/Kolkata,2024-06-22 08:15:03.499186+00:00,2024-12-03 14:10:01.034178+00:00
