maintenance_ticket_id,room_id,assigned_employee_id,issue_description,severity,status,created_at,resolved_at
1,360,269,Air society federal man catch agreement expect remain treat history happen.,CRITICAL,OPEN,2024-02-13 15:23:19.126931+00:00,2025-04-11 13:55:56.269968+00:00
2,452,1886,Difference site according rest ready smile.,LOW,CANCELLED,2025-04-08 19:36:51.524359+00:00,2025-04-15 05:51:14.063622+00:00
3,459,1289,Measure class eye try impact business too pattern increase reason both director but.,CRITICAL,OPEN,2025-02-24 03:55:34.598431+00:00,2024-03-18 22:05:26.979015+00:00
4,984,1320,Ten understand others media serve president doctor production development letter exist attack organization.,MEDIUM,IN_PROGRESS,2025-06-02 13:36:32.998216+00:00,2025-02-20 16:41:57.717830+00:00
5,185,401,Trouble age benefit modern fall force law mother might relationship if product rise must.,CRITICAL,DONE,2025-10-28 08:47:45.200811+00:00,2025-09-07 03:19:36.957124+00:00
6,639,400,Use drug response why question government ten market realize.,MEDIUM,IN_PROGRESS,2025-05-03 06:33:21.285897+00:00,2024-02-09 10:42:04.182572+00:00
7,22,1165,Most charge anyone as believe open report could south economy summer make answer.,LOW,CANCELLED,2024-11-15 22:49:45.733123+00:00,2024-02-23 11:29:13.635392+00:00
8,234,1667,Little contain run free close seat seat new record by drive opportunity left.,LOW,OPEN,2025-09-24 20:12:08.203311+00:00,2025-10-19 03:40:25.879700+00:00
9,429,296,Choice learn season nor establish personal speech on.,MEDIUM,DONE,2024-11-16 11:50:35.094565+00:00,2024-11-12 23:37:53.706262+00:00
10,427,462,Pick quality left rule election describe agent article.,HIGH,DONE,2024-05-22 11:22:52.427871+00:00,2025-10-13 13:07:05.187989+00:00
11,866,353,Able chance cut forward college strategy adult deep strategy.,HIGH,CANCELLED,2025-06-13 20:34:42.089753+00:00,2024-02-02 13:01:29.009448+00:00
12,650,205,Offer eight likely him let require particularly deep very team because production animal.,LOW,OPEN,2025-02-17 17:56:53.842700+00:00,2025-08-10 03:33:10.047259+00:00
