no_show_id,booking_id,fee_charged,recorded_at,created_at
1,1,1968.31,2024-09-26 09:52:39.463983+00:00,2025-09-12 00:51:42.677822+00:00
2,2,1270.54,2025-05-19 16:50:52.653193+00:00,2024-04-01 02:43:42.459436+00:00
3,3,1968.72,2025-12-13 17:50:06.309004+00:00,2025-08-15 08:18:57.860263+00:00
4,4,572.67,2025-03-26 15:11:53.629977+00:00,2025-12-08 04:21:27.346897+00:00
5,5,478.08,2025-11-27 11:38:00.474494+00:00,2024-09-10 17:37:44.775066+00:00
6,6,777.96,2024-03-12 09:38:23.319795+00:00,2025-07-20 05:39:51.274854+00:00
7,7,1269.22,2024-02-06 05:22:48.707978+00:00,2024-11-01 14:58:01.335494+00:00
8,8,63.13,2025-07-05 01:50:00.342879+00:00,2026-01-11 12:37:57.785724+00:00
9,9,1716.29,2025-11-17 13:55:23.190560+00:00,2025-11-01 10:36:10.541228+00:00
10,10,692.29,2024-07-27 07:38:56.631773+00:00,2024-02-07 22:50:28.844851+00:00
11,11,1317.49,2024-08-07 07:46:40.603642+00:00,2025-06-02 02:26:17.376383+00:00
12,12,467.11,2025-01-13 08:59:13.535209+00:00,2024-12-13 02:44:18.687182+00:00
13,13,827.33,2024-05-31 10:31:32.582747+00:00,2024-09-27 02:02:07.035638+00:00
14,14,229.26,2025-08-14 13:08:39.626399+00:00,2025-02-15 22:03:06.162366+00:00
15,15,202.68,2024-07-01 20:49:44.209739+00:00,2025-11-22 15:57:07.720503+00:00
16,16,1051.34,2026-01-14 19:26:02.349144+00:00,2025-10-10 07:10:08.983752+00:00
17,17,1163.17,2025-09-02 15:50:12.826327+00:00,2024-11-20 09:01:23.773345+00:00
18,18,40.48,2024-05-16 15:11:45.119505+00:00,2026-01-16 17:41:24.861215+00:00
19,19,762.31,2025-03-17 01:43:37.786599+00:00,2025-05-11 03:57:15.568024+00:00
20,20,1569.35,2025-04-30 18:37:43.175574+00:00,2025-12-30 11:35:55.246781+00:00
21,21,1122.64,2025-07-21 14:52:59.941339+00:00,2024-09-24 04:55:34.169971+00:00
22,22,1524.5,2024-05-14 15:36:32.571801+00:00,2025-11-28 03:37:22.989604+00:00
23,23,543.93,2025-02-13 09:13:36.220714+00:00,2024-11-13 16:42:34.160424+00:00
24,24,552.27,2025-04-09 22:19:50.983237+00:00,2025-10-15 16:20:38.293378+00:00
25,25,161.88,2025-09-12 20:10:52.860669+00:00,2024-11-03 19:42:49.903124+00:00
26,26,1540.2,2025-06-18 01:05:24.593988+00:00,2024-07-31 09:35:44.689326+00:00
27,27,996.03,2025-05-31 17:21:03.065405+00:00,2024-04-25 11:42:41.126511+00:00
28,28,423.49,2024-12-15 02:33:47.912306+00:00,2025-11-16 09:28:18.929696+00:00
29,29,1305.93,2025-11-22 06:28:00.933897+00:00,2025-03-17 03:14:13.520637+00:00
30,30,210.2,2024-03-02 11:51:38.261657+00:00,2025-05-09 18:02:18.787526+00:00
31,31,65.81,2024-06-04 10:49:14.659027+00:00,2025-07-31 19:45:28.612174+00:00
32,32,1885.98,2024-11-02 08:32:09.284717+00:00,2025-12-06 02:25:39.021502+00:00
33,33,1965.43,2025-09-02 03:54:45.546548+00:00,2024-06-09 15:28:34.112036+00:00
34,34,60.19,2025-08-01 00:17:02.613430+00:00,2025-05-14 18:01:03.152370+00:00
35,35,560.56,2025-12-10 19:23:42.806844+00:00,2025-02-02 07:23:30.162249+00:00
36,36,845.42,2024-04-25 11:18:05.005661+00:00,2024-08-30 05:24:50.609806+00:00
37,37,1068.9,2024-07-03 03:23:58.936880+00:00,2025-04-03 10:55:16.115888+00:00
38,38,174.75,2024-12-16 22:43:15.249155+00:00,2024-12-20 11:18:00.323591+00:00
39,39,1870.85,2024-04-13 13:47:31.880193+00:00,2024-04-15 07:49:15.312332+00:00
40,40,1786.21,2024-07-20 13:15:53.898263+00:00,2024-08-15 13:49:51.648580+00:00
41,41,215.12,2025-01-26 01:01:47.049712+00:00,2026-01-01 19:04:40.863744+00:00
42,42,1178.08,2025-05-13 22:22:28.850964+00:00,2024-06-20 15:53:56.388402+00:00
43,43,1778.1,2025-04-08 19:07:11.263501+00:00,2024-03-04 00:12:36.008834+00:00
44,44,1385.28,2025-01-20 14:25:02.610241+00:00,2025-03-01 06:07:18.882609+00:00
45,45,1720.42,2025-07-22 12:18:42.939223+00:00,2025-08-20 06:43:21.076273+00:00
46,46,1516.42,2025-06-30 21:52:01.323296+00:00,2024-06-14 07:00:33.390515+00:00
47,47,342.57,2025-06-10 22:03:47.269117+00:00,2025-03-15 04:57:40.446321+00:00
48,48,427.18,2024-12-25 00:45:13.672987+00:00,2025-11-27 00:16:23.291262+00:00
49,49,671.01,2024-11-15 19:40:41.559618+00:00,2024-10-22 07:29:29.776725+00:00
50,50,757.38,2025-02-21 02:45:22.659886+00:00,2025-09-23 14:05:37.885720+00:00
