rate_calendar_id,rate_plan_id,cal_date,nightly_rate,created_at
1,28,2024-03-17,1457.61,2025-01-30 14:22:45.635825+00:00
2,22,2026-06-10,723.26,2025-11-28 06:21:12.902356+00:00
3,18,2024-02-29,997.0,2026-01-11 12:27:52.622800+00:00
4,31,2027-01-05,545.12,2025-01-10 07:44:52.043587+00:00
5,37,2025-03-09,1219.35,2025-08-26 21:27:38.825546+00:00
6,15,2025-10-30,1430.19,2024-06-17 13:10:51.168592+00:00
7,30,2026-05-25,1723.19,2025-07-17 12:09:55.062707+00:00
8,2,2024-07-17,839.51,2024-09-08 13:54:00.663625+00:00
9,31,2024-05-29,871.64,2025-02-25 11:22:57.970729+00:00
10,38,2024-09-27,1640.38,2024-03-20 03:11:47.521160+00:00
11,26,2024-08-14,778.42,2024-03-07 00:04:43.993525+00:00
12,39,2024-10-26,870.58,2025-02-27 07:53:03.754113+00:00
13,9,2026-08-18,1470.61,2025-10-18 07:51:45.719239+00:00
14,28,2024-06-16,656.55,2024-04-29 10:24:17.157119+00:00
15,19,2026-08-18,496.31,2025-09-08 19:14:55.722632+00:00
16,24,2026-05-20,1375.03,2024-04-20 23:17:20.333428+00:00
17,33,2025-11-18,1040.23,2024-06-28 11:24:38.338295+00:00
18,48,2025-01-15,1980.39,2024-03-11 00:22:54.314910+00:00
19,4,2026-01-06,1551.65,2025-08-27 06:52:15.454665+00:00
20,6,2024-11-18,1882.81,2024-07-20 00:28:50.520343+00:00
21,37,2024-04-19,590.69,2025-03-15 08:56:18.671235+00:00
22,14,2024-03-17,1992.47,2025-06-08 02:32:30.538357+00:00
23,37,2024-02-15,512.84,2025-10-06 10:00:28.513838+00:00
24,47,2026-04-23,558.64,2024-02-08 01:28:31.865302+00:00
25,35,2025-05-23,337.27,2024-08-08 13:35:51.509017+00:00
26,1,2026-12-15,428.16,2025-09-08 23:19:12.919533+00:00
27,31,2024-01-31,268.94,2025-05-01 15:49:34.294319+00:00
28,30,2024-09-15,1123.02,2025-07-18 04:45:22.530180+00:00
29,18,2025-07-09,511.96,2024-09-01 11:00:24.199315+00:00
30,45,2025-07-10,1923.31,2025-07-12 07:25:50.015509+00:00
31,2,2026-10-29,354.81,2024-04-10 06:21:47.271482+00:00
32,27,2026-10-24,219.87,2024-07-27 14:08:53.008215+00:00
33,29,2025-08-25,1935.12,2024-11-05 12:44:21.127695+00:00
34,3,2025-08-16,1046.51,2024-09-27 03:06:32.753604+00:00
35,38,2026-01-13,1184.67,2024-11-10 05:17:54.803893+00:00
36,29,2026-07-16,1932.12,2025-11-22 06:24:41.744817+00:00
37,11,2025-07-11,991.39,2025-07-23 19:07:36.429168+00:00
38,33,2025-06-07,1939.84,2024-12-20 11:55:32.078869+00:00
39,22,2024-07-28,1393.85,2025-10-14 12:16:16.931560+00:00
40,23,2025-01-07,1829.41,2024-10-08 10:17:12.829338+00:00
41,9,2025-10-24,1880.58,2025-10-21 08:16:03.060267+00:00
42,10,2026-03-31,284.52,2025-09-03 16:39:09.297331+00:00
43,22,2025-03-12,764.43,2024-05-30 20:34:24.951396+00:00
44,20,2025-07-20,739.77,2024-04-11 22:03:41.714655+00:00
45,42,2025-03-16,247.56,2025-10-26 23:02:46.537213+00:00
46,31,2024-05-10,916.31,2024-10-07 20:20:16.911763+00:00
47,45,2026-09-02,932.12,2024-04-15 03:54:48.852073+00:00
48,24,2026-12-25,1512.62,2025-01-22 15:44:26.535530+00:00
49,16,2025-02-14,1920.11,2024-07-19 21:53:59.700646+00:00
50,39,2026-12-04,895.77,2025-12-19 03:36:03.554594+00:00
