rate_plan_id,hotel_id,name,refundable,created_at,updated_at
1,8,Somebody_b29ae8,False,2024-08-22 15:56:57.903747+00:00,2025-02-02 04:53:07.165292+00:00
2,2,Miss_494bef,True,2025-05-24 18:14:31.564388+00:00,2025-09-23 04:08:53.023563+00:00
3,8,Include_244e05,False,2025-10-17 09:29:41.221874+00:00,2025-05-02 07:49:27.970834+00:00
4,8,Main_d0b934,True,2024-08-02 07:05:00.995558+00:00,2024-06-05 04:28:10.779871+00:00
5,4,Thing_52c2fc,False,2024-08-27 06:16:38.677119+00:00,2024-10-11 05:20:33.309006+00:00
6,1,News_117426,False,2025-09-18 19:05:49.486739+00:00,2025-12-29 22:43:42.559742+00:00
7,8,Sense_e18bd4,True,2025-03-09 13:06:59.589631+00:00,2024-08-16 10:40:10.710864+00:00
8,9,Wish_776520,False,2025-04-01 06:05:46.779686+00:00,2025-11-19 00:47:39.559587+00:00
9,7,Also_a94c6c,True,2025-08-30 18:30:28.296494+00:00,2026-03-20 05:07:45.290049+00:00
10,8,Condition_e37058,False,2024-06-15 01:08:52.819381+00:00,2025-11-03 16:39:15.150886+00:00
11,3,Actually_eca5f0,True,2025-11-15 15:18:13.954272+00:00,2025-12-30 21:42:43.497320+00:00
12,7,Game_75c656,False,2025-05-23 11:47:14.243404+00:00,2024-12-25 23:54:44.956732+00:00
13,5,Safe_a73360,True,2025-06-27 04:22:59.517871+00:00,2025-03-20 18:10:02.314017+00:00
14,12,Their_499ce4,False,2024-06-30 21:54:40.229516+00:00,2024-05-03 15:52:38.606392+00:00
15,1,Either_8a9677,True,2025-05-27 05:49:29.267879+00:00,2024-11-07 08:21:37.495723+00:00
16,3,For_c347bf,False,2025-06-04 14:36:31.449935+00:00,2025-11-11 02:44:51.961089+00:00
17,7,Exactly_f4d54b,True,2024-12-13 14:18:59.670231+00:00,2025-11-11 03:31:25.025285+00:00
18,8,You_0e4eba,False,2025-11-06 06:22:17.235245+00:00,2024-07-07 12:05:48.687975+00:00
19,12,Sign_ba5632,True,2024-10-21 17:22:08.503011+00:00,2025-11-15 03:34:19.031672+00:00
20,3,Approach_3f6384,True,2025-06-11 18:59:04.717481+00:00,2024-12-08 21:22:20.541062+00:00
21,11,Person_496dd8,True,2025-09-22 06:56:15.485116+00:00,2025-09-28 20:31:38.623761+00:00
22,11,Other_4f02b3,True,2025-11-25 18:41:39.965150+00:00,2025-04-20 06:51:18.441544+00:00
23,1,Through_f3a3ab,False,2025-08-12 05:32:29.557680+00:00,2025-01-30 10:01:00.552760+00:00
24,5,Long_2840dd,False,2025-06-13 18:55:37.791986+00:00,2024-09-24 21:51:55.298479+00:00
25,3,Pretty_6af965,True,2024-08-13 22:15:37.089090+00:00,2024-07-24 16:04:44.595570+00:00
26,7,Mention_d4e710,True,2024-03-16 01:19:21.891554+00:00,2025-10-17 02:23:09.178343+00:00
27,3,Former_3cdd02,True,2024-03-28 08:10:58.623121+00:00,2025-03-05 13:32:24.467618+00:00
28,4,Strategy_d792be,True,2024-02-10 14:25:50.399800+00:00,2024-08-13 08:33:29.466787+00:00
29,10,Production_f9977d,True,2024-12-29 21:20:56.372443+00:00,2026-03-30 20:23:56.097084+00:00
30,5,Seat_32033a,True,2025-08-27 23:13:52.767059+00:00,2026-01-13 09:14:13.793837+00:00
31,6,Everything_20bacd,True,2025-08-29 08:16:31.254203+00:00,2024-07-16 01:44:35.234148+00:00
32,11,Reflect_c252a4,True,2025-05-19 22:27:41.748556+00:00,2024-07-12 06:07:38.002417+00:00
33,8,South_1468f4,True,2024-12-12 10:04:14.225373+00:00,2025-02-17 14:33:11.958843+00:00
34,1,Relate_8258aa,False,2024-11-13 19:21:23.534730+00:00,2025-08-10 16:06:48.916575+00:00
35,8,Sing_881666,False,2024-06-26 23:32:24.343536+00:00,2025-10-25 04:11:26.029898+00:00
36,8,Act_f3d9a9,True,2024-12-26 03:09:06.216417+00:00,2024-11-02 06:35:17.513773+00:00
37,2,Support_08559d,False,2025-08-06 07:43:59.485260+00:00,2025-07-31 00:39:27.739828+00:00
38,9,Trouble_b3d3b5,True,2025-09-21 10:36:26.523981+00:00,2024-12-19 21:43:01.111854+00:00
39,6,Various_70ef9e,False,2024-06-15 07:45:42.573103+00:00,2026-03-16 23:46:26.164427+00:00
40,8,Last_41fc8e,True,2025-08-20 17:03:07.876565+00:00,2024-10-25 11:01:20.390144+00:00
41,10,Grow_8d6743,False,2024-09-25 21:12:39.445925+00:00,2025-08-28 12:53:08.633623+00:00
42,9,Than_7fbff9,False,2025-10-12 22:45:21.601599+00:00,2024-05-25 06:55:39.654582+00:00
43,10,Response_0b5b13,False,2025-11-28 00:44:17.006791+00:00,2024-09-19 14:37:25.340269+00:00
44,2,Everybody_7d6886,False,2024-03-20 19:05:01.382190+00:00,2025-02-23 18:06:00.495956+00:00
45,7,School_254fd2,True,2024-10-11 03:33:11.271949+00:00,2026-05-09 06:37:08.380667+00:00
46,1,Always_3fc04d,False,2025-02-04 09:39:47.522763+00:00,2026-01-04 06:56:48.466363+00:00
47,3,Serious_6fb2ef,False,2024-03-08 22:23:11.407793+00:00,2025-10-18 07:33:47.332225+00:00
48,6,Democrat_1c9180,True,2026-01-01 19:34:33.492905+00:00,2025-12-28 02:43:11.563331+00:00
49,1,Relate_a1ac43,False,2026-01-01 14:02:52.954798+00:00,2025-07-20 15:41:29.071426+00:00
50,10,Happen_095f7c,False,2024-02-28 02:24:27.077339+00:00,2025-11-30 02:52:24.577963+00:00
