refund_id,payment_id,refund_amount,refund_reason,refunded_at,created_at
1,22383,67.69,Race fact evidence difficult stage her dog wife.,2025-05-17 15:16:43.246962+00:00,2024-02-15 07:38:52.947930+00:00
2,12933,591.88,Think special deep option least which catch.,2025-02-17 11:20:41.369467+00:00,2024-09-07 15:04:16.811054+00:00
3,5022,533.51,Cup company final hope wife recognize I position add finally.,2024-08-25 01:30:24.137238+00:00,2026-01-18 08:32:41.232629+00:00
4,12643,1716.33,Toward section bring skill sing certainly east.,2024-07-01 07:48:18.266865+00:00,2025-05-30 19:56:18.946832+00:00
5,43167,52.87,Fish design behind firm reveal sense health question.,2024-12-08 07:56:30.974003+00:00,2025-01-28 05:03:37.682958+00:00
6,5169,1790.95,Happen itself action citizen force become.,2025-06-25 04:35:47.408485+00:00,2024-09-01 20:33:14.538010+00:00
7,23186,346.58,Material good still conference true act.,2025-01-06 12:31:33.246831+00:00,2026-01-09 01:04:38.996558+00:00
8,50994,567.29,People answer doctor open stage customer southern field.,2024-02-28 05:58:04.002939+00:00,2024-06-17 15:11:57.436298+00:00
9,5228,1837.85,Sometimes wonder others civil eat night president head low take order try none.,2024-01-28 17:03:45.113264+00:00,2024-12-19 11:16:36.479799+00:00
10,58162,318.2,Watch bag water who military unit such.,2024-10-23 00:25:52.459623+00:00,2025-01-11 21:34:13.928880+00:00
11,59121,1474.32,Once draw item source forget writer pressure although water spring top.,2024-02-09 01:10:48.564803+00:00,2025-12-23 08:51:21.528747+00:00
12,17510,1665.6,Other read before manage kind trip nice future store onto cost study.,2025-09-03 04:35:10.620783+00:00,2025-07-05 16:23:40.116132+00:00
13,51990,1152.25,Put list act between can explain.,2025-09-02 20:51:23.218767+00:00,2025-12-11 19:35:51.696959+00:00
14,23906,1000.0,Available authority little another effect foreign your base billion.,2025-02-17 20:11:20.377916+00:00,2024-06-15 18:14:59.940005+00:00
15,31171,115.15,President social soon why old fly remember lawyer life.,2025-06-28 18:20:38.109265+00:00,2025-12-22 10:27:54.250227+00:00
16,28946,635.37,West onto scientist so way after.,2025-01-02 21:13:01.675974+00:00,2024-08-25 12:25:41.602188+00:00
17,7114,549.82,Woman upon benefit check despite character watch air house themselves.,2025-08-31 22:12:36.784675+00:00,2025-10-25 23:57:58.435515+00:00
18,37488,1007.61,Minute responsibility scientist start of agent painting apply include student leader population number.,2024-06-24 02:12:15.504054+00:00,2024-10-14 13:19:10.392417+00:00
19,36537,1032.39,Baby former produce indeed force design third different.,2025-11-14 04:30:37.584589+00:00,2025-06-21 19:52:33.622640+00:00
20,5957,1583.83,Consider pressure nor suggest action do store growth maintain return.,2024-08-11 12:20:44.899467+00:00,2024-03-28 21:05:36.410864+00:00
21,18577,396.3,Blood cover east happy project walk hard just keep.,2024-04-23 07:12:21.013051+00:00,2025-05-07 09:31:17.205556+00:00
22,12956,127.41,Point almost someone something admit will suffer rock reality trouble piece compare science.,2024-10-16 20:15:00.817569+00:00,2025-04-20 17:36:17.313136+00:00
23,51677,169.71,Collection our change market pattern general sing book lead according rule.,2024-02-23 18:48:37.128280+00:00,2024-02-03 13:22:34.752443+00:00
24,15250,881.43,War fast town key good night product until theory notice.,2024-05-18 15:37:19.744800+00:00,2025-07-03 16:30:49.644624+00:00
25,45834,1083.82,Hundred picture put year onto performance go apply operation.,2025-09-14 08:37:04.476598+00:00,2025-04-02 08:30:08.082454+00:00
