review_score_id,review_id,review_category_id,score,created_at
1,928,1745,4,2025-07-20 15:11:04.538470+00:00
2,928,662,3,2024-04-06 20:35:09.143577+00:00
3,928,933,2,2025-11-16 11:18:39.293413+00:00
4,1146,1382,2,2025-06-28 20:39:26.089572+00:00
5,1146,621,2,2025-01-28 13:28:17.010605+00:00
6,55,1578,4,2025-04-24 06:56:28.664005+00:00
7,55,157,3,2024-04-06 02:13:44.844296+00:00
8,55,1329,3,2025-08-04 07:15:29.352893+00:00
9,1294,1505,1,2025-08-11 15:06:13.328032+00:00
10,1294,89,2,2024-08-29 00:45:42.934660+00:00
11,1294,1234,2,2025-10-14 03:58:44.848071+00:00
12,1294,1851,4,2024-07-01 05:13:29.833104+00:00
13,1294,510,1,2024-12-06 09:53:35.986173+00:00
14,154,1757,1,2025-02-20 16:29:57.915759+00:00
15,154,839,3,2025-03-26 09:59:26.279426+00:00
16,774,1054,2,2025-01-01 23:25:05.309034+00:00
17,774,1338,4,2025-10-19 04:44:18.687785+00:00
18,774,430,4,2024-02-16 03:31:46.800743+00:00
19,774,1120,1,2024-01-23 06:18:05.806842+00:00
20,1389,140,2,2024-03-18 08:45:20.935175+00:00
21,1389,35,5,2025-10-13 22:39:37.341979+00:00
22,1389,1684,4,2025-11-01 09:10:00.247547+00:00
23,1389,583,3,2024-12-04 05:30:32.222410+00:00
24,1902,909,2,2025-11-15 14:28:08.926101+00:00
25,1902,1810,2,2024-08-01 12:47:57.093006+00:00
26,1902,1617,4,2024-11-02 08:54:06.237960+00:00
27,1902,335,5,2025-12-12 20:49:04.355374+00:00
28,1902,1161,4,2025-03-26 11:58:04.964983+00:00
29,1539,1888,1,2025-02-01 19:19:38.821485+00:00
30,380,277,2,2024-05-03 10:39:12.705838+00:00
31,380,1870,3,2025-01-30 03:07:22.270456+00:00
32,1779,1155,3,2024-02-09 00:55:47.499615+00:00
33,1779,1848,2,2024-08-26 08:38:23.079690+00:00
34,1779,913,4,2025-04-25 07:42:43.512257+00:00
35,1779,1066,4,2025-03-27 06:05:21.836184+00:00
36,1779,500,2,2025-12-17 07:28:08.559928+00:00
37,458,629,2,2026-01-09 18:01:00.625992+00:00
38,458,763,4,2025-03-09 23:06:12.412534+00:00
39,458,565,5,2024-03-07 15:23:56.474968+00:00
