room_id,hotel_id,room_type_id,room_number,floor,status,created_at,updated_at
1,8,43,Require environmental laugh top spring sign expect affect event.,8,INACTIVE,2024-08-25 07:44:59.297040+00:00,2025-12-20 02:52:04.316377+00:00
2,7,20,Even family best music your there training take population position center.,2,OUT_OF_SERVICE,2025-02-03 00:00:48.286742+00:00,2025-04-12 03:06:02.867274+00:00
3,12,19,Myself if relationship statement tough later finally effect citizen accept stay establish.,10,INACTIVE,2025-11-15 23:49:41.361406+00:00,2025-08-16 11:17:52.520635+00:00
4,7,23,Draw hot heavy probably institution appear this week.,6,ACTIVE,2025-10-07 15:38:37.647009+00:00,2025-02-06 01:42:48.948161+00:00
5,10,44,Three language shoulder include authority fly.,5,ACTIVE,2025-06-21 04:42:35.331712+00:00,2025-02-19 17:13:06.445897+00:00
6,12,50,Increase bed present red tonight front financial market tree computer white theory town.,6,ACTIVE,2024-09-16 22:45:14.876409+00:00,2025-12-05 07:53:41.446593+00:00
7,3,40,Financial better throw miss ten large through deep why usually cup.,1,OUT_OF_SERVICE,2025-05-31 05:53:47.086737+00:00,2025-02-13 23:21:35.171895+00:00
8,5,39,Maybe public much again environment car kid owner industry product gas.,6,OUT_OF_SERVICE,2024-05-10 20:02:28.336464+00:00,2025-05-18 07:00:01.966295+00:00
9,1,8,Only draw her nor yourself themselves less.,6,OUT_OF_SERVICE,2024-12-11 20:16:48.307404+00:00,2024-07-13 07:16:58.452435+00:00
10,8,32,Raise new consumer individual it production property wide young as.,3,OUT_OF_SERVICE,2024-10-03 00:00:53.672496+00:00,2024-08-22 02:26:42.373308+00:00
11,4,30,Rest population cut street suddenly school.,1,INACTIVE,2025-05-14 14:19:09.206295+00:00,2026-02-08 18:39:21.587093+00:00
12,8,46,Toward off require add drop process manager difference.,1,OUT_OF_SERVICE,2025-08-07 03:22:28.055734+00:00,2025-02-08 05:18:11.222201+00:00
13,7,48,Perhaps quality war shoulder mind research personal TV ten because.,1,INACTIVE,2024-12-07 22:08:21.591105+00:00,2026-03-10 08:34:13.753216+00:00
14,10,27,Really group capital like huge serve let tree control strategy world fall.,10,ACTIVE,2024-08-07 19:47:19.568624+00:00,2025-03-30 20:46:06.553303+00:00
15,3,9,Possible couple eye now break floor walk laugh wide system over position color.,5,OUT_OF_SERVICE,2026-01-21 10:28:35.793786+00:00,2024-08-23 02:58:46.413273+00:00
16,12,20,Great whose citizen throw employee must throw forget name high international so.,1,OUT_OF_SERVICE,2024-06-24 14:05:31.703096+00:00,2024-09-23 21:42:44.828191+00:00
17,4,33,Blue well western them improve kind indeed nor open improve soon perform support.,10,ACTIVE,2024-03-28 08:46:09.608624+00:00,2024-12-12 15:22:46.230592+00:00
18,3,46,Appear method focus out name reflect others.,7,OUT_OF_SERVICE,2026-01-19 09:16:50.737307+00:00,2025-11-23 19:20:24.325828+00:00
19,4,19,Exist particular art others series collection audience turn address human occur maybe.,5,ACTIVE,2025-06-08 19:32:56.182396+00:00,2026-02-14 06:42:18.046291+00:00
20,7,1,Nation experience put painting serve stay its something.,3,ACTIVE,2025-01-21 16:23:06.061648+00:00,2025-09-07 00:53:28.713957+00:00
21,10,22,Sport top wonder group PM white join until individual time idea magazine question society.,3,INACTIVE,2025-11-22 22:38:09.234693+00:00,2024-10-01 16:41:12.566718+00:00
22,8,9,Street it first Congress rest near represent former security eight pay add.,6,INACTIVE,2026-01-15 08:59:06.237866+00:00,2025-09-01 10:53:26.593110+00:00
23,10,39,Interesting deep amount under gun long before leave trade offer.,8,OUT_OF_SERVICE,2025-02-10 11:13:30.529567+00:00,2024-12-04 02:20:25.779683+00:00
24,8,44,Success federal office next under position note imagine course the health.,2,OUT_OF_SERVICE,2025-07-04 02:18:07.028259+00:00,2025-05-19 09:37:05.861366+00:00
25,1,49,Worker individual compare take name laugh read hundred student development if drive.,6,INACTIVE,2024-03-13 13:27:54.390754+00:00,2025-05-02 04:34:57.778246+00:00
26,10,29,Lawyer month apply wonder left north course defense.,2,OUT_OF_SERVICE,2024-05-09 18:34:30.325464+00:00,2026-02-27 20:38:19.828985+00:00
27,5,27,Expect bill special Democrat on nature trial only.,1,INACTIVE,2025-12-20 20:39:54.597586+00:00,2025-12-23 20:47:46.991064+00:00
28,3,32,Reduce example whatever play hot firm return analysis experience.,6,OUT_OF_SERVICE,2024-03-28 21:09:20.591544+00:00,2024-11-02 00:17:39.632667+00:00
29,5,50,Film food war science thank morning us change yet cut color large successful.,9,ACTIVE,2024-03-17 14:29:37.823011+00:00,2025-02-16 04:16:16.718221+00:00
30,2,16,Generation case history this information standard sport rich ever change.,1,INACTIVE,2025-04-04 05:49:11.832308+00:00,2025-06-29 05:22:18.205819+00:00
31,8,5,Adult three trip choice service the national American practice avoid difficult space among.,4,ACTIVE,2025-07-15 11:29:27.729954+00:00,2025-04-03 11:33:50.872750+00:00
32,12,46,Pull ever night gun sometimes size least.,5,ACTIVE,2024-11-04 02:37:50.452197+00:00,2024-09-18 16:15:15.924875+00:00
33,11,42,Current do while blood project prepare suggest there.,6,OUT_OF_SERVICE,2024-11-18 18:59:19.501406+00:00,2026-01-13 15:15:21.044578+00:00
34,7,39,Nation management attack project base clear left place man west.,1,ACTIVE,2024-12-25 20:27:07.133975+00:00,2025-09-17 17:45:56.009869+00:00
35,3,1,Technology ready machine finish bar while.,10,INACTIVE,2025-11-20 14:52:59.063087+00:00,2025-12-22 09:34:50.644281+00:00
36,10,8,Prove bed end under support current maintain study important set interview girl.,3,ACTIVE,2025-05-20 14:23:21.596886+00:00,2024-11-10 16:21:08.327877+00:00
37,6,37,She go manager message range marriage beautiful do week certainly.,6,OUT_OF_SERVICE,2025-05-02 23:03:10.942401+00:00,2024-04-11 01:03:58.251077+00:00
38,12,6,Ever anyone bag pick join together apply take dog station.,2,ACTIVE,2025-05-28 03:43:22.369874+00:00,2025-11-08 02:12:15.029706+00:00
39,5,22,Project thank line together knowledge TV whole.,10,INACTIVE,2024-10-12 04:26:59.704174+00:00,2026-01-11 15:28:13.091041+00:00
40,11,26,Another college agreement tell college power health treatment.,8,OUT_OF_SERVICE,2025-11-11 20:10:21.547312+00:00,2026-01-03 01:44:05.134717+00:00
41,5,19,Offer simply reflect great value before.,9,INACTIVE,2025-09-04 20:28:58.329777+00:00,2026-01-05 17:38:54.316097+00:00
42,2,37,No point natural stuff parent feeling.,4,ACTIVE,2024-03-20 00:52:51.144541+00:00,2024-12-25 22:47:32.358900+00:00
43,10,14,Government single challenge over special event might person two without hair story.,8,ACTIVE,2025-01-02 16:31:01.447832+00:00,2025-04-10 14:49:01.139242+00:00
