room_night_id,room_id,night_date,availability,created_at
1,593,2024-12-29,OCCUPIED,2025-12-15 14:41:22.515049+00:00
2,593,2026-11-01,AVAILABLE,2024-07-20 17:05:27.989727+00:00
3,318,2026-04-06,BLOCKED,2024-04-02 20:25:28.430665+00:00
4,318,2024-01-31,BLOCKED,2024-12-19 05:12:33.205251+00:00
5,907,2026-08-07,AVAILABLE,2024-03-14 15:15:23.360127+00:00
6,907,2026-01-25,BLOCKED,2025-11-02 22:02:40.943985+00:00
7,771,2024-01-26,AVAILABLE,2024-07-20 05:54:29.846551+00:00
8,771,2024-03-24,OCCUPIED,2024-01-23 05:37:14.044206+00:00
9,694,2024-07-23,AVAILABLE,2024-06-24 06:25:29.049757+00:00
10,694,2026-10-26,OCCUPIED,2025-09-30 20:58:24.056894+00:00
11,852,2024-12-02,AVAILABLE,2024-12-01 01:57:30.265807+00:00
12,852,2024-11-19,OCCUPIED,2025-02-11 17:09:33.814880+00:00
13,970,2026-02-06,AVAILABLE,2024-01-24 00:37:06.766206+00:00
14,970,2024-07-07,BLOCKED,2024-03-12 15:16:38.767449+00:00
15,408,2026-02-22,BLOCKED,2025-04-05 02:18:58.750230+00:00
16,408,2026-01-13,BLOCKED,2025-03-30 22:37:19.489729+00:00
17,209,2026-07-10,OCCUPIED,2025-07-05 16:43:28.466166+00:00
18,209,2026-10-30,AVAILABLE,2024-12-17 06:23:57.899364+00:00
19,826,2025-09-18,AVAILABLE,2024-09-03 05:55:31.634746+00:00
20,826,2025-12-23,BLOCKED,2025-04-22 22:17:53.970031+00:00
21,160,2024-03-04,AVAILABLE,2024-05-08 05:29:51.212457+00:00
22,160,2024-08-02,AVAILABLE,2024-12-25 07:41:46.566050+00:00
23,377,2025-04-15,AVAILABLE,2025-03-16 23:19:22.916899+00:00
24,377,2026-08-11,BLOCKED,2024-08-24 22:41:44.363522+00:00
25,631,2025-12-15,BLOCKED,2025-05-17 04:50:53.614739+00:00
26,631,2026-03-31,OCCUPIED,2024-11-01 21:09:03.434749+00:00
27,972,2026-12-04,BLOCKED,2025-02-07 13:49:25.281888+00:00
28,972,2024-04-03,BLOCKED,2025-08-23 07:22:29.170492+00:00
29,642,2024-03-13,OCCUPIED,2024-09-10 22:37:31.808650+00:00
30,642,2025-01-17,OCCUPIED,2025-08-01 09:13:38.746980+00:00
31,752,2025-03-18,BLOCKED,2024-04-14 06:05:50.183157+00:00
32,752,2025-05-23,AVAILABLE,2024-11-26 11:18:01.957035+00:00
33,658,2025-05-27,AVAILABLE,2024-11-14 17:08:50.223526+00:00
34,658,2024-10-27,BLOCKED,2025-02-11 08:59:43.987100+00:00
35,451,2024-12-23,OCCUPIED,2024-09-17 04:29:08.884523+00:00
36,451,2024-05-10,OCCUPIED,2024-03-27 10:41:10.667032+00:00
37,356,2026-05-24,AVAILABLE,2025-11-03 18:34:33.009465+00:00
38,356,2025-08-23,AVAILABLE,2025-05-10 11:17:01.423066+00:00
39,693,2024-09-06,OCCUPIED,2024-04-28 01:31:15.676539+00:00
40,693,2025-01-13,OCCUPIED,2025-10-14 16:34:08.752772+00:00
41,719,2026-10-03,BLOCKED,2024-08-09 13:42:22.262198+00:00
