room_type_id,name,max_occupancy,base_rate,created_at,updated_at
1,1,2,104.1,2025-02-25 03:45:41.135470+00:00,2025-11-27 04:02:30.672349+00:00
2,2,5,206.77,2025-08-12 02:32:36.611036+00:00,2025-01-07 15:47:28.628114+00:00
3,3,8,1945.07,2024-07-18 12:54:31.560631+00:00,2024-09-20 22:37:33.357510+00:00
4,4,7,453.77,2024-12-30 14:56:26.471683+00:00,2025-05-10 06:59:22.918504+00:00
5,5,5,159.48,2024-02-08 11:30:33.499147+00:00,2025-03-10 11:34:37.837308+00:00
6,6,6,1751.42,2025-10-09 08:47:40.065702+00:00,2025-01-16 12:36:44.901272+00:00
7,7,1,1847.2,2025-09-11 01:13:50.416607+00:00,2024-12-04 09:05:57.156760+00:00
8,8,6,689.6,2025-07-05 19:23:45.166821+00:00,2025-05-23 11:39:23.700494+00:00
9,9,8,120.16,2025-05-15 01:42:21.541628+00:00,2025-10-11 01:36:21.108361+00:00
10,10,6,675.61,2024-04-15 03:42:39.742929+00:00,2025-05-16 04:12:41.740731+00:00
11,11,7,1417.3,2025-01-28 23:08:41.099677+00:00,2024-12-26 09:17:43.623368+00:00
12,12,4,44.77,2025-05-15 21:39:56.144387+00:00,2025-01-06 13:30:42.747619+00:00
13,13,4,1093.18,2024-03-31 19:19:50.527363+00:00,2024-10-13 22:14:25.424132+00:00
14,14,10,1426.82,2024-09-16 03:46:46.823715+00:00,2025-01-11 03:50:27.156457+00:00
15,15,6,1286.46,2024-07-19 01:14:58.856305+00:00,2025-04-02 21:00:19.065357+00:00
16,16,5,1767.78,2024-12-02 03:10:53.639373+00:00,2026-04-05 17:45:50.626777+00:00
17,17,3,1788.61,2025-08-15 03:57:47.731728+00:00,2025-09-10 13:59:07.346542+00:00
18,18,4,423.76,2024-09-06 11:09:22.789118+00:00,2025-08-18 10:10:10.590713+00:00
19,19,4,991.98,2025-11-21 04:15:22.774504+00:00,2024-09-05 21:28:33.072989+00:00
20,20,5,1011.13,2025-05-25 02:16:04.360790+00:00,2026-03-01 03:02:59.683162+00:00
21,21,10,1970.83,2024-10-18 10:49:46.299272+00:00,2025-03-22 05:49:03.700005+00:00
22,22,6,691.1,2024-10-15 21:54:06.845829+00:00,2024-10-21 03:40:37.475434+00:00
23,23,2,660.33,2025-12-03 02:42:35.469855+00:00,2025-06-19 03:02:17.293228+00:00
24,24,8,244.46,2025-06-05 04:25:54.466907+00:00,2025-03-28 06:31:45.364686+00:00
25,25,8,1988.37,2025-12-25 14:11:33.021517+00:00,2024-06-30 09:48:59.021669+00:00
26,26,4,1054.98,2024-06-21 10:50:26.845633+00:00,2026-03-24 21:19:14.192909+00:00
27,27,3,1713.92,2025-05-03 22:46:49.574110+00:00,2025-10-26 15:33:38.785679+00:00
28,28,8,583.11,2024-05-12 12:57:26.895641+00:00,2024-04-04 19:07:05.870308+00:00
29,29,5,1458.44,2024-07-14 20:00:04.024578+00:00,2024-11-08 03:19:32.811978+00:00
30,30,1,1764.25,2025-01-16 20:52:50.682087+00:00,2025-10-07 16:54:27.339134+00:00
31,31,3,831.04,2025-07-19 16:49:40.615199+00:00,2024-06-20 12:37:19.704933+00:00
32,32,2,1779.25,2025-01-17 03:19:33.451548+00:00,2025-07-15 11:58:48.941620+00:00
33,33,3,1920.65,2024-02-28 23:53:01.647010+00:00,2025-12-08 02:00:41.490773+00:00
34,34,8,265.33,2024-08-12 21:36:39.890239+00:00,2025-01-31 02:44:38.579072+00:00
35,35,3,363.65,2025-09-29 16:56:11.569738+00:00,2024-12-19 23:17:03.893086+00:00
36,36,9,666.78,2024-05-31 00:55:33.424075+00:00,2026-04-26 18:20:49.311459+00:00
37,37,10,1816.18,2024-06-26 16:34:08.859959+00:00,2025-02-28 08:38:53.659403+00:00
38,38,9,1773.03,2025-11-08 14:30:28.663266+00:00,2024-04-26 07:55:00.142558+00:00
39,39,1,1563.43,2025-04-17 03:06:25.633301+00:00,2026-02-26 19:23:38.877666+00:00
40,40,3,502.6,2024-05-31 14:03:08.876656+00:00,2025-03-15 04:26:06.808988+00:00
41,41,9,835.46,2025-03-14 07:52:06.461986+00:00,2024-10-05 05:53:52.362732+00:00
42,42,1,670.79,2025-09-24 15:13:42.546269+00:00,2025-06-09 00:51:47.683112+00:00
43,43,2,597.02,2024-06-02 18:47:31.427835+00:00,2025-05-26 14:48:25.149187+00:00
44,44,9,1821.13,2024-09-19 09:16:35.324380+00:00,2026-01-18 01:40:52.783577+00:00
45,45,7,1213.51,2025-03-05 04:50:29.725190+00:00,2025-11-03 10:19:24.128670+00:00
46,46,4,473.69,2025-12-17 13:49:40.592147+00:00,2024-10-26 07:26:58.429184+00:00
47,47,8,842.88,2024-05-22 03:47:28.062720+00:00,2024-10-24 18:15:46.632428+00:00
48,48,3,733.95,2025-10-01 16:35:00.293365+00:00,2025-09-05 23:08:05.006675+00:00
49,49,9,863.17,2025-09-05 17:05:23.615216+00:00,2025-09-19 04:15:40.775624+00:00
50,50,2,1205.54,2024-05-17 08:54:52.809907+00:00,2026-01-15 11:41:44.376145+00:00
