service_id,hotel_id,name,unit_price,created_at,updated_at
1,4,Pull_89928a,1533.48,2025-07-24 08:33:04.890545+00:00,2024-09-15 12:03:04.487785+00:00
2,3,Heavy_2a2b2f,1908.99,2026-01-17 10:06:20.283822+00:00,2025-02-25 05:16:39.287963+00:00
3,6,Enter_dbdec5,949.95,2025-09-24 13:20:08.074440+00:00,2024-09-06 02:56:27.858703+00:00
4,12,Determine_498df1,493.62,2024-08-03 03:08:19.381600+00:00,2024-08-06 09:01:36.898261+00:00
5,9,Career_082215,528.2,2024-04-01 03:05:16.153618+00:00,2025-11-06 08:18:17.938431+00:00
6,12,Teach_89ab74,511.43,2024-06-30 16:51:27.112990+00:00,2025-11-25 03:02:54.471941+00:00
7,5,Reflect_f4f229,582.16,2025-11-11 06:50:52.611293+00:00,2024-11-26 04:17:44.618086+00:00
8,4,Several_ab01cd,78.43,2024-05-30 03:18:19.317888+00:00,2024-07-05 06:27:17.055850+00:00
9,11,Discussion_419a7f,856.71,2026-01-18 04:04:37.186287+00:00,2024-12-25 06:30:45.946874+00:00
10,10,Customer_596edb,1403.99,2025-07-12 20:53:36.334032+00:00,2024-09-13 08:05:26.274478+00:00
11,10,Budget_146da5,1651.67,2024-03-11 04:11:22.584522+00:00,2026-03-27 10:02:29.659725+00:00
12,4,High_a20f01,617.71,2025-04-09 11:57:13.512758+00:00,2024-05-17 01:39:34.431914+00:00
13,8,More_f4bd79,216.15,2024-03-09 20:46:07.667329+00:00,2025-01-15 08:16:38.676119+00:00
14,9,Material_fe8c00,1448.37,2024-05-04 05:18:20.524289+00:00,2026-02-28 03:08:27.652905+00:00
15,11,Trouble_bc712d,886.11,2025-10-05 19:07:20.457366+00:00,2026-04-19 16:47:42.117092+00:00
16,12,Agree_505f28,608.75,2025-11-30 20:02:28.648108+00:00,2025-11-04 23:18:24.418403+00:00
17,3,Oil_ff23ed,1508.59,2024-12-24 10:58:48.025908+00:00,2024-11-25 14:19:58.237758+00:00
18,10,Fish_82494a,433.28,2025-09-01 04:19:16.420911+00:00,2025-09-10 15:57:41.014256+00:00
19,8,Recognize_43f6ab,1376.37,2025-01-04 19:24:03.797078+00:00,2025-11-06 19:54:34.358548+00:00
20,1,Fund_29ab4a,381.44,2025-03-09 01:34:00.101498+00:00,2024-11-08 03:30:21.460263+00:00
21,1,Tax_e5c017,475.96,2024-11-06 20:53:00.853124+00:00,2025-01-18 17:44:28.626316+00:00
22,5,Movement_2ea914,1235.19,2024-04-26 14:38:17.966940+00:00,2024-11-22 01:49:04.633826+00:00
23,11,Bring_c7a064,770.38,2024-08-02 07:11:11.680270+00:00,2024-07-19 00:25:51.049634+00:00
24,4,Focus_d63a64,1539.63,2025-08-18 03:49:23.633371+00:00,2025-04-27 17:41:34.929621+00:00
25,3,Common_d19ab4,819.22,2024-03-16 20:25:24.580035+00:00,2024-09-12 05:59:41.390580+00:00
26,2,Thousand_885601,969.53,2025-12-06 06:02:27.098688+00:00,2025-08-11 05:58:57.446088+00:00
27,7,Foot_3307f5,1216.81,2026-01-11 03:04:36.901466+00:00,2025-06-27 18:32:49.843941+00:00
28,11,Partner_f0fcee,1287.56,2025-01-23 08:03:51.972703+00:00,2024-06-08 05:14:48.683965+00:00
29,10,Board_90b299,1217.96,2025-03-02 01:33:20.672799+00:00,2025-12-30 18:33:52.803258+00:00
30,3,Produce_08f9a5,1224.66,2024-11-01 10:50:49.765279+00:00,2025-11-03 06:09:09.949643+00:00
31,6,Newspaper_0253da,1882.99,2025-03-26 04:50:36.408563+00:00,2025-04-24 01:29:14.253290+00:00
32,4,Threat_2345ea,189.35,2025-11-30 08:15:43.692307+00:00,2025-03-31 23:00:09.750626+00:00
33,4,Military_805889,855.46,2025-01-01 17:38:46.795225+00:00,2024-05-31 17:22:33.925574+00:00
34,4,Those_948208,1279.98,2024-11-19 02:45:22.395681+00:00,2025-11-12 11:29:16.031632+00:00
35,1,Budget_9ecfe8,1878.45,2025-05-30 08:13:12.948435+00:00,2025-01-18 17:19:59.787080+00:00
36,12,Key_615291,1094.99,2024-10-04 10:51:22.385352+00:00,2025-07-29 22:35:02.726247+00:00
37,5,Suddenly_b2cfda,1174.99,2025-07-24 02:11:46.630918+00:00,2025-03-03 08:36:39.386618+00:00
38,11,Dog_36aac1,1251.83,2024-07-08 01:23:27.396173+00:00,2025-07-25 05:49:22.307818+00:00
39,6,Agency_fe15e0,1036.38,2024-04-20 00:44:42.127514+00:00,2025-01-22 19:02:14.691628+00:00
40,12,Under_32a2e9,920.87,2025-11-23 11:19:21.800730+00:00,2026-01-31 15:58:41.697595+00:00
41,4,Time_46be29,800.92,2024-07-20 00:00:44.811788+00:00,2024-09-03 03:21:04.167338+00:00
42,12,Quality_49ac86,822.33,2025-08-27 18:00:46.257298+00:00,2025-06-16 21:06:54.562401+00:00
43,8,Cup_e62317,589.12,2026-01-20 12:27:02.530613+00:00,2025-11-07 00:43:33.876586+00:00
44,3,Weight_cfa880,661.76,2024-05-17 10:49:26.568855+00:00,2025-07-15 04:12:08.010778+00:00
45,7,Memory_da7bbd,208.59,2025-08-17 00:47:49.971734+00:00,2024-05-04 10:26:46.539958+00:00
46,3,Music_bf04f5,558.56,2024-05-18 21:10:41.467161+00:00,2024-03-07 08:17:10.777475+00:00
47,1,Here_c5e743,1875.22,2024-10-31 03:23:14.273230+00:00,2026-04-14 10:24:27.843153+00:00
48,10,Sport_41d6fa,362.31,2024-09-08 22:37:35.700895+00:00,2025-11-25 17:13:35.186088+00:00
49,5,Himself_8e6a4c,332.36,2024-05-12 09:31:19.827147+00:00,2024-10-26 09:46:58.173005+00:00
50,4,Around_89b114,1967.23,2025-10-25 22:52:06.997004+00:00,2025-07-21 20:38:24.790495+00:00
