service_order_id,booking_id,order_status,ordered_at,created_at
1,44784,ORDERED,2025-01-29 16:15:54.707537+00:00,2025-04-21 01:23:57.393789+00:00
2,20264,ORDERED,2024-08-02 12:00:42.348883+00:00,2024-06-06 21:34:55.765304+00:00
3,15500,ORDERED,2025-11-13 16:56:20.809152+00:00,2025-06-07 07:33:36.341113+00:00
4,46981,DELIVERED,2025-03-04 09:50:56.836854+00:00,2024-02-12 08:23:43.545361+00:00
5,6153,ORDERED,2024-07-24 16:27:21.341877+00:00,2024-08-28 21:30:51.677130+00:00
6,12325,CANCELLED,2025-10-06 21:25:22.333618+00:00,2025-11-13 20:21:11.901398+00:00
7,60197,CANCELLED,2025-01-14 22:02:32.111905+00:00,2024-07-02 05:11:09.990721+00:00
8,64399,CANCELLED,2024-04-19 07:16:09.596497+00:00,2024-02-19 21:52:36.443556+00:00
9,63017,ORDERED,2025-12-13 04:48:32.255320+00:00,2026-01-07 13:47:10.511911+00:00
10,27296,DELIVERED,2025-02-13 17:19:52.885779+00:00,2024-03-27 18:29:22.263645+00:00
11,67183,ORDERED,2025-10-26 17:13:27.655133+00:00,2024-05-31 09:37:57.532307+00:00
12,62823,ORDERED,2025-12-09 16:37:45.763051+00:00,2024-09-23 22:05:24.985471+00:00
13,12871,DELIVERED,2024-08-22 07:46:26.886287+00:00,2025-12-28 02:15:55.881485+00:00
14,16984,CANCELLED,2024-03-04 20:13:58.787323+00:00,2025-08-17 14:56:25.057794+00:00
15,10690,ORDERED,2025-08-27 16:55:22.259009+00:00,2024-05-03 23:27:58.010483+00:00
16,67804,ORDERED,2024-08-06 02:34:39.058192+00:00,2024-03-06 06:12:55.664099+00:00
17,55960,CANCELLED,2026-01-17 21:12:19.577430+00:00,2025-04-08 00:53:44.913552+00:00
18,618,ORDERED,2025-05-22 03:42:11.537340+00:00,2025-02-23 05:10:52.002934+00:00
19,19935,CANCELLED,2024-07-18 00:30:45.155938+00:00,2025-04-06 19:05:49.330361+00:00
20,18363,CANCELLED,2024-04-08 17:15:13.651811+00:00,2024-12-13 13:12:28.807724+00:00
21,56292,CANCELLED,2025-12-03 07:48:59.196581+00:00,2025-11-30 07:03:26.873781+00:00
22,29797,ORDERED,2024-04-30 01:22:15.273719+00:00,2024-07-23 02:08:37.530580+00:00
23,42595,DELIVERED,2025-01-12 15:01:20.070124+00:00,2025-03-25 21:18:47.262891+00:00
24,8124,DELIVERED,2025-02-26 02:40:21.652868+00:00,2024-08-14 04:32:55.234649+00:00
25,27262,DELIVERED,2024-06-29 03:56:18.208810+00:00,2025-09-07 14:47:02.308638+00:00
