service_order_item_id,service_order_id,service_id,quantity,unit_price,created_at
1,603,26,6,707.22,2024-08-11 20:14:47.591792+00:00
2,640,2,2,451.2,2025-08-13 13:39:00.124277+00:00
3,745,11,9,524.96,2025-01-30 01:11:38.123151+00:00
4,486,39,8,1946.39,2024-04-13 02:30:10.459841+00:00
5,1026,1,4,1981.18,2025-02-19 22:59:14.588177+00:00
6,82,24,3,45.84,2025-05-18 21:48:22.867527+00:00
7,948,24,2,783.27,2024-07-31 10:12:28.166698+00:00
8,1161,39,3,1002.6,2024-06-04 03:15:08.162021+00:00
9,192,16,3,1053.95,2025-01-11 04:06:58.507128+00:00
10,999,30,10,159.65,2024-08-19 14:59:40.018029+00:00
11,1445,31,9,1899.77,2024-08-18 21:38:32.611955+00:00
12,184,9,2,1982.16,2025-05-24 12:03:11.213763+00:00
13,1658,34,7,826.9,2025-05-30 00:18:09.762244+00:00
14,617,21,9,1682.88,2024-10-27 04:17:39.158320+00:00
15,235,2,8,688.49,2024-06-15 08:27:53.171805+00:00
16,1297,26,3,1776.62,2025-01-05 16:50:40.791548+00:00
17,1385,34,9,1148.38,2024-09-25 03:17:48.006802+00:00
18,1272,19,7,1656.93,2025-09-12 17:04:04.366566+00:00
19,360,28,3,1446.9,2024-12-01 10:08:35.476671+00:00
20,1532,37,1,864.98,2025-02-16 09:45:25.405661+00:00
21,887,46,8,765.46,2024-05-11 19:00:17.907215+00:00
22,1013,8,1,846.2,2024-12-30 20:57:16.561491+00:00
23,291,15,3,616.6,2025-01-04 07:19:34.521394+00:00
24,909,47,7,310.8,2025-07-21 17:44:23.396720+00:00
25,1033,27,6,1583.76,2025-01-27 14:13:17.958431+00:00
26,1932,11,6,1673.59,2025-10-27 15:36:38.466863+00:00
27,915,40,5,769.83,2025-07-22 00:11:05.510397+00:00
28,1257,48,1,1264.98,2024-04-08 02:05:40.273328+00:00
29,1459,13,10,838.68,2024-10-04 03:02:58.217354+00:00
30,1915,24,7,905.83,2024-04-18 00:31:40.217572+00:00
31,1927,40,1,1042.85,2025-12-04 01:07:17.745197+00:00
32,806,15,9,1148.94,2025-07-18 06:09:12.499356+00:00
33,1928,39,7,129.73,2025-07-21 00:11:53.947024+00:00
34,1115,7,6,920.96,2024-05-01 11:05:38.887643+00:00
35,796,20,5,1376.38,2024-10-21 07:32:33.663303+00:00
36,916,3,3,1815.95,2024-09-18 17:02:41.773657+00:00
37,1269,20,4,1209.89,2025-06-02 16:41:05.819024+00:00
38,1868,12,6,361.64,2025-04-30 18:17:09.037740+00:00
39,989,37,4,878.6,2024-09-06 11:17:42.875094+00:00
40,617,38,7,549.23,2024-08-01 04:34:39.593918+00:00
41,1996,20,8,921.02,2025-04-30 10:37:51.665721+00:00
42,663,5,1,245.99,2025-06-09 17:47:48.222320+00:00
43,827,19,3,1840.02,2025-11-18 17:46:25.095310+00:00
44,737,19,7,478.54,2025-08-24 00:36:56.413372+00:00
45,1705,31,5,672.07,2025-07-12 22:00:17.172489+00:00
46,885,29,2,341.04,2024-05-31 22:53:01.327813+00:00
47,1796,24,5,1712.53,2024-05-18 14:04:34.024237+00:00
48,1938,46,7,317.28,2025-02-17 06:23:15.968637+00:00
49,209,21,5,1243.43,2024-12-06 04:32:18.360315+00:00
50,1053,6,9,1510.99,2024-08-07 13:37:17.873678+00:00
51,1725,11,9,34.47,2024-06-03 02:03:22.249771+00:00
52,757,18,1,1194.36,2025-07-01 19:59:17.257584+00:00
53,1985,9,9,1070.33,2025-01-22 10:16:07.133108+00:00
54,258,29,10,783.92,2024-05-17 04:31:47.541123+00:00
55,860,31,6,363.95,2025-01-15 03:22:06.890434+00:00
56,1711,13,8,1697.48,2025-09-30 01:14:04.963160+00:00
57,1515,21,5,169.36,2025-08-12 07:40:42.717342+00:00
58,1147,20,9,424.19,2024-05-15 13:50:29.341726+00:00
59,1310,16,8,857.59,2024-07-30 12:02:42.349359+00:00
60,308,17,7,897.26,2024-05-03 12:06:46.889494+00:00
61,679,43,2,1399.77,2024-04-05 14:09:14.490350+00:00
62,1032,21,2,875.81,2025-05-30 07:37:28.983135+00:00
63,188,33,7,941.79,2024-05-12 11:10:26.069500+00:00
64,524,27,9,1992.06,2025-03-07 21:38:20.413526+00:00
65,993,37,7,1011.9,2024-04-23 17:40:35.546448+00:00
66,785,46,2,932.0,2025-04-24 10:40:44.599544+00:00
67,666,27,10,1424.44,2025-02-25 23:22:14.014625+00:00
68,77,30,3,1234.29,2025-03-23 03:33:48.416191+00:00
69,179,27,7,677.9,2025-10-30 06:43:44.056534+00:00
70,774,36,2,1942.64,2024-09-01 16:59:24.772064+00:00
71,1792,27,10,1206.73,2025-04-12 11:26:47.031661+00:00
72,798,16,4,828.84,2024-06-19 04:58:57.211793+00:00
73,178,36,5,1535.82,2025-11-25 02:33:33.178257+00:00
74,1027,21,2,904.45,2024-06-20 18:55:11.173840+00:00
75,650,32,9,1255.23,2024-07-26 19:17:34.618574+00:00
76,1048,49,1,903.81,2025-05-09 08:10:54.906268+00:00
77,1188,43,5,757.59,2024-07-05 18:25:20.805598+00:00
78,741,47,1,494.61,2025-09-12 15:25:13.612929+00:00
79,1217,47,2,690.36,2024-11-24 17:01:46.884835+00:00
80,598,35,1,1889.6,2024-05-24 23:18:54.285753+00:00
81,642,9,9,892.13,2024-10-01 13:52:54.365771+00:00
82,155,15,8,1152.56,2025-07-17 13:28:31.230474+00:00
83,1009,5,2,633.23,2025-10-20 21:07:11.390238+00:00
84,1306,29,10,619.2,2025-02-25 03:20:43.555445+00:00
85,1132,21,3,494.72,2024-02-28 07:52:15.651283+00:00
86,1862,49,2,1506.67,2025-10-25 07:50:22.866401+00:00
87,263,24,7,120.51,2025-03-30 23:16:26.101068+00:00
88,1138,15,7,1116.62,2025-05-01 00:20:03.366821+00:00
89,718,13,6,1691.67,2025-02-03 13:17:34.889048+00:00
90,865,20,6,1679.55,2024-05-07 17:34:57.295483+00:00
91,646,39,8,219.2,2025-11-29 05:37:39.848294+00:00
92,417,10,6,259.22,2025-12-12 17:21:15.218418+00:00
93,1834,31,6,1646.18,2025-06-18 03:13:50.223352+00:00
94,1736,22,4,337.34,2025-09-14 17:34:12.604707+00:00
95,443,41,5,612.25,2025-10-23 22:40:43.721514+00:00
96,1682,47,1,147.34,2024-02-27 14:19:20.857203+00:00
97,665,3,10,604.59,2024-07-06 16:42:07.990158+00:00
98,1873,15,1,729.51,2025-11-18 07:20:31.720818+00:00
99,457,37,8,451.67,2025-01-03 08:09:20.758650+00:00
100,748,28,3,530.54,2025-01-23 16:56:56.646523+00:00
101,1216,5,8,1925.9,2024-03-26 23:17:39.429814+00:00
102,1142,12,1,1619.83,2025-06-10 16:31:31.704554+00:00
103,347,50,8,398.16,2024-01-22 19:07:13.297189+00:00
104,1567,37,9,1435.33,2025-07-06 20:21:43.673700+00:00
105,1766,6,7,521.22,2024-11-10 09:08:37.007684+00:00
106,509,34,8,1936.36,2024-11-22 02:15:17.520691+00:00
107,1722,21,8,184.21,2024-05-25 07:21:18.724036+00:00
108,1399,18,4,1028.12,2025-07-04 00:10:34.934569+00:00
109,779,13,8,916.7,2025-09-23 12:26:38.822484+00:00
110,1588,27,6,1905.64,2026-01-18 18:28:44.626988+00:00
111,1849,36,1,1642.56,2024-02-29 21:28:54.207779+00:00
112,440,44,10,1556.18,2025-05-14 08:30:10.944497+00:00
113,1575,9,4,1500.62,2024-12-11 03:11:30.256522+00:00
114,605,20,5,659.42,2024-09-12 14:05:31.086635+00:00
115,353,49,5,718.11,2025-10-27 00:07:45.176270+00:00
116,1459,44,5,1161.95,2024-06-14 18:30:46.087705+00:00
117,1587,19,6,1902.39,2024-02-17 19:30:19.574372+00:00
118,1010,9,7,129.3,2024-11-12 17:22:35.731565+00:00
119,1062,32,10,1565.95,2025-01-03 05:05:42.680994+00:00
120,1366,21,4,1046.6,2024-12-15 23:45:26.689783+00:00
121,1563,49,5,818.44,2025-03-26 19:53:02.726833+00:00
122,432,39,6,1166.5,2024-11-06 22:23:58.796113+00:00
123,1516,22,5,598.36,2025-05-23 09:56:30.961623+00:00
124,1885,11,6,847.63,2025-11-20 14:42:05.742983+00:00
125,1375,30,9,417.83,2025-01-07 17:48:58.610567+00:00
126,1971,45,6,997.31,2025-11-15 17:10:50.354953+00:00
127,141,37,8,1104.3,2024-09-19 00:27:19.425078+00:00
128,1216,16,1,1477.06,2024-03-01 21:43:33.436590+00:00
129,913,50,9,1663.72,2025-03-11 13:57:31.348606+00:00
130,379,9,2,1279.86,2024-08-23 04:18:03.982979+00:00
131,752,37,1,1902.3,2025-08-03 20:29:30.016569+00:00
132,369,42,9,261.96,2024-02-20 22:07:40.869297+00:00
133,1552,10,8,1545.33,2024-03-09 22:07:29.899827+00:00
134,626,45,7,1578.61,2024-11-07 16:27:38.046626+00:00
135,1754,48,3,1353.4,2025-03-30 05:10:00.506040+00:00
136,24,17,8,1068.85,2025-02-15 01:17:18.170868+00:00
137,1551,11,6,1914.36,2024-05-07 12:52:11.466708+00:00
138,1370,15,4,1717.86,2025-05-19 15:20:32.255246+00:00
139,13,3,4,379.7,2025-09-09 11:33:46.251626+00:00
140,1342,50,8,890.53,2024-02-18 03:02:39.901719+00:00
141,152,18,7,26.22,2024-08-10 01:18:35.438468+00:00
142,515,45,5,1366.53,2025-10-31 08:38:14.707118+00:00
143,837,47,5,937.7,2025-05-22 13:20:06.140879+00:00
144,1543,14,3,1294.22,2025-05-10 00:42:07.791098+00:00
145,1629,25,5,887.9,2024-07-13 21:15:41.706995+00:00
146,341,23,8,687.6,2025-06-21 22:45:28.226078+00:00
147,503,49,2,1196.76,2024-03-02 15:50:44.936928+00:00
148,1019,41,2,385.35,2025-02-18 18:39:47.066508+00:00
149,760,10,2,1865.46,2025-02-20 20:12:26.774493+00:00
150,558,48,4,1387.67,2024-03-08 17:44:05.971771+00:00
151,352,50,9,1244.48,2024-03-19 07:32:37.010962+00:00
152,672,14,3,1150.81,2025-05-21 15:33:18.450618+00:00
153,816,19,1,1830.46,2025-06-03 23:02:35.562960+00:00
154,174,44,2,704.03,2025-12-01 05:59:42.055607+00:00
155,585,37,1,226.43,2024-10-08 12:00:17.608653+00:00
156,1495,45,10,431.47,2024-06-09 12:00:10.852345+00:00
157,679,7,7,1592.11,2024-03-05 13:24:43.332141+00:00
158,1920,33,3,1259.89,2025-01-29 05:38:07.322193+00:00
159,401,40,9,158.43,2024-06-25 16:10:11.463402+00:00
160,1640,9,8,376.55,2025-03-01 12:21:07.847920+00:00
161,260,17,8,1273.6,2025-11-10 12:24:43.867702+00:00
162,1464,23,10,611.72,2024-08-23 07:51:04.500671+00:00
163,708,31,5,1650.58,2026-01-17 00:49:55.741455+00:00
164,503,3,6,1310.11,2025-04-20 01:26:56.757671+00:00
165,1686,21,5,1998.47,2025-04-09 13:50:48.316341+00:00
166,1492,12,5,1841.78,2024-11-11 17:30:30.222517+00:00
167,661,31,8,1729.2,2024-09-04 14:51:29.337932+00:00
168,1002,1,10,934.25,2025-07-02 15:47:09.519852+00:00
169,1502,3,3,1035.57,2025-01-02 23:24:12.510159+00:00
170,204,41,9,1456.48,2024-04-07 12:57:00.416971+00:00
171,1703,47,7,1521.28,2025-12-12 06:34:52.200874+00:00
172,1432,46,4,1700.54,2025-01-11 15:56:40.511771+00:00
173,625,47,8,1861.07,2025-02-28 19:12:10.303041+00:00
174,471,4,8,1704.52,2024-04-22 17:37:13.142065+00:00
175,1652,23,2,335.74,2025-06-12 04:00:56.390605+00:00
176,545,10,3,1197.8,2024-12-07 18:16:03.405050+00:00
177,1176,41,2,1269.47,2024-04-17 07:32:17.843643+00:00
178,768,18,8,1353.43,2024-03-04 14:54:59.217879+00:00
179,146,15,9,1276.62,2024-03-02 14:04:30.754260+00:00
180,1624,8,2,1201.13,2024-08-10 17:45:52.528469+00:00
181,105,2,9,266.53,2025-07-19 21:49:54.277085+00:00
182,835,34,10,291.22,2024-10-10 04:18:22.962258+00:00
183,1887,44,4,775.23,2025-11-11 07:27:38.758450+00:00
184,3,6,6,618.49,2025-09-17 05:46:48.992666+00:00
185,190,31,7,171.69,2025-12-23 09:29:43.835841+00:00
186,479,22,5,744.52,2024-09-29 10:04:59.787655+00:00
187,1138,24,4,184.28,2025-11-01 12:45:37.957993+00:00
188,231,14,8,131.5,2025-06-15 10:28:09.680716+00:00
189,1595,16,8,315.62,2025-03-05 13:08:03.167963+00:00
190,553,43,1,1594.51,2024-10-08 21:22:40.133086+00:00
191,293,43,10,1647.81,2025-01-21 04:20:10.649629+00:00
192,817,33,10,114.96,2024-02-09 12:57:16.605469+00:00
193,1854,11,4,28.91,2025-12-12 23:46:19.746839+00:00
194,609,38,7,1999.2,2025-11-18 03:56:16.256729+00:00
195,1096,27,10,428.94,2025-05-03 05:54:08.810915+00:00
196,726,24,8,1619.33,2024-02-14 16:44:12.421724+00:00
197,1154,46,4,306.21,2025-08-17 04:41:07.282784+00:00
198,565,36,9,1919.05,2025-02-15 21:39:42.043146+00:00
