stay_guest_id,stay_id,guest_id,created_at
1,326,82318,2025-06-28 05:14:44.788187+00:00
2,185,82387,2025-04-07 11:20:29.729828+00:00
3,673,78453,2025-05-05 12:23:04.973751+00:00
4,1086,20772,2025-05-13 04:13:57.102880+00:00
5,1865,107224,2025-06-28 11:01:27.236430+00:00
6,1978,36397,2024-02-19 08:42:42.655825+00:00
7,282,84385,2025-05-17 22:05:27.815470+00:00
8,1521,68558,2025-09-01 05:14:35.374259+00:00
9,919,79232,2025-12-21 01:28:46.996555+00:00
10,332,23997,2026-01-05 17:49:27.569281+00:00
11,40,119540,2024-08-05 00:59:20.419208+00:00
12,1816,20299,2024-03-18 15:01:19.856056+00:00
13,563,36928,2025-06-26 08:50:21.106457+00:00
14,791,72944,2025-07-16 11:08:54.930885+00:00
15,1903,56716,2024-07-01 11:29:49.917292+00:00
16,1305,105984,2025-06-19 17:42:08.145370+00:00
17,303,72454,2024-07-06 07:09:40.676174+00:00
18,1717,95509,2024-02-18 07:31:45.162516+00:00
19,1109,111253,2025-11-10 05:41:30.071203+00:00
20,444,75146,2024-03-06 21:35:01.904300+00:00
21,696,7578,2024-11-02 19:39:44.263156+00:00
22,1156,50141,2025-01-10 05:19:07.194810+00:00
23,1206,481,2025-02-14 12:41:24.946656+00:00
24,307,108910,2025-09-17 21:21:50.698400+00:00
25,218,21920,2025-01-07 14:30:44.525734+00:00
26,1159,78235,2024-11-16 05:52:28.861248+00:00
27,2000,15080,2025-06-03 05:04:50.339050+00:00
28,432,115565,2025-04-26 17:51:34.215674+00:00
29,1225,37545,2024-05-11 02:30:44.807770+00:00
30,1109,52956,2024-05-25 07:29:37.554288+00:00
31,1638,50600,2024-05-17 03:24:47.565461+00:00
32,667,101672,2025-09-22 18:28:41.291161+00:00
33,831,66824,2025-08-24 04:24:11.088449+00:00
34,1069,8938,2025-04-07 16:32:43.814064+00:00
35,995,56481,2024-06-24 07:39:27.959971+00:00
36,98,86584,2024-07-07 11:20:00.978170+00:00
37,235,115556,2024-01-26 01:55:34.170465+00:00
38,1470,6257,2025-01-10 17:06:50.539436+00:00
39,1883,7677,2024-09-24 11:56:04.981140+00:00
40,1616,29274,2024-08-26 22:09:03.368852+00:00
41,1127,94296,2026-01-04 07:19:54.606547+00:00
42,797,84786,2024-06-26 10:12:10.530937+00:00
43,753,44921,2025-06-07 12:38:05.593102+00:00
44,293,114550,2024-11-16 19:23:47.856381+00:00
45,1162,82498,2025-07-29 04:36:00.783714+00:00
46,1629,73481,2025-12-28 23:07:07.326673+00:00
47,806,13101,2024-10-30 20:08:31.866344+00:00
48,1285,80020,2025-03-15 07:10:51.328075+00:00
49,1023,10635,2024-07-03 13:11:14.562129+00:00
50,1558,10735,2024-11-30 06:54:37.684230+00:00
51,151,107782,2024-10-02 07:36:01.588691+00:00
52,472,119069,2025-03-28 05:00:48.085380+00:00
53,1352,32153,2024-04-16 00:35:48.026388+00:00
54,332,60643,2024-05-29 17:43:32.671441+00:00
55,1103,52154,2024-11-22 11:52:12.861937+00:00
56,970,69163,2024-12-26 17:43:29.043242+00:00
57,766,6993,2024-06-02 13:30:49.610753+00:00
58,895,99000,2025-10-23 14:31:28.425598+00:00
59,50,52301,2024-05-06 11:24:26.771911+00:00
60,1088,72970,2026-01-05 01:54:08.915218+00:00
61,1855,108032,2025-08-20 14:19:40.987840+00:00
62,1428,54027,2025-05-20 00:37:01.471018+00:00
63,1447,8199,2024-03-13 13:20:57.744255+00:00
64,1414,106091,2024-04-26 01:03:44.698908+00:00
65,966,45503,2025-08-28 05:54:33.482168+00:00
66,1451,101814,2024-03-29 21:43:24.832446+00:00
67,515,76583,2024-11-19 21:50:13.469395+00:00
68,1780,45544,2024-09-24 01:39:12.863861+00:00
69,1318,72715,2024-09-02 12:32:18.198408+00:00
70,395,94633,2024-12-06 08:32:28.564659+00:00
71,224,4773,2024-07-11 07:57:41.807139+00:00
72,1798,110364,2024-03-25 05:02:47.764469+00:00
73,1949,32971,2024-12-10 20:25:50.927810+00:00
74,157,91112,2024-07-22 17:47:14.760561+00:00
75,879,94436,2024-03-15 10:20:50.878278+00:00
76,872,24267,2025-05-04 21:00:57.595934+00:00
77,1219,75756,2024-10-25 21:08:49.933021+00:00
78,761,52739,2024-04-26 01:02:47.959898+00:00
79,824,20527,2025-03-20 22:56:28.089105+00:00
80,286,31964,2025-05-07 04:12:27.463764+00:00
81,460,55935,2025-07-15 06:46:31.154855+00:00
82,666,63621,2024-02-07 04:43:54.596436+00:00
83,1254,100506,2025-11-09 05:46:11.789143+00:00
84,978,44778,2024-06-11 05:33:17.565778+00:00
85,419,65970,2024-03-18 06:55:55.100443+00:00
