tax_fee_id,hotel_id,name,tax_type,tax_value,created_at
1,9,Generation_0b062f,PERCENT,523.6,2025-05-06 21:16:45.404675+00:00
2,8,Resource_df43a6,PERCENT,438.29,2025-02-05 23:21:49.254745+00:00
3,5,Down_be9d08,PERCENT,1690.33,2025-04-14 14:28:20.534611+00:00
4,12,Walk_d7dd3c,FIXED,985.79,2025-05-03 20:48:12.976292+00:00
5,4,Follow_5ab984,FIXED,1214.09,2025-08-05 09:48:33.760517+00:00
6,5,Test_49b286,PERCENT,649.73,2025-04-19 05:01:29.362213+00:00
7,6,Small_c870ab,PERCENT,916.62,2024-11-11 07:42:59.470163+00:00
8,8,Go_bc6596,FIXED,526.98,2024-04-30 21:14:26.592934+00:00
9,6,Hair_6a6f60,FIXED,1993.55,2025-10-23 15:35:54.509516+00:00
10,10,Situation_50db43,FIXED,1338.52,2024-02-27 22:12:24.086703+00:00
11,1,Capital_4e3474,PERCENT,908.96,2025-07-29 04:14:41.847080+00:00
12,6,Should_384f1d,FIXED,1579.96,2025-12-03 00:27:47.152854+00:00
13,12,End_e1ed4a,PERCENT,94.03,2025-12-26 07:46:45.720263+00:00
14,1,Agent_03e588,PERCENT,1456.4,2024-01-30 15:40:37.338353+00:00
15,5,Behavior_31cc10,PERCENT,165.99,2024-11-20 16:19:29.345454+00:00
16,3,Rise_6ece54,PERCENT,595.07,2024-03-24 02:04:52.581711+00:00
17,11,Protect_e8ec97,PERCENT,1323.47,2025-09-21 08:55:51.731316+00:00
18,10,Soldier_77d57d,PERCENT,921.86,2024-05-28 14:21:10.541306+00:00
19,7,White_6fb089,PERCENT,1621.4,2024-07-21 23:29:00.983474+00:00
20,2,Watch_c50074,FIXED,536.76,2024-08-03 07:59:32.255129+00:00
21,1,All_bdef36,PERCENT,984.79,2024-09-11 04:41:23.120414+00:00
22,9,Debate_9eb16d,PERCENT,1105.54,2025-11-24 23:24:54.129403+00:00
